|   obsdate | filter |    mag | e_mag |  observatory |   status | [mag_cor-mag_origin] |
| 59529.792 |      U | 16.702 |  0.04 | LasCumbres1m | detected |               -0.498 |
| 59529.796 |      U | 16.742 |  0.03 | LasCumbres1m | detected |               -0.498 |
|   59529.8 |      B | 16.284 |  0.02 | LasCumbres1m | detected |               -0.436 |
| 59529.802 |      B | 16.224 |  0.02 | LasCumbres1m | detected |               -0.436 |
| 59529.805 |      V |  16.23 |  0.02 | LasCumbres1m | detected |                -0.32 |
| 59529.807 |      V |  16.27 |  0.02 | LasCumbres1m | detected |                -0.32 |
| 59529.809 |      g | 16.094 |  0.02 | LasCumbres1m | detected |               -0.396 |
| 59529.811 |      g | 16.124 |  0.02 | LasCumbres1m | detected |               -0.396 |
| 59529.814 |      r |  16.19 |  0.02 | LasCumbres1m | detected |                -0.27 |
| 59529.816 |      r |  16.17 |  0.02 | LasCumbres1m | detected |                -0.27 |
| 59529.817 |      i | 16.659 |  0.04 | LasCumbres1m | detected |               -0.201 |
| 59529.819 |      i | 16.559 |  0.03 | LasCumbres1m | detected |               -0.201 |
|   59530.8 |      U | 16.712 |  0.03 | LasCumbres1m | detected |               -0.498 |
| 59530.804 |      U | 16.732 |  0.03 | LasCumbres1m | detected |               -0.498 |
| 59530.808 |      B | 15.804 |  0.02 | LasCumbres1m | detected |               -0.436 |
| 59530.811 |      B | 15.814 |  0.02 | LasCumbres1m | detected |               -0.436 |
| 59530.813 |      V |  15.44 |  0.02 | LasCumbres1m | detected |                -0.32 |
| 59530.815 |      V |  15.45 |  0.02 | LasCumbres1m | detected |                -0.32 |
| 59530.817 |      g | 15.504 |  0.02 | LasCumbres1m | detected |               -0.396 |
|  59530.82 |      g | 15.504 |  0.02 | LasCumbres1m | detected |               -0.396 |
| 59530.822 |      r |  15.41 |  0.02 | LasCumbres1m | detected |                -0.27 |
| 59530.824 |      r |   15.4 |  0.01 | LasCumbres1m | detected |                -0.27 |
| 59530.826 |      i | 15.919 |  0.02 | LasCumbres1m | detected |               -0.201 |
| 59530.828 |      i | 15.979 |  0.02 | LasCumbres1m | detected |               -0.201 |
| 59531.621 |      U | 16.262 |  0.02 | LasCumbres1m | detected |               -0.498 |
| 59531.624 |      U | 16.272 |  0.02 | LasCumbres1m | detected |               -0.498 |
| 59531.628 |      B | 15.354 |  0.01 | LasCumbres1m | detected |               -0.436 |
| 59531.631 |      B | 15.344 |  0.01 | LasCumbres1m | detected |               -0.436 |
| 59531.634 |      V |  14.93 |  0.01 | LasCumbres1m | detected |                -0.32 |
| 59531.635 |      V |  14.92 |  0.01 | LasCumbres1m | detected |                -0.32 |
| 59531.637 |      g | 15.054 |  0.01 | LasCumbres1m | detected |               -0.396 |
|  59531.64 |      g | 15.054 |  0.01 | LasCumbres1m | detected |               -0.396 |
| 59531.643 |      r |   14.9 |  0.01 | LasCumbres1m | detected |                -0.27 |
| 59531.645 |      r |  14.89 |  0.01 | LasCumbres1m | detected |                -0.27 |
| 59531.647 |      i | 15.469 |  0.02 | LasCumbres1m | detected |               -0.201 |
| 59531.648 |      i | 15.479 |  0.02 | LasCumbres1m | detected |               -0.201 |
| 59531.649 |      U | 16.232 |  0.02 | LasCumbres1m | detected |               -0.498 |
| 59531.653 |      U | 16.192 |  0.02 | LasCumbres1m | detected |               -0.498 |
| 59531.657 |      B | 15.324 |  0.02 | LasCumbres1m | detected |               -0.436 |
|  59531.66 |      B | 15.284 |  0.02 | LasCumbres1m | detected |               -0.436 |
| 59531.663 |      V |   14.9 |  0.02 | LasCumbres1m | detected |                -0.32 |
| 59531.664 |      V |   14.9 |  0.01 | LasCumbres1m | detected |                -0.32 |
| 59531.666 |      g | 15.034 |  0.01 | LasCumbres1m | detected |               -0.396 |
| 59531.669 |      g | 15.024 |  0.01 | LasCumbres1m | detected |               -0.396 |
| 59531.672 |      r |  14.87 |  0.01 | LasCumbres1m | detected |                -0.27 |
| 59531.673 |      r |  14.87 |  0.01 | LasCumbres1m | detected |                -0.27 |
| 59531.675 |      i | 15.429 |  0.02 | LasCumbres1m | detected |               -0.201 |
| 59531.677 |      i | 15.449 |  0.02 | LasCumbres1m | detected |               -0.201 |
| 59532.483 |      U | 15.692 |  0.02 | LasCumbres1m | detected |               -0.498 |
| 59532.487 |      U | 15.702 |  0.02 | LasCumbres1m | detected |               -0.498 |
| 59532.491 |      B | 14.714 |  0.01 | LasCumbres1m | detected |               -0.436 |
| 59532.493 |      B | 14.704 |  0.01 | LasCumbres1m | detected |               -0.436 |
| 59532.496 |      V |  14.45 |  0.01 | LasCumbres1m | detected |                -0.32 |
| 59532.498 |      V |  14.45 |  0.01 | LasCumbres1m | detected |                -0.32 |
|   59532.5 |      g | 14.464 |  0.01 | LasCumbres1m | detected |               -0.396 |
| 59532.502 |      g | 14.454 |  0.01 | LasCumbres1m | detected |               -0.396 |
| 59532.505 |      r |  14.43 |  0.01 | LasCumbres1m | detected |                -0.27 |
| 59532.507 |      r |  14.43 |  0.01 | LasCumbres1m | detected |                -0.27 |
| 59532.509 |      i | 14.989 |  0.01 | LasCumbres1m | detected |               -0.201 |
| 59532.511 |      i | 14.989 |  0.01 | LasCumbres1m | detected |               -0.201 |
| 59532.806 |      U | 15.512 |  0.02 | LasCumbres1m | detected |               -0.498 |
| 59532.809 |      U | 15.452 |  0.02 | LasCumbres1m | detected |               -0.498 |
| 59532.812 |      B | 14.424 |  0.01 | LasCumbres1m | detected |               -0.436 |
| 59532.814 |      B | 14.424 |  0.02 | LasCumbres1m | detected |               -0.436 |
| 59532.815 |      V |  14.31 |  0.01 | LasCumbres1m | detected |                -0.32 |
| 59532.817 |      V |  14.29 |  0.01 | LasCumbres1m | detected |                -0.32 |
| 59532.818 |      g | 14.254 |  0.01 | LasCumbres1m | detected |               -0.396 |
|  59532.82 |      g | 14.234 |  0.01 | LasCumbres1m | detected |               -0.396 |
| 59532.822 |      r |  14.27 |  0.01 | LasCumbres1m | detected |                -0.27 |
| 59532.823 |      r |  14.27 |  0.01 | LasCumbres1m | detected |                -0.27 |
| 59532.825 |      i | 14.869 |  0.01 | LasCumbres1m | detected |               -0.201 |
| 59532.826 |      i | 14.849 |  0.01 | LasCumbres1m | detected |               -0.201 |
| 59533.423 |      U | 15.052 |  0.02 | LasCumbres1m | detected |               -0.498 |
| 59533.426 |      U | 15.002 |  0.03 | LasCumbres1m | detected |               -0.498 |
| 59533.429 |      B | 14.064 |  0.01 | LasCumbres1m | detected |               -0.436 |
| 59533.431 |      B | 14.054 |  0.01 | LasCumbres1m | detected |               -0.436 |
| 59533.432 |      V |  13.99 |  0.01 | LasCumbres1m | detected |                -0.32 |
| 59533.434 |      V |  13.99 |  0.01 | LasCumbres1m | detected |                -0.32 |
| 59533.435 |      g | 13.904 |  0.01 | LasCumbres1m | detected |               -0.396 |
| 59533.437 |      g | 13.904 |  0.01 | LasCumbres1m | detected |               -0.396 |
| 59533.439 |      r |  13.98 |  0.01 | LasCumbres1m | detected |                -0.27 |
|  59533.44 |      r |  13.99 |  0.01 | LasCumbres1m | detected |                -0.27 |
| 59533.442 |      i | 14.519 |  0.01 | LasCumbres1m | detected |               -0.201 |
| 59533.443 |      i | 14.539 |  0.01 | LasCumbres1m | detected |               -0.201 |
| 59533.782 |      U | 14.742 |  0.02 | LasCumbres1m | detected |               -0.498 |
| 59533.784 |      U | 14.722 |  0.02 | LasCumbres1m | detected |               -0.498 |
| 59533.787 |      B | 13.764 |  0.01 | LasCumbres1m | detected |               -0.436 |
| 59533.789 |      B | 13.774 |  0.01 | LasCumbres1m | detected |               -0.436 |
| 59533.791 |      V |  13.84 |  0.01 | LasCumbres1m | detected |                -0.32 |
| 59533.792 |      V |  13.84 |  0.01 | LasCumbres1m | detected |                -0.32 |
| 59533.794 |      g | 13.674 |  0.01 | LasCumbres1m | detected |               -0.396 |
| 59533.795 |      g | 13.674 |  0.01 | LasCumbres1m | detected |               -0.396 |
| 59533.797 |      r |  13.82 |  0.01 | LasCumbres1m | detected |                -0.27 |
| 59533.799 |      r |  13.82 |  0.01 | LasCumbres1m | detected |                -0.27 |
| 59533.801 |      i | 14.379 |  0.01 | LasCumbres1m | detected |               -0.201 |
| 59534.421 |      U | 14.232 |  0.02 | LasCumbres1m | detected |               -0.498 |
| 59534.424 |      U | 14.232 |  0.02 | LasCumbres1m | detected |               -0.498 |
| 59534.427 |      B | 13.474 |  0.01 | LasCumbres1m | detected |               -0.436 |
| 59534.429 |      B | 13.484 |  0.01 | LasCumbres1m | detected |               -0.436 |
|  59534.43 |      V |  13.58 |  0.01 | LasCumbres1m | detected |                -0.32 |
| 59534.432 |      V |  13.58 |  0.01 | LasCumbres1m | detected |                -0.32 |
| 59534.433 |      g | 13.404 |  0.01 | LasCumbres1m | detected |               -0.396 |
| 59534.435 |      g | 13.414 |  0.01 | LasCumbres1m | detected |               -0.396 |
| 59534.437 |      r |  13.55 |  0.01 | LasCumbres1m | detected |                -0.27 |
| 59534.438 |      r |  13.55 |  0.01 | LasCumbres1m | detected |                -0.27 |
|  59534.44 |      i | 14.079 |  0.01 | LasCumbres1m | detected |               -0.201 |
| 59534.441 |      i | 14.079 |  0.01 | LasCumbres1m | detected |               -0.201 |
| 59534.815 |      U | 14.112 |  0.02 | LasCumbres1m | detected |               -0.498 |
| 59534.817 |      U | 14.132 |  0.02 | LasCumbres1m | detected |               -0.498 |
| 59534.819 |      B | 13.204 |  0.01 | LasCumbres1m | detected |               -0.436 |
|  59534.82 |      B | 13.214 |  0.01 | LasCumbres1m | detected |               -0.436 |
| 59534.821 |      V |  13.45 |  0.01 | LasCumbres1m | detected |                -0.32 |
| 59534.822 |      V |  13.45 |  0.01 | LasCumbres1m | detected |                -0.32 |
| 59534.824 |      g | 13.194 |  0.01 | LasCumbres1m | detected |               -0.396 |
| 59534.825 |      g | 13.194 |  0.01 | LasCumbres1m | detected |               -0.396 |
| 59534.827 |      r |   13.4 |  0.01 | LasCumbres1m | detected |                -0.27 |
| 59534.828 |      r |   13.4 |  0.01 | LasCumbres1m | detected |                -0.27 |
| 59534.829 |      i | 13.959 |  0.01 | LasCumbres1m | detected |               -0.201 |
|  59534.83 |      i | 13.949 |  0.01 | LasCumbres1m | detected |               -0.201 |
| 59536.069 |      U | 13.452 |  0.02 | LasCumbres1m | detected |               -0.498 |
| 59536.071 |      U | 13.492 |  0.02 | LasCumbres1m | detected |               -0.498 |
| 59536.073 |      B | 12.734 |  0.01 | LasCumbres1m | detected |               -0.436 |
| 59536.074 |      B | 12.744 |  0.01 | LasCumbres1m | detected |               -0.436 |
| 59536.076 |      V |  13.02 |  0.02 | LasCumbres1m | detected |                -0.32 |
| 59536.077 |      V |  13.01 |  0.02 | LasCumbres1m | detected |                -0.32 |
| 59536.078 |      g | 12.734 |  0.01 | LasCumbres1m | detected |               -0.396 |
| 59536.079 |      g | 12.734 |  0.01 | LasCumbres1m | detected |               -0.396 |
| 59536.081 |      r |  12.98 |  0.01 | LasCumbres1m | detected |                -0.27 |
| 59536.082 |      r |  12.99 |  0.01 | LasCumbres1m | detected |                -0.27 |
| 59536.083 |      i | 13.489 |  0.01 | LasCumbres1m | detected |               -0.201 |
| 59536.084 |      i | 13.489 |  0.01 | LasCumbres1m | detected |               -0.201 |
| 59536.953 |      U | 13.142 |  0.02 | LasCumbres1m | detected |               -0.498 |
| 59536.955 |      U | 13.122 |  0.02 | LasCumbres1m | detected |               -0.498 |
| 59536.956 |      B | 12.494 |  0.01 | LasCumbres1m | detected |               -0.436 |
| 59536.958 |      B | 12.494 |  0.01 | LasCumbres1m | detected |               -0.436 |
| 59536.959 |      V |  12.81 |  0.01 | LasCumbres1m | detected |                -0.32 |
|  59536.96 |      V |  12.81 |  0.01 | LasCumbres1m | detected |                -0.32 |
| 59536.962 |      g | 12.504 |  0.01 | LasCumbres1m | detected |               -0.396 |
| 59536.963 |      g | 12.494 |  0.01 | LasCumbres1m | detected |               -0.396 |
| 59536.964 |      r |  12.78 |  0.01 | LasCumbres1m | detected |                -0.27 |
| 59536.965 |      r |  12.77 |  0.01 | LasCumbres1m | detected |                -0.27 |
| 59536.967 |      i | 13.249 |  0.01 | LasCumbres1m | detected |               -0.201 |
| 59536.968 |      i | 13.249 |  0.01 | LasCumbres1m | detected |               -0.201 |
| 59537.853 |      U | 12.882 |  0.02 | LasCumbres1m | detected |               -0.498 |
| 59537.855 |      U | 12.872 |  0.02 | LasCumbres1m | detected |               -0.498 |
| 59537.857 |      B | 12.304 |  0.01 | LasCumbres1m | detected |               -0.436 |
| 59537.858 |      B | 12.294 |  0.01 | LasCumbres1m | detected |               -0.436 |
|  59537.86 |      V |  12.62 |  0.01 | LasCumbres1m | detected |                -0.32 |
| 59537.861 |      V |  12.62 |  0.01 | LasCumbres1m | detected |                -0.32 |
| 59537.862 |      g | 12.304 |  0.01 | LasCumbres1m | detected |               -0.396 |
| 59537.863 |      g | 12.294 |  0.01 | LasCumbres1m | detected |               -0.396 |
| 59537.865 |      r |  12.59 |  0.01 | LasCumbres1m | detected |                -0.27 |
| 59537.866 |      r |  12.59 |  0.01 | LasCumbres1m | detected |                -0.27 |
| 59537.867 |      i | 13.039 |  0.01 | LasCumbres1m | detected |               -0.201 |
| 59537.868 |      i | 13.039 |  0.01 | LasCumbres1m | detected |               -0.201 |
| 59538.854 |      U | 12.702 |  0.02 | LasCumbres1m | detected |               -0.498 |
| 59538.856 |      U | 12.672 |  0.02 | LasCumbres1m | detected |               -0.498 |
| 59538.858 |      B | 12.094 |  0.02 | LasCumbres1m | detected |               -0.436 |
| 59538.859 |      B | 12.104 |  0.01 | LasCumbres1m | detected |               -0.436 |
| 59538.861 |      V |  12.44 |  0.01 | LasCumbres1m | detected |                -0.32 |
| 59538.862 |      V |  12.45 |  0.01 | LasCumbres1m | detected |                -0.32 |
| 59538.863 |      g | 12.114 |  0.01 | LasCumbres1m | detected |               -0.396 |
| 59538.864 |      g | 12.124 |  0.01 | LasCumbres1m | detected |               -0.396 |
| 59538.866 |      r |  12.42 |  0.01 | LasCumbres1m | detected |                -0.27 |
| 59538.867 |      r |  12.42 |  0.01 | LasCumbres1m | detected |                -0.27 |
| 59538.868 |      i | 12.859 |  0.01 | LasCumbres1m | detected |               -0.201 |
| 59538.869 |      i | 12.849 |  0.01 | LasCumbres1m | detected |               -0.201 |
| 59541.771 |      U | 12.312 |  0.02 | LasCumbres1m | detected |               -0.498 |
| 59541.772 |      U | 12.302 |  0.02 | LasCumbres1m | detected |               -0.498 |
| 59541.774 |      B | 11.734 |  0.02 | LasCumbres1m | detected |               -0.436 |
| 59541.776 |      B | 11.724 |  0.01 | LasCumbres1m | detected |               -0.436 |
| 59541.777 |      V |   12.1 |  0.01 | LasCumbres1m | detected |                -0.32 |
| 59541.778 |      V |   12.1 |  0.01 | LasCumbres1m | detected |                -0.32 |
| 59541.779 |      g | 11.784 |  0.01 | LasCumbres1m | detected |               -0.396 |
| 59541.781 |      g | 11.784 |  0.01 | LasCumbres1m | detected |               -0.396 |
| 59541.782 |      r |  12.11 |  0.01 | LasCumbres1m | detected |                -0.27 |
| 59541.783 |      r |  12.11 |  0.01 | LasCumbres1m | detected |                -0.27 |
| 59541.789 |      U | 12.262 |  0.02 | LasCumbres1m | detected |               -0.498 |
| 59541.791 |      U | 12.272 |  0.02 | LasCumbres1m | detected |               -0.498 |
| 59541.793 |      B | 11.744 |  0.02 | LasCumbres1m | detected |               -0.436 |
| 59541.794 |      B | 11.754 |  0.01 | LasCumbres1m | detected |               -0.436 |
| 59541.796 |      V |  12.09 |  0.01 | LasCumbres1m | detected |                -0.32 |
| 59541.797 |      V |  12.08 |  0.01 | LasCumbres1m | detected |                -0.32 |
| 59541.798 |      g | 11.814 |  0.01 | LasCumbres1m | detected |               -0.396 |
| 59541.799 |      g | 11.804 |  0.01 | LasCumbres1m | detected |               -0.396 |
| 59541.801 |      r |   12.1 |  0.01 | LasCumbres1m | detected |                -0.27 |
| 59541.802 |      r |  12.08 |  0.01 | LasCumbres1m | detected |                -0.27 |
| 59541.803 |      i | 12.599 |  0.02 | LasCumbres1m | detected |               -0.201 |
| 59541.804 |      i | 12.589 |  0.01 | LasCumbres1m | detected |               -0.201 |
| 59542.947 |      U | 12.172 |  0.02 | LasCumbres1m | detected |               -0.498 |
| 59542.949 |      U | 12.172 |  0.02 | LasCumbres1m | detected |               -0.498 |
| 59542.951 |      B | 11.674 |  0.01 | LasCumbres1m | detected |               -0.436 |
| 59542.952 |      B | 11.684 |  0.01 | LasCumbres1m | detected |               -0.436 |
| 59542.954 |      V |   12.0 |  0.01 | LasCumbres1m | detected |                -0.32 |
| 59542.955 |      V |   12.0 |  0.01 | LasCumbres1m | detected |                -0.32 |
| 59542.956 |      g | 11.784 |  0.01 | LasCumbres1m | detected |               -0.396 |
| 59543.017 |      U | 12.182 |  0.02 | LasCumbres1m | detected |               -0.498 |
| 59543.019 |      U | 12.172 |  0.02 | LasCumbres1m | detected |               -0.498 |
| 59543.021 |      B | 11.644 |  0.01 | LasCumbres1m | detected |               -0.436 |
| 59543.022 |      B | 11.634 |  0.01 | LasCumbres1m | detected |               -0.436 |
| 59543.024 |      V |  11.97 |  0.01 | LasCumbres1m | detected |                -0.32 |
| 59543.025 |      V |  11.96 |  0.01 | LasCumbres1m | detected |                -0.32 |
| 59543.026 |      g | 11.664 |  0.01 | LasCumbres1m | detected |               -0.396 |
| 59543.027 |      g | 11.664 |  0.01 | LasCumbres1m | detected |               -0.396 |
| 59543.029 |      r |   12.0 |  0.01 | LasCumbres1m | detected |                -0.27 |
|  59543.03 |      r |   12.0 |  0.01 | LasCumbres1m | detected |                -0.27 |
| 59543.031 |      i | 12.529 |  0.01 | LasCumbres1m | detected |               -0.201 |
| 59543.032 |      i | 12.519 |  0.01 | LasCumbres1m | detected |               -0.201 |
| 59544.087 |      U | 12.102 |  0.02 | LasCumbres1m | detected |               -0.498 |
| 59544.089 |      U | 12.102 |  0.01 | LasCumbres1m | detected |               -0.498 |
|  59544.09 |      B | 11.574 |  0.01 | LasCumbres1m | detected |               -0.436 |
| 59544.092 |      B | 11.574 |  0.01 | LasCumbres1m | detected |               -0.436 |
| 59544.093 |      V |  11.89 |  0.01 | LasCumbres1m | detected |                -0.32 |
| 59544.094 |      V |   11.9 |  0.01 | LasCumbres1m | detected |                -0.32 |
| 59544.096 |      g | 11.594 |  0.01 | LasCumbres1m | detected |               -0.396 |
| 59544.097 |      g | 11.594 |  0.01 | LasCumbres1m | detected |               -0.396 |
| 59544.098 |      r |  11.96 |  0.01 | LasCumbres1m | detected |                -0.27 |
| 59544.099 |      r |  11.95 |  0.01 | LasCumbres1m | detected |                -0.27 |
| 59544.101 |      i | 12.519 |  0.01 | LasCumbres1m | detected |               -0.201 |
| 59544.102 |      i | 12.529 |  0.01 | LasCumbres1m | detected |               -0.201 |
| 59547.873 |      U | 12.132 |  0.02 | LasCumbres1m | detected |               -0.498 |
| 59547.875 |      U | 12.142 |  0.02 | LasCumbres1m | detected |               -0.498 |
| 59547.876 |      B | 11.574 |  0.01 | LasCumbres1m | detected |               -0.436 |
| 59547.877 |      B | 11.574 |  0.01 | LasCumbres1m | detected |               -0.436 |
| 59547.879 |      V |  11.83 |  0.02 | LasCumbres1m | detected |                -0.32 |
| 59547.879 |      V |  11.82 |  0.01 | LasCumbres1m | detected |                -0.32 |
|  59547.88 |      g | 11.584 |  0.01 | LasCumbres1m | detected |               -0.396 |
| 59547.881 |      g | 11.594 |  0.01 | LasCumbres1m | detected |               -0.396 |
| 59547.882 |      r |  11.85 |  0.01 | LasCumbres1m | detected |                -0.27 |
| 59547.883 |      r |  11.84 |  0.01 | LasCumbres1m | detected |                -0.27 |
| 59547.884 |      i | 12.579 |  0.01 | LasCumbres1m | detected |               -0.201 |
| 59547.884 |      i | 12.589 |  0.01 | LasCumbres1m | detected |               -0.201 |
| 59548.804 |      U | 12.192 |  0.02 | LasCumbres1m | detected |               -0.498 |
| 59548.806 |      U | 12.202 |  0.02 | LasCumbres1m | detected |               -0.498 |
| 59548.807 |      B | 11.604 |  0.01 | LasCumbres1m | detected |               -0.436 |
| 59548.808 |      B | 11.604 |  0.01 | LasCumbres1m | detected |               -0.436 |
| 59548.892 |      U | 12.202 |  0.02 | LasCumbres1m | detected |               -0.498 |
| 59548.894 |      U | 12.202 |  0.02 | LasCumbres1m | detected |               -0.498 |
| 59548.895 |      B | 11.604 |  0.01 | LasCumbres1m | detected |               -0.436 |
| 59548.896 |      B | 11.604 |  0.01 | LasCumbres1m | detected |               -0.436 |
| 59548.898 |      V |  11.82 |  0.01 | LasCumbres1m | detected |                -0.32 |
| 59548.898 |      V |  11.82 |  0.01 | LasCumbres1m | detected |                -0.32 |
| 59548.899 |      g | 11.604 |  0.01 | LasCumbres1m | detected |               -0.396 |
|   59548.9 |      g | 11.604 |  0.01 | LasCumbres1m | detected |               -0.396 |
| 59548.901 |      r |  11.83 |  0.01 | LasCumbres1m | detected |                -0.27 |
| 59548.902 |      r |  11.83 |  0.01 | LasCumbres1m | detected |                -0.27 |
| 59548.903 |      i | 12.609 |  0.01 | LasCumbres1m | detected |               -0.201 |
| 59548.903 |      i | 12.609 |  0.01 | LasCumbres1m | detected |               -0.201 |
| 59550.525 |      U | 12.292 |  0.02 | LasCumbres1m | detected |               -0.498 |
| 59550.526 |      U | 12.282 |  0.02 | LasCumbres1m | detected |               -0.498 |
| 59550.574 |      U | 12.282 |  0.02 | LasCumbres1m | detected |               -0.498 |
| 59550.575 |      U | 12.282 |  0.02 | LasCumbres1m | detected |               -0.498 |
| 59550.577 |      B | 11.664 |  0.01 | LasCumbres1m | detected |               -0.436 |
| 59550.578 |      B | 11.664 |  0.01 | LasCumbres1m | detected |               -0.436 |
| 59550.579 |      V |  11.82 |  0.01 | LasCumbres1m | detected |                -0.32 |
| 59550.579 |      V |  11.82 |  0.01 | LasCumbres1m | detected |                -0.32 |
|  59550.58 |      g | 11.634 |  0.01 | LasCumbres1m | detected |               -0.396 |
| 59550.581 |      g | 11.644 |  0.01 | LasCumbres1m | detected |               -0.396 |
| 59550.582 |      r |  11.85 |  0.01 | LasCumbres1m | detected |                -0.27 |
| 59550.583 |      r |  11.86 |  0.01 | LasCumbres1m | detected |                -0.27 |
| 59550.584 |      i | 12.669 |  0.01 | LasCumbres1m | detected |               -0.201 |
| 59550.584 |      i | 12.659 |  0.01 | LasCumbres1m | detected |               -0.201 |
| 59551.594 |      U | 12.332 |  0.02 | LasCumbres1m | detected |               -0.498 |
| 59551.595 |      U | 12.342 |  0.02 | LasCumbres1m | detected |               -0.498 |
| 59551.597 |      B | 11.714 |  0.01 | LasCumbres1m | detected |               -0.436 |
| 59551.597 |      B | 11.704 |  0.01 | LasCumbres1m | detected |               -0.436 |
| 59551.599 |      V |  11.84 |  0.01 | LasCumbres1m | detected |                -0.32 |
| 59551.599 |      V |  11.84 |  0.01 | LasCumbres1m | detected |                -0.32 |
|   59551.6 |      g | 11.664 |  0.01 | LasCumbres1m | detected |               -0.396 |
| 59551.601 |      g | 11.664 |  0.01 | LasCumbres1m | detected |               -0.396 |
| 59551.602 |      r |  11.88 |  0.01 | LasCumbres1m | detected |                -0.27 |
| 59551.603 |      r |  11.87 |  0.01 | LasCumbres1m | detected |                -0.27 |
| 59551.603 |      i | 12.709 |  0.01 | LasCumbres1m | detected |               -0.201 |
| 59551.604 |      i | 12.709 |  0.02 | LasCumbres1m | detected |               -0.201 |
| 59553.265 |      U | 12.452 |  0.02 | LasCumbres1m | detected |               -0.498 |
| 59553.266 |      U | 12.452 |  0.02 | LasCumbres1m | detected |               -0.498 |
| 59553.268 |      B | 11.744 |  0.01 | LasCumbres1m | detected |               -0.436 |
| 59553.269 |      B | 11.734 |  0.01 | LasCumbres1m | detected |               -0.436 |
|  59553.27 |      V |  11.87 |  0.01 | LasCumbres1m | detected |                -0.32 |
|  59553.27 |      V |  11.87 |  0.01 | LasCumbres1m | detected |                -0.32 |
| 59553.271 |      g | 11.684 |  0.01 | LasCumbres1m | detected |               -0.396 |
| 59553.272 |      g | 11.674 |  0.01 | LasCumbres1m | detected |               -0.396 |
| 59553.273 |      r |  11.91 |  0.01 | LasCumbres1m | detected |                -0.27 |
| 59553.274 |      r |  11.92 |  0.01 | LasCumbres1m | detected |                -0.27 |
| 59553.274 |      i | 12.769 |  0.01 | LasCumbres1m | detected |               -0.201 |
| 59553.275 |      i | 12.759 |  0.01 | LasCumbres1m | detected |               -0.201 |
| 59555.155 |      U | 12.592 |  0.02 | LasCumbres1m | detected |               -0.498 |
| 59555.156 |      U | 12.602 |  0.02 | LasCumbres1m | detected |               -0.498 |
| 59555.158 |      B | 11.934 |  0.02 | LasCumbres1m | detected |               -0.436 |
| 59555.159 |      B | 11.934 |  0.02 | LasCumbres1m | detected |               -0.436 |
|  59555.16 |      V |  11.95 |  0.02 | LasCumbres1m | detected |                -0.32 |
|  59555.16 |      V |  11.94 |  0.02 | LasCumbres1m | detected |                -0.32 |
| 59555.161 |      g | 11.814 |  0.01 | LasCumbres1m | detected |               -0.396 |
| 59555.162 |      g | 11.834 |  0.01 | LasCumbres1m | detected |               -0.396 |
| 59555.163 |      r |  12.02 |  0.01 | LasCumbres1m | detected |                -0.27 |
| 59555.164 |      r |  12.03 |  0.01 | LasCumbres1m | detected |                -0.27 |
| 59555.164 |      i | 12.879 |  0.01 | LasCumbres1m | detected |               -0.201 |
| 59555.165 |      i | 12.869 |  0.01 | LasCumbres1m | detected |               -0.201 |
| 59557.962 |      B | 12.114 |  0.02 | LasCumbres1m | detected |               -0.436 |
| 59557.962 |      B | 12.104 |  0.02 | LasCumbres1m | detected |               -0.436 |
| 59557.963 |      V |  12.14 |  0.02 | LasCumbres1m | detected |                -0.32 |
| 59557.963 |      V |  12.12 |  0.02 | LasCumbres1m | detected |                -0.32 |
| 59557.964 |      g | 11.934 |  0.02 | LasCumbres1m | detected |               -0.396 |
| 59557.965 |      g | 11.944 |  0.02 | LasCumbres1m | detected |               -0.396 |
| 59557.965 |      r |  12.25 |  0.02 | LasCumbres1m | detected |                -0.27 |
| 59557.966 |      r |  12.24 |  0.02 | LasCumbres1m | detected |                -0.27 |
| 59557.966 |      i | 13.169 |  0.02 | LasCumbres1m | detected |               -0.201 |
| 59557.967 |      i | 13.149 |  0.02 | LasCumbres1m | detected |               -0.201 |
| 59558.971 |      B | 12.184 |  0.01 | LasCumbres1m | detected |               -0.436 |
| 59558.971 |      B | 12.184 |  0.01 | LasCumbres1m | detected |               -0.436 |
