utctime,alt,az
2024-12-12 09:41:50.649830,68.18428329061037,255.13160472780967
2024-12-12 09:51:50.649830,66.21684219433297,257.7403666507066
2024-12-12 10:01:50.649830,64.23084487521518,260.0639131378684
2024-12-12 10:11:50.649830,62.23132232028736,262.1631816080184
2024-12-12 10:21:50.649830,60.22208105483432,264.08393480922933
2024-12-12 10:31:50.649830,58.2060772776481,265.8611101086944
2024-12-12 10:41:50.649830,56.18566581472576,267.52180420499883
2024-12-12 10:51:50.649830,54.16276944912168,269.08734960376495
2024-12-12 11:01:50.649830,52.1389965385845,270.5747806034446
2024-12-12 11:11:50.649830,50.11572436773254,271.9978836803294
2024-12-12 11:21:50.649830,48.09415936274118,273.3679610024182
2024-12-12 11:31:50.649830,46.07538140725506,274.6943931214677
2024-12-12 11:41:50.649830,44.06037705759768,275.98505912395564
2024-12-12 11:51:50.649830,42.05006489475747,277.2466542503642
2024-12-12 12:01:50.649830,40.045315234609205,278.4849328183255
2024-12-12 12:11:50.649830,38.04696574497598,279.70489606785736
2024-12-12 12:21:50.649830,36.05583406533236,280.9109389276785
2024-12-12 12:31:50.649830,34.072728215506416,282.1069658097007
2024-12-12 12:41:50.649830,32.09845536517197,283.29648280968314
2024-12-12 12:51:50.649830,30.133829385179304,284.48267175516247
2024-12-12 13:01:50.649830,28.179677494294058,285.66845015121714
2024-12-12 13:11:50.649830,26.236846237310363,286.8565200649368
2024-12-12 13:21:50.649830,24.306206973634097,288.04940824818425
2024-12-12 13:31:50.649830,22.388661013162334,289.2494992479568
2024-12-12 13:41:50.649830,20.485144504113663,290.4590628406617
2024-12-12 13:51:50.649830,18.596633152681772,291.68027681290476
2024-12-12 14:01:50.649830,16.72414683438923,292.9152458703413
2024-12-12 14:11:50.649830,14.868754140697817,294.16601726821386
2024-12-12 14:21:50.649830,13.031576890133328,295.43459360876705
2024-12-12 14:31:50.649830,11.213794620338824,296.7229431314425
2024-12-12 14:41:50.649830,9.41664906518854,298.0330077243238
2024-12-12 14:51:50.649830,7.641448608748824,299.3667088043521
2024-12-12 15:01:50.649830,5.889572695126347,300.7259511453716
2024-12-12 15:11:50.649830,4.16247615951515,302.11262467448375
2024-12-12 15:21:50.649830,2.461693430829695,303.5286042065937
2024-12-12 15:31:50.649830,0.7888425397118128,304.97574704362336
2024-12-12 15:41:50.649830,-0.8543711524634169,306.4558883281198
2024-12-12 15:51:50.649830,-2.466151608189555,307.9708340116705
2024-12-12 16:01:50.649830,-4.044609278499478,309.5223512774162
2024-12-12 16:11:50.649830,-5.587758927857732,311.1121562451516
2024-12-12 16:21:50.649830,-7.093518294094133,312.741898789087
2024-12-12 16:31:50.649830,-8.559707783530168,314.41314431573124
2024-12-12 16:41:50.649830,-9.98405142600851,316.1273523857897
2024-12-12 16:51:50.649830,-11.364179337086307,317.8858521236169
2024-12-12 17:01:50.649830,-12.697631953020306,319.6898144443879
2024-12-12 17:11:50.649830,-13.981866315990748,321.5402212464313
2024-12-12 17:21:50.649830,-15.214264689160844,323.4378318664658
2024-12-12 17:31:50.649830,-16.39214577039568,325.3831472796834
2024-12-12 17:41:50.649830,-17.51277874586709,327.3763727422976
2024-12-12 17:51:50.649830,-18.573400377014174,329.4173798158162
2024-12-12 18:01:50.649830,-19.571235242807667,331.50566896851177
2024-12-12 18:11:50.649830,-20.503519162202036,333.6403342047056
2024-12-12 18:21:50.649830,-21.367525697996047,335.8200314036351
2024-12-12 18:31:50.649830,-22.16059549511978,338.04295223006113
2024-12-12 18:41:50.649830,-22.880168037999642,340.3068055769444
2024-12-12 18:51:50.649830,-23.523815231320263,342.6088084852931
2024-12-12 19:01:50.649830,-24.089276027611746,344.94568832954513
2024-12-12 19:11:50.649830,-24.574491158250403,347.31369773953037
2024-12-12 19:21:50.649830,-24.97763688829021,349.70864324714216
2024-12-12 19:31:50.649830,-25.297156627036795,352.12592801086674
2024-12-12 19:41:50.649830,-25.53178920069383,354.5606082191086
2024-12-12 19:51:50.649830,-25.680592641805866,357.0074619587337
2024-12-12 20:01:50.649830,-25.742962477391853,359.4610685301336
2024-12-12 20:11:50.649830,-25.718643700340795,1.9158954731139286
2024-12-12 20:21:50.649830,-25.60773587524497,4.366390016073913
2024-12-12 20:31:50.649830,-25.41069114101982,6.807071335794839
2024-12-12 20:41:50.649830,-25.128305203527386,9.232619955097285
2024-12-12 20:51:50.649830,-24.76170173454317,11.637960817157213
