phase,v
0.552399,33753.7
1.56378,26316.7
1.80004,25605.7
2.37804,23783.3
2.75340,23362.2
3.53246,22435.2
4.29902,21829.1
4.55858,21933.3
5.20135,21829.1
5.78022,21725.3
7.13842,21829.1
7.54727,21163.6
8.76423,20616.3
9.56984,20493.9
