wavelength flux fluxerr
4003.515 9.064265266547241e-13 2.6556691771112164e-15
4007.844 7.632884045126303e-13 2.5581946155548376e-15
4012.172 8.143945546954643e-13 2.4973374253672902e-15
4016.501 8.267894372599514e-13 2.458404414766981e-15
4020.83 7.946854267797339e-13 2.3786375440407802e-15
4025.159 7.93952617103194e-13 2.357694368119378e-15
4029.488 7.147725821369775e-13 2.301164817793023e-15
4033.817 7.682556562781816e-13 2.275983611496727e-15
4038.146 6.751165700624375e-13 2.2137567521803335e-15
4042.475 7.173346777712604e-13 2.19459835773922e-15
4046.805 7.690249732839093e-13 2.159950582462943e-15
4051.134 7.179465614555341e-13 2.100080960113185e-15
4055.464 7.783337574173036e-13 2.101086587233896e-15
4059.794 8.103987754482134e-13 2.0552565842678286e-15
4064.124 7.770543728234588e-13 2.0025937122730674e-15
4068.454 7.327782403036651e-13 1.9592666855335853e-15
4072.784 7.889690175964884e-13 1.9264069753775447e-15
4077.114 6.848475231664249e-13 1.8940768610870673e-15
4081.445 7.098714668388965e-13 1.8565760991197758e-15
4085.775 7.462650810204239e-13 1.8285656825501365e-15
4090.106 7.070257338297097e-13 1.8096880051686596e-15
4094.437 7.489376260469294e-13 1.80452661854379e-15
4098.768 7.581819672248673e-13 1.8011455908550366e-15
4103.099 7.866417262412493e-13 1.7653170842303514e-15
4107.43 7.909068362910725e-13 1.7890667560164377e-15
4111.761 8.007917864203975e-13 1.7443506711243963e-15
4116.092 7.483939279566568e-13 1.6893204808802606e-15
4120.424 7.177441352201945e-13 1.6219420652815223e-15
4124.755 6.672620192903597e-13 1.5837904912308673e-15
4129.087 6.557030822878217e-13 1.5568915426710878e-15
4133.419 6.60098155319162e-13 1.5408359511332718e-15
4137.75 6.544538002983295e-13 1.5092243643262168e-15
4142.082 6.619850436609795e-13 1.4958920499720613e-15
4146.415 6.615988877718697e-13 1.4600750184992649e-15
4150.747 6.603634084864449e-13 1.4439616128479756e-15
4155.079 6.297511821304827e-13 1.4418299135098094e-15
4159.412 6.306436948521069e-13 1.4145796071584874e-15
4163.744 6.282039737245146e-13 1.4012668512310237e-15
4168.077 6.215800130524556e-13 1.3858634011531267e-15
4172.41 6.5470667439359e-13 1.3911135719606698e-15
4176.743 6.279350094766213e-13 1.3603075956567851e-15
4181.076 6.156348724628737e-13 1.3518357470650504e-15
4185.409 6.29270781386836e-13 1.3304296205730969e-15
4189.742 6.461155418808018e-13 1.3187265788605163e-15
4194.076 6.271143751596704e-13 1.3041420695095277e-15
4198.409 5.803403004049757e-13 1.2846087047242064e-15
4202.743 5.916633363244764e-13 1.276356981969734e-15
4207.076 5.945113835705116e-13 1.2665021030642955e-15
4211.41 5.831832972258098e-13 1.2479080507355329e-15
4215.744 6.130541585532734e-13 1.257967985373937e-15
4220.078 6.146212015463242e-13 1.2499603314959907e-15
4224.413 5.873860453558197e-13 1.2407419949754052e-15
4228.747 5.939066649012596e-13 1.228079991365358e-15
4233.081 6.111169978188041e-13 1.2231676066358348e-15
4237.416 5.775176835626284e-13 1.2142123582866931e-15
4241.751 6.015987170943427e-13 1.214566373915282e-15
4246.085 5.94814652527084e-13 1.1967588822781165e-15
4250.42 5.811659390988985e-13 1.18847593963414e-15
4254.755 5.697136317282515e-13 1.1839679178055836e-15
4259.09 5.660468353426892e-13 1.1735414982605387e-15
4263.426 5.802968078795306e-13 1.1647879286353122e-15
4267.761 6.125875577812361e-13 1.159683022943469e-15
4272.096 5.762520176846144e-13 1.1540386405680457e-15
4276.432 5.591262597403459e-13 1.1405957939197544e-15
4280.768 5.578309265514538e-13 1.1372517679323216e-15
4285.104 5.767474573105182e-13 1.1381358949688579e-15
4289.439 5.560544692240463e-13 1.1309531249237753e-15
4293.775 5.665528948439118e-13 1.1229485011661925e-15
4298.112 5.688907101765108e-13 1.1156900649807656e-15
4302.448 5.574512649835048e-13 1.1119355931943294e-15
4306.784 5.559394842627728e-13 1.1047760081935619e-15
4311.121 5.651708436242091e-13 1.1044487559606845e-15
4315.457 5.42497581154231e-13 1.1017841165153874e-15
4319.794 5.49147156971919e-13 1.101058767697248e-15
4324.131 5.662771708905227e-13 1.1045536913429013e-15
4328.468 5.869784186688632e-13 1.1145540958154104e-15
4332.805 6.065905804870754e-13 1.1414751173206705e-15
4337.142 6.79868175574226e-13 1.1738223568464039e-15
4341.48 7.430109840542806e-13 1.2133990250137608e-15
4345.817 7.872409519170158e-13 1.2437076961157466e-15
4350.155 7.162424496480711e-13 1.2154781855986732e-15
4354.492 6.429336940794329e-13 1.1725889442306592e-15
4358.83 5.758590820931472e-13 1.1542721289154183e-15
4363.168 6.174594150304993e-13 1.1722530909292883e-15
4367.506 6.277319910670167e-13 1.1720741572597587e-15
4371.844 5.928010453306592e-13 1.1357850452172775e-15
4376.182 5.351427736843843e-13 1.0942220857211891e-15
4380.521 5.341123872529427e-13 1.0771120612847697e-15
4384.859 5.257876412912786e-13 1.0666135778729608e-15
4389.198 4.942170379115435e-13 1.0664946694804056e-15
4393.536 5.133371769070063e-13 1.0649254303835209e-15
4397.875 5.125350387914138e-13 1.0682538504876575e-15
4402.214 5.149344742422262e-13 1.0631135564797644e-15
4406.553 5.005988959568067e-13 1.0662788451726486e-15
4410.892 4.785919507986686e-13 1.0644447377255266e-15
4415.232 4.866177145137663e-13 1.0677413056522823e-15
4419.571 4.852061092334981e-13 1.0691501734416396e-15
4423.911 4.89664379986173e-13 1.0660112755986862e-15
4428.25 4.791071228475065e-13 1.0674295088735859e-15
4432.59 4.821966056624471e-13 1.0691582841393998e-15
4436.93 5.079770071292574e-13 1.0696343681873156e-15
4441.27 4.703095128528176e-13 1.06999808468415e-15
4445.61 4.889648047911899e-13 1.0695471812560728e-15
4449.95 4.74268538180449e-13 1.0682689076681241e-15
4454.29 4.571566555279882e-13 1.0727413780460737e-15
4458.631 4.559194225485461e-13 1.0727663112787062e-15
4462.971 4.518635902872938e-13 1.071105003563152e-15
4467.312 4.650365781574987e-13 1.0747188362896279e-15
4471.653 4.989351231520643e-13 1.0776946088555637e-15
4475.994 4.522089103077909e-13 1.0734060992145307e-15
4480.335 4.747023749813295e-13 1.067528231257083e-15
4484.676 4.619638571038382e-13 1.0643257546675887e-15
4489.017 4.4099356481818963e-13 1.0532404925013283e-15
4493.358 4.552544482595325e-13 1.049995755120664e-15
4497.7 4.4811471876339816e-13 1.044581322824399e-15
4502.041 4.443238468931533e-13 1.038026025401477e-15
4506.383 4.55066238123402e-13 1.0356840080630782e-15
4510.725 4.664551611370235e-13 1.0314227614053685e-15
4515.067 4.5190520567381817e-13 1.0220899206232514e-15
4519.409 4.3609138243319634e-13 1.0139743635278185e-15
4523.751 4.435108792554811e-13 1.002690793301976e-15
4528.093 4.382229995733414e-13 9.905789457354854e-16
4532.436 4.303124154486705e-13 9.757042793103686e-16
