wavelength flux fluxerr
4536.778 4.107867758734015e-13 9.648002502376193e-16
4541.121 4.370898787957978e-13 9.50495893580031e-16
4545.463 4.0386754279894507e-13 9.37665455902909e-16
4549.806 4.17915565387548e-13 9.280394154279027e-16
4554.149 4.341453805409537e-13 9.212145633925813e-16
4558.492 4.214700665813852e-13 9.092715035386208e-16
4562.836 4.3423870818539335e-13 9.011323135661488e-16
4567.179 4.1757656658875676e-13 8.857458813025642e-16
4571.522 4.294628976810701e-13 8.788485245875349e-16
4575.866 4.2768571593492527e-13 8.675750654368638e-16
4580.21 4.0676521135002296e-13 8.606110786215567e-16
4584.553 4.1113063193255774e-13 8.489832687300787e-16
4588.897 3.984702938512647e-13 8.359719109377644e-16
4593.241 4.227360188711593e-13 8.270081763843157e-16
4597.585 4.1953945879424534e-13 8.191349748833052e-16
4601.93 4.1785984736975014e-13 8.090867396716275e-16
4606.274 4.1857865102255356e-13 8.005739009606499e-16
4610.618 4.130031719871099e-13 7.914398573386422e-16
4614.963 3.904019676605277e-13 7.843907934407801e-16
4619.308 3.9328812889366603e-13 7.7710290463808355e-16
4623.652 3.9695150302282684e-13 7.700121100330116e-16
4627.997 3.9226087071954863e-13 7.668282677041102e-16
4632.342 4.136498558889162e-13 7.618915310395189e-16
4636.688 4.4147696224673295e-13 7.630341865573436e-16
4641.033 4.316518845486638e-13 7.587065745519281e-16
4645.378 4.175074492928492e-13 7.525080326148833e-16
4649.724 4.297967530250063e-13 7.422956153750906e-16
4654.069 3.992579424963211e-13 7.295194834418491e-16
4658.415 4.104652237104616e-13 7.235523684927359e-16
4662.761 3.83551066444074e-13 7.147743555345837e-16
4667.107 4.0150162628481504e-13 7.079451901215375e-16
4671.453 4.0158614629272796e-13 6.985473731427288e-16
4675.799 4.129017592032599e-13 7.030891949401781e-16
4680.145 4.3166117000344163e-13 7.167282757550682e-16
4684.492 4.929839752071882e-13 7.375313114443895e-16
4688.838 5.175944885362191e-13 7.535062511012283e-16
4693.185 5.030786470043319e-13 7.326967244130925e-16
4697.532 4.358865829390843e-13 6.877136057529554e-16
4701.879 3.8402941794082213e-13 6.549250639323276e-16
4706.226 3.7082980740828493e-13 6.448845371098595e-16
4710.573 3.7738349963357237e-13 6.392012513300218e-16
4714.92 3.716756015738358e-13 6.355327359467765e-16
4719.267 3.57130784519032e-13 6.293723909713131e-16
4723.615 3.567418584115678e-13 6.228154591273327e-16
4727.963 3.5254626419528643e-13 6.176160645393826e-16
4732.31 3.5984372401956857e-13 6.169271971819571e-16
4736.658 3.662403698440126e-13 6.135273733147805e-16
4741.006 3.5174288647621806e-13 6.100517094950987e-16
4745.354 3.577739813702804e-13 6.043492208091848e-16
4749.702 3.60800164377879e-13 5.999132497251979e-16
4754.05 3.530762253413337e-13 5.936568685265071e-16
4758.399 3.483332220742389e-13 5.872319614942776e-16
4762.747 3.4798114066081055e-13 5.8332752157205405e-16
4767.096 3.402712703693218e-13 5.786648154180963e-16
4771.445 3.4189899691978596e-13 5.769459388873228e-16
4775.793 3.360595879283018e-13 5.740208009723172e-16
4780.142 3.43206230573839e-13 5.729055496007102e-16
4784.492 3.3898694123631753e-13 5.709309660328698e-16
4788.841 3.428261436769039e-13 5.689370235431631e-16
4793.19 3.344771902509843e-13 5.63038721858348e-16
4797.539 3.3561919822416705e-13 5.650502483534639e-16
4801.889 3.3615381429791777e-13 5.627778434857916e-16
4806.239 3.4033855259584686e-13 5.617561799244886e-16
4810.588 3.313351467488886e-13 5.571153414390544e-16
4814.938 3.3509119753205426e-13 5.602351521567756e-16
4819.288 3.416694983813105e-13 5.59379799148734e-16
4823.638 3.36737991772562e-13 5.582940912178092e-16
4827.989 3.4343958230477676e-13 5.558306757368282e-16
4832.339 3.3605679492263646e-13 5.559890774167998e-16
4836.689 3.3534577024032835e-13 5.528911371815935e-16
4841.04 3.496300560239392e-13 5.585036444527787e-16
4845.391 3.478537908041479e-13 5.652643563280547e-16
4849.742 4.004132942682903e-13 5.908226244224157e-16
4854.092 5.156330954272273e-13 6.490955525353181e-16
4858.443 7.134333527585387e-13 7.38858612722627e-16
4862.795 9.181259247101795e-13 8.275320186631469e-16
4867.146 8.985905650005943e-13 8.192260635575834e-16
4871.497 6.30908290624397e-13 7.015446785528759e-16
4875.849 3.966280900397088e-13 5.797509790596131e-16
4880.2 3.357619248620543e-13 5.429971023589694e-16
4884.552 3.3507612063192016e-13 5.398584312277169e-16
4888.904 3.146472067188796e-13 5.347602146785494e-16
4893.256 3.2528122237749955e-13 5.312435423487872e-16
4897.608 3.1708997364919013e-13 5.283088178487235e-16
4901.96 3.204738472580104e-13 5.286881322267268e-16
4906.313 3.1307912359986233e-13 5.276807245454052e-16
4910.665 3.210689795639678e-13 5.270400735222989e-16
4915.017 3.144926271819982e-13 5.228521675387875e-16
4919.37 3.1432305299052324e-13 5.26073900367227e-16
4923.723 3.1517635114283604e-13 5.240798876678742e-16
4928.076 3.2447060103980614e-13 5.223345188997491e-16
4932.429 3.155338206224176e-13 5.20133420354131e-16
4936.782 3.242486967564508e-13 5.213664372086205e-16
4941.135 3.467594332087976e-13 5.371313187068909e-16
4945.488 4.5389106659806576e-13 5.92534138540614e-16
4949.842 7.543855653491943e-13 7.319935561169649e-16
4954.196 1.3282585196493937e-12 9.352654121994572e-16
4958.549 1.910113932744675e-12 1.1058743042473287e-15
4962.903 2.1873582062245877e-12 1.1747102825401268e-15
4967.257 1.6783926494643591e-12 1.03503827771295e-15
4971.611 7.916218727864201e-13 7.381211451324878e-16
4975.965 3.7408988826541945e-13 5.439559981440507e-16
4980.319 3.214493333309179e-13 5.181673601649184e-16
4984.674 3.332251446807721e-13 5.262729338884212e-16
4989.028 4.1981844280506407e-13 5.725849651669936e-16
4993.383 7.864797042340429e-13 7.290076742551735e-16
4997.738 1.7180568757942389e-12 1.0318073214847143e-15
5002.092 3.249342328449482e-12 1.3908981407668378e-15
5006.447 4.912293147524068e-12 1.6907179012843213e-15
5010.802 5.672581818632043e-12 1.811216046814526e-15
5015.158 4.2480440855218336e-12 1.5690412124414907e-15
5019.513 1.8024328498562342e-12 1.0418062040131835e-15
5023.868 4.983669540865151e-13 5.899821084962267e-16
5028.224 3.157441053272087e-13 4.991764144477592e-16
5032.58 2.878329104374273e-13 4.863774101847515e-16
5036.935 2.899588191964662e-13 4.832845525270865e-16
5041.291 2.893820795009965e-13 4.808427711746081e-16
5045.647 2.775183386227834e-13 4.778945156623714e-16
5050.003 2.766732163066198e-13 4.760618073941164e-16
5054.36 2.7785398761008207e-13 4.746484237208233e-16
5058.716 2.756904133484312e-13 4.741884065672694e-16
5063.072 2.678264375768856e-13 4.701783318935052e-16
5067.429 2.668663013748118e-13 4.700115099496863e-16
5071.786 2.607476692479458e-13 4.688019767886349e-16
5076.142 2.594557893303613e-13 4.693388203987726e-16
5080.499 2.635991718719952e-13 4.668229932227294e-16
5084.856 2.715063098475766e-13 4.681021737167308e-16
5089.214 2.6167132856350427e-13 4.665397838926788e-16
5093.571 2.6469349995632463e-13 4.615725175350661e-16
5097.928 2.6710614761007827e-13 4.608457291971998e-16
5102.286 2.6407174153577957e-13 4.596362339376953e-16
5106.643 2.6348924259022047e-13 4.577455268640083e-16
5111.001 2.5346568351174273e-13 4.551362119965412e-16
5115.359 2.585008041741278e-13 4.542387781977982e-16
5119.717 2.626122136776548e-13 4.530101916179318e-16
5124.075 2.5863002417343684e-13 4.505084419796725e-16
5128.433 2.5348708635644774e-13 4.498930317603682e-16
5132.791 2.622226310646894e-13 4.493567916060494e-16
5137.15 2.601337737909071e-13 4.484403966905494e-16
5141.508 2.471251429659008e-13 4.45872899739069e-16
5145.867 2.6363745972030123e-13 4.46592197337893e-16
5150.226 2.4336223234188387e-13 4.442560822018904e-16
5154.585 2.501132895030767e-13 4.44824800815918e-16
5158.944 2.519715463839543e-13 4.4185062525617677e-16
5163.303 2.5832735067761335e-13 4.4159831930654174e-16
5167.662 2.4858740797164454e-13 4.387100525540463e-16
5172.021 2.5375469108047747e-13 4.365958125664349e-16
5176.381 2.443391501188111e-13 4.358999832305719e-16
5180.74 2.495159273391974e-13 4.3462425765320953e-16
5185.1 2.438956137610016e-13 4.3407925398554147e-16
5189.46 2.4502928033799304e-13 4.321369773620002e-16
5193.82 2.4138156506556713e-13 4.3265904557644175e-16
5198.18 2.36305681781878e-13 4.3073320621149423e-16
5202.54 2.4937525789733875e-13 4.301162463345275e-16
5206.9 2.2625052434332585e-13 4.2740810023203853e-16
5211.261 2.3313627312482727e-13 4.257898704758168e-16
5215.621 2.331508677638395e-13 4.2559018370612395e-16
5219.982 2.4040008328344245e-13 4.253405930540253e-16
5224.342 2.343799388663731e-13 4.2474724350936277e-16
5228.703 2.343360717202259e-13 4.2169005687544393e-16
5233.064 2.4188359319576135e-13 4.2122415158690954e-16
5237.425 2.348319137157337e-13 4.1999946873282824e-16
5241.786 2.381350379205765e-13 4.19596223355554e-16
5246.148 2.3194467715684476e-13 4.1822251115371377e-16
5250.509 2.37085754905082e-13 4.175088335391749e-16
5254.871 2.306778957909441e-13 4.1503416530365357e-16
5259.232 2.312680794129801e-13 4.1708596718656034e-16
5263.594 2.358327380370531e-13 4.1512396008653203e-16
5267.956 2.3375432109757186e-13 4.1362189258530614e-16
5272.318 2.278274239200363e-13 4.148132447529263e-16
5276.68 2.384830008086879e-13 4.135955390539119e-16
5281.042 2.3506081959198967e-13 4.107390410205466e-16
5285.405 2.3062390691792357e-13 4.1010657180770804e-16
5289.767 2.243221437145032e-13 4.0823601063969898e-16
5294.13 2.277721256705338e-13 4.073912647564074e-16
5298.492 2.260031843238526e-13 4.0541095053358373e-16
5302.855 2.293647644713913e-13 4.0464932620439176e-16
5307.218 2.1936365405434885e-13 4.0412659882422633e-16
5311.581 2.2851645608865343e-13 4.0292190317959943e-16
5315.944 2.2445949857888614e-13 4.0237922193748724e-16
5320.308 2.2795297984200673e-13 4.022994128556778e-16
5324.671 2.2678452273303197e-13 4.002017881768875e-16
5329.034 2.2548223047296556e-13 3.991138186296655e-16
5333.398 2.2114481258020113e-13 3.9788131965888824e-16
5337.762 2.234725067359891e-13 3.976750553949584e-16
5342.126 2.119423653282003e-13 3.986346054418249e-16
5346.49 2.2407745372908008e-13 4.003475264422945e-16
5350.854 2.1937797863332699e-13 4.0129479434621765e-16
5355.218 2.1533904543927318e-13 4.007250568891842e-16
5359.582 2.1580487963410986e-13 4.0006078044176964e-16
5363.947 2.0727855121407092e-13 3.9782579312133295e-16
5368.311 2.180014419261312e-13 3.948751214983418e-16
5372.676 2.1630449765617893e-13 3.933449571475761e-16
5377.04 2.0561126021242178e-13 3.8906925294096685e-16
5381.405 2.079520140074574e-13 3.883167235913118e-16
5385.77 2.117727279620053e-13 3.876893410642451e-16
5390.135 2.0969975401458697e-13 3.874083924020209e-16
5394.501 2.0071221949768722e-13 3.8608254746082057e-16
5398.866 2.1152370188165907e-13 3.849469455272956e-16
5403.231 1.994064072117487e-13 3.82629396673432e-16
5407.597 1.975249759447905e-13 3.8066257729637566e-16
5411.963 2.0087922728845588e-13 3.834980058208138e-16
5416.328 2.0058422200730344e-13 3.824529597078128e-16
5420.694 1.9457893142707267e-13 3.8177227243490465e-16
5425.06 1.9931979765466144e-13 3.809378326821364e-16
5429.427 2.0031581499713663e-13 3.792446740860737e-16
5433.793 1.878564398302755e-13 3.7955602409554827e-16
5438.159 2.0144205350375307e-13 3.783963987071312e-16
5442.526 1.9831863313161183e-13 3.7905804133982936e-16
5446.892 1.9288573130900764e-13 3.789224147825134e-16
5451.259 2.0005540821969173e-13 3.814305404094357e-16
5455.626 1.9572880586719603e-13 3.869369702443178e-16
5459.993 2.027198683137586e-13 3.901269389328646e-16
5464.36 2.0242613948023592e-13 3.916780981138442e-16
5468.727 2.0116343137203136e-13 3.8817502325276134e-16
5473.094 2.024899642401813e-13 3.787432968476908e-16
5477.462 2.002652398303914e-13 3.739416827613232e-16
5481.829 1.922139302037586e-13 3.704278759434196e-16
5486.197 1.895920042326573e-13 3.6824783962058227e-16
5490.565 1.9779373570481092e-13 3.67684848157325e-16
5494.933 1.924305372941921e-13 3.661592572415792e-16
5499.301 1.9419135299734673e-13 3.653535186812901e-16
5503.669 1.986096862009738e-13 3.642184212128048e-16
5508.037 1.8867412469998075e-13 3.6282558828879856e-16
5512.405 1.8506489388460074e-13 3.6397896174330223e-16
5516.774 1.942350634567045e-13 3.6345702763875786e-16
5521.142 1.921459249876048e-13 3.637289159069378e-16
5525.511 1.8501807931109526e-13 3.6251703214868963e-16
5529.88 1.9489277071683062e-13 3.603596918639386e-16
5534.249 1.8860784384323988e-13 3.589359116562619e-16
5538.618 1.930121509440581e-13 3.585370718183736e-16
5542.987 1.9060741187505417e-13 3.5803795596238725e-16
5547.356 1.9005783802838803e-13 3.5721802682002746e-16
5551.725 1.8785186281561776e-13 3.556635113955082e-16
5556.095 1.7681718184696595e-13 3.5506937284273273e-16
5560.465 1.9199017656616811e-13 3.543823090926038e-16
5564.834 1.9272446443441294e-13 3.555689056276937e-16
5569.204 1.883902333120346e-13 3.5806012925209337e-16
5573.574 1.8155427630644942e-13 3.591952956893557e-16
5577.944 1.8801288494175084e-13 3.6071966673960685e-16
5582.314 1.808783098739529e-13 3.613100506313759e-16
5586.685 1.8798702618429478e-13 3.572450582162883e-16
5591.055 1.7626132573542918e-13 3.514686264529637e-16
5595.426 1.8715322208358329e-13 3.48345987496148e-16
5599.796 1.7959775940085733e-13 3.4766189349499496e-16
5604.167 1.738670860546468e-13 3.4708901959427085e-16
5608.538 1.8254524515996118e-13 3.4738516930908366e-16
5612.909 1.7547781132764955e-13 3.454802181403268e-16
5617.28 1.759611928029493e-13 3.4462386510707186e-16
5621.651 1.7996774837788966e-13 3.443691473585926e-16
5626.022 1.7847767919837096e-13 3.4409700361643304e-16
5630.394 1.76392947814393e-13 3.4308499417834865e-16
5634.765 1.757832791096425e-13 3.4157896056090127e-16
5639.137 1.7271379303303037e-13 3.4215313903274888e-16
5643.509 1.8197195337692489e-13 3.4129452612957584e-16
5647.881 1.7116250607955198e-13 3.4031933627774897e-16
5652.253 1.693472222729331e-13 3.399599527632201e-16
5656.625 1.71964930905117e-13 3.3968692987341456e-16
5660.997 1.7515215081251406e-13 3.410852303987238e-16
5665.37 1.7109333534844185e-13 3.3937016257730516e-16
5669.742 1.7555628679685689e-13 3.42789402764406e-16
5674.115 1.7353655904371648e-13 3.424891014856076e-16
5678.487 1.690199308020884e-13 3.4558379996540287e-16
5682.86 1.6773294449928934e-13 3.46366391360635e-16
5687.233 1.7542697247566077e-13 3.489275506307697e-16
5691.606 1.7047983123631052e-13 3.4674390103345e-16
5695.98 1.6581028469531983e-13 3.455162787442283e-16
5700.353 1.6342455580686308e-13 3.4095153322901897e-16
5704.726 1.6261915855043322e-13 3.3585248838410745e-16
5709.1 1.6357377512852625e-13 3.3358258879123126e-16
5713.473 1.692189922367842e-13 3.32378993808489e-16
5717.847 1.7510303073337887e-13 3.3072087629124995e-16
5722.221 1.6036568116973575e-13 3.293261395080898e-16
5726.595 1.6247553910383013e-13 3.2781318569940976e-16
5730.969 1.6885818057179291e-13 3.279273461477976e-16
5735.343 1.5957533575058755e-13 3.2680901647274016e-16
5739.718 1.671143732160263e-13 3.266026005675098e-16
5744.092 1.660539436627572e-13 3.258745433068928e-16
5748.467 1.6557503964769093e-13 3.265422550305401e-16
5752.841 1.691650119469668e-13 3.275552653316006e-16
5757.216 1.681578841378963e-13 3.253743380156119e-16
5761.591 1.6911881046000081e-13 3.2990148114156e-16
5765.966 1.611072275395884e-13 3.28258371699399e-16
5770.341 1.6085672660551618e-13 3.278502819289922e-16
5774.716 1.5546488591752634e-13 3.268445018578686e-16
5779.092 1.539684256470107e-13 3.253601599616418e-16
5783.467 1.5445121273641029e-13 3.2411878153054236e-16
5787.843 1.4958813824204776e-13 3.236695062685446e-16
5792.219 1.5719189911248286e-13 3.2571764392688256e-16
5796.594 1.5597415524607437e-13 3.2441865832058963e-16
5800.97 1.589627937876377e-13 3.2365876811877366e-16
5805.347 1.591153229007217e-13 3.2231116972732593e-16
5809.723 1.5923281385384718e-13 3.217367900294969e-16
5814.099 1.5640548959531085e-13 3.212682315661428e-16
5818.475 1.5509343743505079e-13 3.2041718130760287e-16
5822.852 1.6004942530786828e-13 3.1983527035200246e-16
5827.229 1.5265756260959717e-13 3.212250261906884e-16
5831.605 1.4844662111760188e-13 3.2000821863928122e-16
5835.982 1.5516268673928818e-13 3.2138805445487827e-16
5840.359 1.5032959512518547e-13 3.2123275346611533e-16
5844.736 1.490185407009567e-13 3.214643381783353e-16
5849.113 1.5497882313140373e-13 3.217808619328462e-16
5853.491 1.5048104410670927e-13 3.2165286331440495e-16
5857.868 1.447556540650511e-13 3.209544551555114e-16
5862.246 1.5053461692976663e-13 3.2408081986511803e-16
5866.623 1.696869218972478e-13 3.298329940161497e-16
5871.001 1.791056758463952e-13 3.3883199609291404e-16
5875.379 1.8284758606236627e-13 3.430881288907364e-16
5879.757 1.9280875405144855e-13 3.4346657703142137e-16
5884.135 1.7602995204701953e-13 3.4058386841767474e-16
5888.514 1.5975138350514433e-13 3.318052839339322e-16
5892.892 1.5115520215231051e-13 3.219951808143863e-16
5897.27 1.4209681137578084e-13 3.1994285734192594e-16
5901.649 1.4466194015844468e-13 3.1812606334774205e-16
5906.028 1.4150287668296115e-13 3.1674879557071625e-16
5910.407 1.5117138154772778e-13 3.1696107308368315e-16
5914.786 1.4523989169440648e-13 3.172493212165595e-16
5919.165 1.4278224506893833e-13 3.173838131978171e-16
5923.544 1.4303178906260834e-13 3.1710498114463363e-16
5927.923 1.4416994561675257e-13 3.1728428829691337e-16
5932.302 1.4417393228205027e-13 3.160508174772426e-16
5936.682 1.4184633096467224e-13 3.153385460038107e-16
5941.062 1.4440045879172857e-13 3.1429145660791877e-16
5945.441 1.4497496245723564e-13 3.124525932751491e-16
5949.821 1.4957935596470633e-13 3.120778907979479e-16
5954.201 1.427000232551218e-13 3.1044952964033266e-16
5958.581 1.348332548418524e-13 3.092985381668164e-16
5962.962 1.4207604337308233e-13 3.0783361764971673e-16
5967.342 1.421744624562271e-13 3.081556264430437e-16
5971.722 1.3986830509547742e-13 3.0682858124810137e-16
5976.103 1.3754912407686707e-13 3.075556528089602e-16
5980.484 1.4265603253535883e-13 3.056483175314749e-16
5984.864 1.4011519580159022e-13 3.0519196960759226e-16
5989.245 1.398322156953473e-13 3.0470123678119726e-16
5993.626 1.3477943723803806e-13 3.0478312030323185e-16
5998.007 1.4124216396457548e-13 3.025400706947718e-16
6002.389 1.3636585866747236e-13 3.0162005881808786e-16
6006.77 1.377348330784822e-13 3.000533296469569e-16
6011.152 1.3343770893168216e-13 3.0117746296893236e-16
6015.533 1.3561343220651137e-13 2.970333605838464e-16
6019.915 1.3755383351675692e-13 2.991004032722756e-16
6024.297 1.2796146409525613e-13 2.973603234334747e-16
6028.679 1.351375544666906e-13 2.9697403227963416e-16
6033.061 1.2457740763215143e-13 2.9607592118844673e-16
6037.443 1.3472983828424813e-13 2.952570196064179e-16
6041.825 1.2876100103280918e-13 2.949957495935969e-16
6046.208 1.276129228211701e-13 2.951094255172906e-16
6050.59 1.2814077820976457e-13 2.9291052352884424e-16
6054.973 1.3243994421978892e-13 2.9396192625906904e-16
6059.355 1.2143120942015312e-13 2.9378626647881504e-16
6063.738 1.2733940926777157e-13 2.932289634297167e-16
6068.121 1.3228397025385395e-13 2.9357003380962635e-16
6072.504 1.2738688416211032e-13 2.9195467627234797e-16
6076.888 1.311749150446302e-13 2.899260033177505e-16
6081.271 1.273794468136512e-13 2.91748980129664e-16
6085.654 1.349610232444255e-13 2.914824504440403e-16
6090.038 1.228889387477007e-13 2.9116111513939836e-16
6094.422 1.2706445953357981e-13 2.90891573786704e-16
6098.805 1.3153731700269713e-13 2.9211481641876663e-16
6103.189 1.3382605197665944e-13 2.9313268394545227e-16
6107.573 1.2036215315203037e-13 2.9307342661146486e-16
6111.957 1.215840606600668e-13 2.937913905820376e-16
6116.342 1.2920821684242212e-13 2.952164920567559e-16
6120.726 1.3106520547048087e-13 2.9487116202646266e-16
6125.111 1.2267910286915267e-13 2.9210062383621815e-16
6129.495 1.2759639997962237e-13 2.912001632944265e-16
6133.88 1.2743938307396587e-13 2.9019507752524716e-16
6138.265 1.2612387954347247e-13 2.8911414957042246e-16
6142.65 1.236122577388094e-13 2.885434160490064e-16
6147.035 1.282299166705621e-13 2.916808084776902e-16
6151.42 1.2403736281656134e-13 2.922205879262624e-16
6155.805 1.3159123881148888e-13 2.891104406402371e-16
6160.191 1.243937563707793e-13 2.8833988837932914e-16
6164.576 1.243124756439255e-13 2.8824902664610543e-16
6168.962 1.2938762623608164e-13 2.8706049646431416e-16
6173.348 1.1952685352089374e-13 2.8404239476052544e-16
6177.733 1.266406449835034e-13 2.8477078707943404e-16
6182.119 1.1382810933194733e-13 2.8299337823101405e-16
