name,ra,dec,d_L,prob_vol,stmass,prob_vol_x_stmass,rank,confidence,obj,note,weight
1151172,180.881,-43.654,73.209,0.00046579250641094804,5.099999904632568,1.000,0,0.5,MS230501i,1151172,1.000
1156836,181.072,-41.632,104.825,0.00037233006276310773,4.099999904632568,0.643,1,0.5,MS230501i,1156836,0.643
1153620,181.220,-43.732,70.938,0.0004609384245908012,2.0,0.388,2,0.5,MS230501i,1153620,0.388
1153947,183.115,-42.041,105.073,0.00016327446545992937,5.400000095367432,0.371,3,0.5,MS230501i,1153947,0.371
1157026,180.287,-42.747,80.354,0.0005613392599786781,1.2000000476837158,0.283,4,0.9,MS230501i,1157026,0.283
1329808,181.220,-43.732,65.788,0.0003725004415305283,1.5,0.235,5,0.9,MS230501i,1329808,0.235
1161677,181.642,-43.907,124.484,0.00012189998629062527,4.199999809265137,0.215,6,0.9,MS230501i,1161677,0.215
1152844,184.499,-43.540,96.483,0.00016267600147662752,3.0,0.205,7,0.9,MS230501i,1152844,0.205
1162861,180.335,-42.670,77.996,0.000520451146333438,0.800000011920929,0.175,8,0.9,MS230501i,1162861,0.175
1325112,182.255,-43.100,100.280,0.0005616723789131328,0.6000000238418579,0.142,9,0.9,MS230501i,1325112,0.142
1329781,178.840,-42.488,69.137,0.00013677787544629609,2.200000047683716,0.127,10,0.9,MS230501i,1329781,0.127
1160861,183.379,-42.656,78.208,0.00027263787168624825,1.100000023841858,0.126,11,0.9,MS230501i,1160861,0.126
1154236,183.820,-43.024,71.986,0.00017716170101499148,1.2999999523162842,0.097,12,0.9,MS230501i,1154236,0.097
1208945,182.256,-43.100,106.106,0.0004447857068039632,0.5,0.094,13,0.9,MS230501i,1208945,0.094
1162879,183.331,-42.050,73.626,0.00015111439391737026,1.2999999523162842,0.083,14,0.9,MS230501i,1162879,0.083
1155885,178.663,-40.932,107.173,9.721895498254563e-05,1.7000000476837158,0.069,15,0.9,MS230501i,1155885,0.069
1329834,183.950,-42.743,99.835,0.0001516622119648715,1.0,0.064,16,0.9,MS230501i,1329834,0.064
1168496,180.678,-44.210,106.603,0.00019859563685128477,0.699999988079071,0.058,17,0.9,MS230501i,1168496,0.058
1210437,183.950,-42.743,106.304,0.00011530555702458758,1.2000000476837158,0.058,18,0.9,MS230501i,1210437,0.058
1152606,185.509,-46.216,84.295,2.6152630410625313e-05,4.099999904632568,0.045,19,0.9,MS230501i,1152606,0.045
1157872,180.772,-45.338,106.306,3.419846127490598e-05,3.0,0.043,20,0.9,MS230501i,1157872,0.043
1154741,185.489,-43.335,109.407,2.542825796201496e-05,4.0,0.043,21,0.95,MS230501i,1154741,0.043
1169960,178.747,-40.924,105.870,0.00011586939123711597,0.800000011920929,0.039,22,0.95,MS230501i,1169960,0.039
1169342,183.265,-41.951,107.631,0.00011772394400131639,0.699999988079071,0.035,23,0.95,MS230501i,1169342,0.035
1331218,183.108,-42.047,99.287,0.00019976949635700593,0.4000000059604645,0.034,24,0.95,MS230501i,1331218,0.034
1169341,182.613,-40.755,106.100,5.642545810718694e-05,1.2000000476837158,0.028,25,0.95,MS230501i,1169341,0.028
1171513,183.876,-43.046,80.286,0.00022020045885778146,0.30000001192092896,0.028,26,0.95,MS230501i,1171513,0.028
1296134,182.522,-43.598,86.259,0.0006395494015995322,0.10000000149011612,0.027,27,0.95,MS230501i,1296134,0.027
12344220,180.101,-43.201,112.336,0.000271014264603939,0.20000000298023224,0.023,28,0.95,MS230501i,12344220,0.023
1171924,184.642,-43.483,96.238,0.00013277529221485294,0.4000000059604645,0.022,29,0.99,MS230501i,1171924,0.022
1168509,185.517,-43.339,109.113,2.542825796201496e-05,2.0,0.021,30,0.99,MS230501i,1168509,0.021
12345552,180.719,-43.216,73.092,0.0005041683389290496,0.10000000149011612,0.021,31,0.99,MS230501i,12345552,0.021
1320810,183.544,-42.187,127.448,2.452639213530561e-05,2.0,0.021,32,0.99,MS230501i,1320810,0.021
1206461,180.998,-44.500,120.239,7.220719913217564e-05,0.6000000238418579,0.018,33,0.99,MS230501i,1206461,0.018
12344708,181.736,-43.851,106.436,0.00040373313814731014,0.10000000149011612,0.017,34,0.99,MS230501i,12344708,0.017
1171925,185.071,-43.031,80.136,6.25314331752714e-05,0.6000000238418579,0.016,35,0.99,MS230501i,1171925,0.016
12407524,183.030,-43.086,102.531,0.0003698396267893854,0.10000000149011612,0.015,36,0.99,MS230501i,12407524,0.015
1171518,185.491,-44.973,89.964,6.780766736534004e-05,0.5,0.014,37,0.99,MS230501i,1171518,0.014
1155849,181.595,-44.448,48.557,0.00010136005865472041,0.30000001192092896,0.013,38,0.99,MS230501i,1155849,0.013
12407590,182.402,-42.980,114.035,0.0002726462555122235,0.10000000149011612,0.011,39,0.99,MS230501i,12407590,0.011
12586794,184.700,-43.498,85.092,0.000148895853520757,0.10000000149011612,0.006,40,0.99,MS230501i,12586794,0.006
1312503,178.559,-41.472,94.995,0.00014742569258491207,0.10000000149011612,0.006,41,0.99,MS230501i,1312503,0.006
12277106,180.145,-42.954,128.842,0.00010165867781235672,0.10000000149011612,0.004,42,0.99,MS230501i,12277106,0.004
12345409,181.320,-43.240,110.395,0.00043362531560311014,0.019999999552965164,0.004,43,0.99,MS230501i,12345409,0.004
12408425,181.282,-42.358,110.058,0.00041389829520932866,0.019999999552965164,0.003,44,0.99,MS230501i,12408425,0.003
12529646,183.193,-42.750,84.904,0.0003687873241387416,0.019999999552965164,0.003,45,1.0,MS230501i,12529646,0.003
12344304,180.965,-44.607,128.730,3.4443279591915404e-05,0.20000000298023224,0.003,46,1.0,MS230501i,12344304,0.003
12275390,180.421,-41.579,106.814,0.0003370127107998911,0.019999999552965164,0.003,47,1.0,MS230501i,12275390,0.003
12278542,179.097,-41.646,104.750,0.0002246564637464518,0.029999999329447746,0.003,48,1.0,MS230501i,12278542,0.003
12136215,177.899,-42.185,101.129,6.237045453567071e-05,0.10000000149011612,0.003,49,1.0,MS230501i,12136215,0.003
12136389,178.747,-41.736,127.832,5.7992315023086084e-05,0.10000000149011612,0.002,50,1.0,MS230501i,12136389,0.002
12275258,179.969,-41.079,130.061,5.764340428076462e-05,0.10000000149011612,0.002,51,1.0,MS230501i,12275258,0.002
12408487,181.063,-41.983,82.739,0.0005146261467522442,0.009999999776482582,0.002,52,1.0,MS230501i,12408487,0.002
12277553,180.995,-42.764,107.884,0.0005139692628213747,0.009999999776482582,0.002,53,1.0,MS230501i,12277553,0.002
12345222,181.559,-43.496,123.154,0.00016406248902856583,0.029999999329447746,0.002,54,1.0,MS230501i,12345222,0.002
