|      t |        U |        B |        V |        R |
|   0.11 |   7.0257 |   3.9105 |   1.3009 |  -0.2106 |
| 0.1105 |   7.1754 |   4.0489 |   1.4241 |    -0.09 |
|  0.111 |   7.3237 |    4.186 |   1.5499 |   0.0312 |
| 0.1115 |   7.4692 |   4.3217 |   1.6768 |   0.1524 |
|  0.112 |   7.6116 |   4.4558 |   1.8034 |   0.2723 |
| 0.1125 |   7.7514 |   4.5883 |   1.9283 |   0.3903 |
|  0.113 |   7.8896 |   4.7196 |   2.0518 |   0.5062 |
| 0.1135 |   8.0268 |   4.8501 |   2.1736 |   0.6202 |
|  0.114 |   8.1647 |   4.9798 |   2.2941 |   0.7323 |
| 0.1146 |   8.3012 |   5.1089 |   2.4127 |   0.8422 |
| 0.1151 |   8.4361 |   5.2384 |     2.53 |   0.9507 |
| 0.1156 |   8.5725 |   5.3682 |   2.6471 |   1.0588 |
| 0.1161 |   8.7093 |   5.4971 |   2.7632 |   1.1648 |
| 0.1166 |   8.8445 |   5.6279 |   2.8796 |   1.2713 |
| 0.1172 |   8.9821 |   5.7572 |   2.9954 |   1.3759 |
| 0.1177 |   9.1187 |   5.8886 |    3.112 |   1.4817 |
| 0.1182 |   9.2558 |   6.0193 |   3.2282 |    1.586 |
| 0.1188 |   9.3951 |   6.1504 |    3.345 |   1.6904 |
| 0.1193 |   9.5305 |   6.2838 |   3.4626 |   1.7963 |
| 0.1199 |   9.6707 |   6.4161 |   3.5804 |   1.9007 |
| 0.1204 |   9.8114 |   6.5491 |   3.6987 |   2.0052 |
| 0.1209 |   9.9473 |   6.6853 |   3.8185 |    2.113 |
| 0.1215 |  10.0878 |   6.8196 |   3.9379 |   2.2181 |
|  0.122 |  10.2299 |   6.9548 |   4.0581 |   2.3236 |
| 0.1226 |  10.3726 |   7.0905 |   4.1791 |   2.4294 |
| 0.1231 |  10.5099 |   7.2293 |   4.3015 |   2.5389 |
| 0.1237 |  10.6535 |   7.3666 |   4.4239 |   2.6456 |
| 0.1243 |  10.7977 |   7.5047 |   4.5471 |   2.7529 |
| 0.1248 |  10.9424 |   7.6435 |   4.6711 |   2.8606 |
| 0.1254 |  11.0835 |   7.7854 |   4.7969 |   2.9727 |
|  0.126 |   11.226 |   7.9271 |    4.923 |    3.084 |
| 0.1265 |  11.3714 |   8.0679 |   5.0492 |   3.1934 |
| 0.1271 |  11.5171 |   8.2095 |   5.1763 |   3.3034 |
| 0.1277 |  11.6632 |   8.3517 |   5.3041 |   3.4139 |
| 0.1282 |  11.8097 |   8.4946 |   5.4327 |   3.5249 |
| 0.1288 |  11.9565 |   8.6381 |   5.5621 |   3.6366 |
| 0.1294 |  12.1038 |   8.7824 |   5.6924 |    3.749 |
|   0.13 |  12.2513 |   8.9274 |   5.8235 |    3.862 |
| 0.1306 |  12.3993 |   9.0732 |   5.9556 |   3.9758 |
| 0.1312 |  12.5478 |   9.2198 |   6.0887 |   4.0904 |
| 0.1318 |  12.6966 |   9.3671 |   6.2226 |   4.2057 |
