# MIST version number  = 1.2     
# MESA revision number =     7503
# photometric system   = UBV(RI)c, 2MASS, Kepler, Hipparcos, Gaia (Vega)                 
# --------------------------------------------------------------------------------------
#  Yinit        Zinit   [Fe/H]   [a/Fe]  v/vcrit                                        
# 0.2707  1.44513E-02     0.01     0.00     0.40
# --------------------------------------------------------------------------------------
# number of isochrones =     1
# CCM89 extinction: Av =  0.000
# --------------------------------------------------------------------------------------
# number of EEPs, cols =  1573   34
#   1                               2                               3                               4                               5                               6                               7                               8                   9                  10                  11                  12                  13                  14                  15                  16                  17                  18                  19                  20                  21                  22                  23                  24                  25                  26                  27                  28                  29                  30                  31                  32                  33                  34
EEP          log10_isochrone_age_yr                    initial_mass                       star_mass                        log_Teff                           log_g                           log_L                     [Fe/H]_init              [Fe/H]           Bessell_U           Bessell_B           Bessell_V           Bessell_R           Bessell_I             2MASS_J             2MASS_H            2MASS_Ks           Kepler_Kp          Kepler_D51        Hipparcos_Hp             Tycho_B             Tycho_V       Gaia_G_DR2Rev      Gaia_BP_DR2Rev      Gaia_RP_DR2Rev          Gaia_G_MAW        Gaia_BP_MAWb        Gaia_BP_MAWf         Gaia_RP_MAW                TESS         Gaia_G_EDR3        Gaia_BP_EDR3        Gaia_RP_EDR3               phase
  148         7.7999999999999998E+000         1.3758396652922431E-001         1.3758376003940248E-001         3.4888448894972703E+000         4.7305271302915912E+000        -2.2503422428150399E+000         1.0000000000000000E-002            0.052590           15.421746           14.465218           13.072162           11.757418           10.082033            8.434331            7.800066            7.573054           11.650872           13.716179           12.933951           14.657586           13.314173           11.584136           13.341309           10.382265           11.586430           13.296369           13.337275           10.358266           10.260677           11.605509           13.318098           10.355728           -1.000000
  149         7.7999999999999998E+000         1.4189079847407066E-001         1.4189058480462954E-001         3.4903451666324492E+000         4.7298607308439014E+000        -2.2288029414447754E+000         1.0000000000000000E-002            0.052589           15.329990           14.372035           12.981325           11.678638           10.017868            8.384649            7.749954            7.523762           11.579029           13.623314           12.849785           14.567621           13.222438           11.515471           13.250595           10.318121           11.516938           13.205683           13.246658           10.294220           10.198606           11.536047           13.227319           10.291683           -1.000000
  150         7.7999999999999998E+000         1.4622148932899975E-001         1.4622126835536836E-001         3.4919678781927330E+000         4.7292539051901468E+000        -2.2067535574527954E+000         1.0000000000000000E-002            0.052589           15.234694           14.275006           12.886726           11.596803            9.951852            8.334060            7.698838            7.473546           11.504655           13.526583           12.762200           14.474123           13.126871           11.444486           13.156118           10.252047           11.445079           13.111234           13.152288           10.228251           10.134745           11.464219           13.132768           10.225722           -1.000000
  151         7.7999999999999998E+000         1.5059303898236318E-001         1.5059281055130289E-001         3.4937756784404099E+000         4.7286994153836641E+000        -2.1838762549483262E+000         1.0000000000000000E-002            0.052588           15.133726           14.172428           12.786219           11.510187            9.882833            8.281943            7.645962            7.421772           11.426279           13.424215           12.669275           14.374983           13.025292           11.369828           13.055735           10.182874           11.369469           13.010881           13.052027           10.159193           10.067999           11.388641           13.032303           10.156679           -1.000000
  152         7.7999999999999998E+000         1.6010950373287930E-001         1.6010925951191782E-001         3.4963197596075877E+000         4.7301982498889439E+000        -2.1507753293975624E+000         1.0000000000000000E-002            0.052589           14.992191           14.028409           12.643606           11.386518            9.783874            8.206416            7.568820            7.346534           11.314088           13.280504           12.536967           14.233849           12.881209           11.262792           12.913280           10.083573           11.261123           12.868467           12.909752           10.060053            9.972068           11.280341           12.889733           10.057570           -1.000000
  153         7.7999999999999998E+000         1.7067670584411759E-001         1.7067644397538190E-001         3.4989937254703789E+000         4.7318706043890844E+000        -2.1154521916209199E+000         1.0000000000000000E-002            0.052589           14.843954           13.877270           12.493944           11.256099            9.679130            8.125719            7.486675            7.266050           11.195456           13.129841           12.397696           14.085735           12.730004           11.149437           12.763767            9.978324           11.146439           12.718996           12.760429            9.954968            9.870269           11.165704           12.740103            9.952529           -1.000000
  154         7.7999999999999998E+000         1.8141350586443256E-001         1.8141322588773343E-001         3.5016951938620671E+000         4.7332956939779933E+000        -2.0793831987870059E+000         1.0000000000000000E-002            0.052589           14.694935           13.725134           12.343534           11.124467            9.572928            8.043213            7.402694            7.183686           11.075345           12.978510           12.257367           13.936669           12.578035           11.034502           12.613496            9.871501           11.030208           12.568771           12.610350            9.848307            9.766828           11.049520           12.589720            9.845920           -1.000000
  155         7.7999999999999998E+000         1.9234393287382184E-001         1.9234363428225099E-001         3.5044310466954389E+000         4.7344363193210928E+000        -2.0424087331790517E+000         1.0000000000000000E-002            0.052589           14.544619           13.571455           12.192009           10.991300            9.464793            7.958483            7.316434            7.098756           10.953353           12.826155           12.115664           13.785988           12.424928           10.917581           12.462105            9.762666           10.912021           12.417431           12.459153            9.739629            9.661304           10.931379           12.438226            9.737300           -1.000000
  156         7.7999999999999998E+000         2.0249192937666191E-001         2.0249161335024263E-001         3.5070302165245937E+000         4.7354441398619347E+000        -2.0086721847195821E+000         1.0000000000000000E-002            0.052590           14.407244           13.430598           12.053577           10.869592            9.365962            7.881394            7.237840            7.021297           10.841753           12.687080           11.986137           13.647870           12.284995           10.810616           12.323790            9.663241           10.803905           12.279169           12.321023            9.640351            9.564907           10.823309           12.299825            9.638080           -1.000000
  157         7.7999999999999998E+000         2.0945991010299064E-001         2.0945958201683737E-001         3.5090509183145109E+000         4.7369126918631723E+000        -1.9885525902546934E+000         1.0000000000000000E-002            0.052590           14.317787           13.337995           11.962820           10.791155            9.304877            7.836724            7.191943            6.976196           10.770905           12.596065           11.901855           13.557425           12.193090           10.743234           12.233102            9.601665           10.735672           12.188522           12.230480            9.578884            9.505598           10.755109           12.209074            9.576667           -1.000000
  158         7.7999999999999998E+000         2.1644274572844896E-001         2.1644240543152643E-001         3.5110581865343580E+000         4.7383684908103385E+000        -1.9684451852262734E+000         1.0000000000000000E-002            0.052589           14.230080           13.246994           11.873718           10.713736            9.244452            7.792031            7.146001            6.930982           10.700784           12.506795           11.818806           13.468543           12.102858           10.676434           12.144051            9.540588           10.668067           12.099513           12.141574            9.517912            9.446695           10.687535           12.119964            9.515757           -1.000000
  159         7.7999999999999998E+000         2.2337407052835201E-001         2.2337371798917194E-001         3.5130383142577171E+000         4.7397965554319814E+000        -1.9485339427966160E+000         1.0000000000000000E-002            0.052588           14.144699           13.158213           11.786860           10.637893            9.185158            7.747741            7.100452            6.886230           10.631926           12.419855           11.737571           13.381832           12.014891           10.610739           12.057227            9.480502           10.601615           12.012731           12.054893            9.457927            9.388684           10.621113           12.033084            9.455839           -1.000000
  160         7.7999999999999998E+000         2.3022567884418035E-001         2.3022531408428323E-001         3.5149798560977228E+000         4.7411843783058236E+000        -1.9289132437448195E+000         1.0000000000000000E-002            0.052590           14.061950           13.071990           11.702558           10.563931            9.127235            7.704062            7.055518            6.842033           10.564619           12.335554           11.658471           13.297626           11.929508           10.546434           11.972946            9.421665           10.536600           11.928492           11.970751            9.399185            9.331817           10.556125           11.948750            9.397171           -1.000000
  161         7.7999999999999998E+000         2.3708487433919911E-001         2.3708449722107594E-001         3.5168910313256001E+000         4.7425404034513763E+000        -1.9093671248098700E+000         1.0000000000000000E-002            0.052589           13.980999           12.987492           11.619968           10.491108            9.070045            7.660485            7.010684            6.797890           10.498176           12.254091           11.580724           13.215107           11.845860           10.482858           11.890365            9.363450           10.472354           11.845953           11.888309            9.341061            9.275484           10.491904           11.866120            9.339126           -1.000000
  162         7.7999999999999998E+000         2.4395228244757636E-001         2.4395189283321611E-001         3.5187681911248281E+000         4.7438567313981492E+000        -1.8899011236129268E+000         1.0000000000000000E-002            0.052589           13.901794           12.905666           11.539046           10.419408            9.013570            7.617015            6.965962            6.753821           10.432591           12.174616           11.504309           13.134247           11.763901           10.420011           11.809441            9.305852           10.408876           11.765071           11.807520            9.283549            9.219685           10.428451           11.785149            9.281699           -1.000000
  163         7.7999999999999998E+000         2.5114321217460678E-001         2.5114280937034011E-001         3.5206757486696176E+000         4.7451296484607388E+000        -1.8698850092781292E+000         1.0000000000000000E-002            0.052590           13.821619           12.822993           11.457031           10.346419            8.955935            7.572259            6.919921            6.708420           10.365676           12.094205           11.426641           13.052290           11.680833           10.355803           11.727412            9.246967           10.344052           11.683086           11.725632            9.224751            9.162580           10.363650           11.703075            9.222993           -1.000000
  164         7.7999999999999998E+000         2.6381688370180778E-001         2.6381645784837615E-001         3.5236652275027023E+000         4.7463915698352208E+000        -1.8391186776784991E+000         1.0000000000000000E-002            0.052589           13.698993           12.696465           11.331540           10.234445            8.867615            7.503633            6.849243            6.638724           10.262938           11.971335           11.307533           12.926787           11.553687           10.257168           11.601888            9.156651           10.244497           11.557633           11.600325            9.134565            9.074960           10.264131           11.577480            9.132961           -1.000000
  165         7.7999999999999998E+000         2.7657470245733118E-001         2.7657425315042899E-001         3.5267125525911602E+000         4.7477069808993200E+000        -1.8080411931220306E+000         1.0000000000000000E-002            0.052590           13.576591           12.569838           11.205814           10.121820            8.778839            7.434439            6.777926            6.568397           10.159474           11.848511           11.187873           12.801233           11.426272           10.157753           11.476112            9.065728           10.144192           11.431932           11.474775            9.043774            8.986698           10.163859           11.451637            9.042342           -1.000000
