Name M_v log_age log_m
SL282	-4.52	9.13	3.71
SL278	-5.53	8.4	3.72
KMK88-32	-5.58	8.5	3.81
NGC1861	-5.97	8.79	4.16
HS153	-5.84	8.55	3.95
SL291	-5.54	8.72	3.94
NGC1860	-8.88	8.28	4.3
SL288	-6.94	7.65	3.81
SL294	-5.89	8.28	3.78
SL296	-5.86	8.85	4.15
NGC1859	-6.31	8.1	3.82
NGC1863	-7.91	7.8	4.28
SL304	-6.76	8.4	4.21
KMK88-38	-4.4	9.1	3.71
NGC1865	-6.65	8.8	4.44
BSDL880	-4.68	9.1	3.83
KMK88-40	-7.66	7.2	3.79
KMK88-42	-6.34	8.2	3.91
NGC1878	-6	8.54	4.01
HS177	-4.48	9.25	3.95
NGC1870	-7.49	8.15	4.33
NGC1872	-8.05	8.7	4.93
NGC1866	-9.98	8.12	4.63
BSDL946	-5.67	9.13	4.17
NGC1868	-7.58	8.74	4.53
HS190	-5.44	9.44	4.51
HS186	-4.84	8.8	3.71
HS191	-4.58	8.95	3.71
BSDL985	-5.15	8.6	3.71
NGC1885	-7.32	8.3	4.37
NGC1894	-7.96	8.05	4.45
NGC1887	-6.13	8.1	3.75
BSDL1102	-4.12	9.21	3.77
SL352	-5.8	8.61	3.97
NGC1898	-7.82	10.15	5.88
SL349	-5.38	8.85	3.96
H1	-6.82	9.2	4.84
NGC1903	-9.28	8.08	5
SL357	-6.59	9.2	4.75
SL358	-6.03	8.7	4.12
HS211	-5.01	8.7	3.71
H2	-7.06	9.25	4.98
HS213	-5.79	8.3	3.76
BRHT10	-5.87	8.2	3.72
NGC1902	-7.24	8	4.13
NGC1913	-7.55	7.58	4.01
NGC1916	-8.93	10.2	5.79
H88-269	-4.98	9	3.91
HS223A	-5.15	9.1	4.02
NGC1917	-6.17	9.11	4.42
HS227	-5.16	9	3.99
NGC1921	-5.95	8.3	3.82
SL385	-6.63	8.5	4.23
SL387	-6.41	9	4.49
NGC1922	-7.74	7.35	3.92
SL390	-5.92	9.2	4.48
SL397	-6.67	7.8	3.79
SL402	-6.53	8.5	4.19
H88-281	-5.81	8.27	3.74
NGC1926	-7.76	8.2	4.47
NGC1928	-6.83	9.23	4.87
BSDL1334	-3.72	9.48	3.86
NGC1938	-5.9	8.75	4.1
NGC1939	-7.43	9.2	5.08
SL410	-6.36	8.05	3.81
SL418	-6.47	8.4	4.1
NGC1944	-6.66	7.84	3.81
SL419	-6.39	8.55	4.17
SL423	-6.3	8.4	4.03
SL425	-6.21	8.2	3.85
NGC1932	-6.85	8.1	4.04
NGC1943	-7.25	8.35	4.38
NGC1940	-6.5	8	3.83
HS259	-7.18	8.14	4.2
SL434	-5.07	8.7	3.74
SL453	-7.01	8.5	4.38
SL461	-5.05	8.7	3.73
NGC1953	-6.87	7.9	3.93
NGC1951	-7.82	7.7	4.18
BSDL1657	-6.33	8	3.77
KMHK898	-5.59	9.12	4.16
HS301A	-6.46	7.9	3.76
NGC1967	-7.62	7.2	3.78
NGC1987	-6.76	9.03	4.65
SL482	-7.47	7.6	3.99
NGC2000	-6.62	8	3.88
NGC1984	-9.11	7.8	4.76
SL492	-7.47	7.7	4.04
SL495	-7.59	7.4	3.89
NGC1994	-7.02	7.7	3.86
HS314	-7.3	7.3	3.7
KMHK945	-5.27	9.08	4.06
SL498	-7.15	7.45	3.75
HODGE14	-5.95	9.26	4.33
NGC1978	-7.8	9.3	5.33
HS319	-6.02	8.32	3.86
SL503	-5.47	8.56	3.81
SL502	-8.37	7.6	4.35
BSDL1938	-7.16	7.6	3.87
OGLE-LMC0531	-4.24	9.3	3.91
NGC2005	-13.12	10.22	5.49
NGC2002	-8.57	7.1	4.05
ESO86SC2	-7.39	7.5	3.88
BSDL2001	-6.74	7.81	3.82
NGC2010	-6.78	8.19	4.07
NGC2004	-9.62	7.3	4.43
NGC2003	-7.78	7.4	3.97
SL539	-7.89	7.4	4.01
NGC2009	-7.6	7.5	3.96
SL543	-6.38	7.9	3.73
KMHK1022	-6.68	8.3	4.11
SL538	-7.92	7.4	4.03
NGC2006	-7.81	7.6	4.13
NGC2019	-12.97	10.25	5.68
BSDL2180	-5.01	8.7	3.71
HS346	-6.11	8.22	3.82
SL558	-5.66	8.4	3.77
KMHK1047	-6.59	7.74	3.72
BRHT14b	-7.25	7.5	3.82
NGC2011	-7.66	7.4	3.92
HODGE4	-9.29	9.34	5.39
NGC2025	-7.36	7.95	4.15
BSDL2300	-5.86	9.47	4.7
SL569	-5.83	9.08	4.29
NGC2031	-8.98	8.2	5.13
SL582	-7.23	7.9	4.07
HS358	-6.05	8.3	3.86
KMHK1098	-6.95	7.5	3.7
SL588	-5.46	8.7	3.89
SL586	-7.03	7.6	3.81
HS359	-5.98	9.02	4.33
KMHK1112	-3.77	9.38	3.78
NGC2030	-6.32	8	3.76
HDE269828	-7.97	7.18	3.9
NGC2051	-6.92	8	4
LT-delta	-7.94	7.3	3.96
NGC2041	-8.52	7.4	4.27
SL607	-5.66	8.59	3.9
NGC2056	-6.73	8.4	4.2
NGC2053	-6.46	8.09	3.87
IC2146	-6.09	9.19	4.51
M-OB1	-7.76	7.4	3.96
SL629	-4.45	9.31	4
SL628	-6.44	8.3	4.02
BSDL2652	-3.93	9.24	3.73
KMHK1188	-4.08	9.48	4
NGC2091	-6.95	7.7	3.84
NGC2088	-6.32	7.9	3.71
BSDL2794	-5.55	9.07	4.18
NGC2093	-7.22	7.48	3.8
KMHK1244	-6.79	7.9	3.9
NGC2100	-9.93	7.2	4.48
NGC2096	-7.51	7.5	3.93
SL663	-7.58	9.51	5.23
NGC2098	-7.78	7.6	4.11
NGC2108	-6.18	9.01	4.4
NGC2105	-6.23	8.2	3.86
NGC2109	-6.58	8.2	4
BM32	-6.67	7.9	3.85
SL714	-5.28	8.6	3.76
NGC2117	-6.7	7.8	3.8
NGC2121	-7.85	9.51	5.69
HODGE7	-6.24	9.17	4.47
SL748	-5.85	8.4	3.85
BM112	-5.64	8.4	3.77
LW318	-6.48	8.1	3.89
NGC2127	-6.9	7.9	3.94
NGC2133	-6.3	8.2	3.89
NGC2123	-6.01	8.2	3.77
NGC2134	-7.71	7.4	3.94
NGC2130	-6.31	7.9	3.7
NGC2136	-8.62	8	4.45
HS445	-6.77	8.3	4.15
NGC2145	-6.27	8.3	3.95
NGC2157	-9.09	7.6	4.31
NGC2154	-6.71	9.15	4.57
NGC2156	-7.17	7.9	4.05
NGC2153	-5.58	9.11	3.97
NGC2159	-7.1	8	4.08
NGC2173	-7.33	9.33	5.06
NGC2160	-6.3	8	3.75
NGC2155	-6.68	9.51	4.9
NGC2164	-8.61	7.7	4.12
NGC2172	-6.8	7.9	3.9
NGC2162	-6.33	9.11	4.4
NGC2190	-5.56	9.04	4.17
SL822	-5.45	8.8	3.96
NGC2203	-7.21	9.26	5.05
NGC2193	-6.23	9.34	4.42
SL842	-5.34	9.3	4.08
NGC2209	-7.9	8.98	5.03
NGC2213	-6.48	9.2	4.56
SL855	-5.01	9.13	4.58
NGC2210	-8	10.2	5.48
NGC2214	-8.41	7.6	4.5
LW431	-4.83	9.18	3.94
HODGE11	-7.5	10.18	5.63
NGC2231	-7.03	9.18	5.18
NGC2241	-5.25	9.28	4.29
NGC2249	-6.73	8.82	4.35
NGC2257	-7.06	10.2	5.41
			
