Name M_v log_age log_m
NGC1466	-7.59	10.1	5.31
NGC1651	-7.16	9.3	5.24
NGC1644	-5.61	9.19	4.32
NGC1652	-5.37	9.23	4.29
NGC1841	-7.8	10.09	5.12
LW52	-5.3	8.7	3.83
SL37	-4.99	8.7	3.71
NGC1695	-6.24	8	3.73
NGC1698	-7.09	8	4.07
HS35	-4.93	9	3.89
NGC1704	-7.09	7.5	3.76
HS37	-4.65	9.25	4.02
NGC1711	-8.88	7.7	4.21
SL58	-6.14	8.37	3.95
SL66	-5.5	9.23	4.34
NGC1718	-7.14	9.3	5.1
SL75	-6.49	8.2	3.96
KMHK208	-6.18	8.58	4.1
SL76	-6.71	8.1	3.98
NGC1732	-6.72	7.84	3.83
KMHK229	-5.04	9.05	3.97
NGC1751	-6.83	9.15	4.6
NGC1754	-7.36	10.19	5.39
NGC1735	-7.79	7.7	4.17
BSDL210	-5.78	8.4	3.82
BRHT43b	-6.26	8.3	3.94
NGC1756	-6.26	8.4	4.02
SL106	-7.18	7.7	3.93
NGC1755	-9.11	7.4	4.5
SL105	-6.45	8	3.81
HS65	-5.02	8.97	3.91
KMHK292	-7.78	7.2	3.84
KMHK300	-4.68	9.06	3.83
NGC1777	-7.38	9.08	4.75
SL114	-7.27	7.35	3.73
SL117	-6.9	8.1	4.06
SL116	-6.88	7.68	3.8
NGC1767	-8.41	7.3	4.15
SL124e	-5.5	8.73	3.93
HD32228	-7.77	7.3	3.89
BSDL285	-5.83	8.5	3.91
SL119	-6.16	8.86	4.28
NGC1772	-7.76	7.6	4.11
KMHK355	-3.81	9.27	3.7
SL134	-6.79	7.57	3.7
SL136	-5.8	9.19	4.39
NGC1782	-8.3	7.2	4.05
NGC1774	-8.15	7.7	4.32
BSDL365	-5.36	8.7	3.85
SL151	-5.59	9.15	4.1
SL150	-5.03	9.44	4.34
NGC1791	-5.94	8.15	3.71
NGC1786	-8.41	10.18	5.57
NGC1783	-8.11	9.18	5.26
SL153	-6.92	8.2	4.14
BRHT61a	-5.98	8.79	4.16
NGC1793	-6.4	8	3.79
NGC1795	-6.08	9.11	4.36
NGC1801	-6.91	8.45	4.31
HS87	-4.56	9.25	3.98
SL168	-6.29	8.3	3.96
HS85	-4.71	9.02	3.82
NGC1804	-6.83	7.8	3.85
HS88	-4.55	9.39	4.1
SL174	-5.93	9.04	4.32
H88-93	-3.72	9.48	3.85
KMHK448	-5.54	8.45	3.77
SL180	-5.54	9.2	4.32
SL181	-5.17	8.8	3.85
NGC1806	-7.5	9.18	5.01
NGC1805	-8.42	7.6	4.37
NGC1815	-6.57	7.8	3.75
HS94	-4.39	9.05	3.71
SL188	-6.16	8.1	3.76
SL191	-7	8.1	4.1
SL197	-4.95	9.1	3.93
HS102	-4.78	9.1	3.87
NGC1818	-9.61	7.4	4.13
NGC1825	-7.24	7.8	4.02
NGC1828	-6.69	8.4	4.18
KMK88-8	-5.25	8.6	3.75
KMK88-7	-5.16	9	3.99
NGC1830	-6.25	8.6	4.14
NGC1837	-7.77	7.3	3.89
KMK88-11	-5.75	9.05	4.25
NGC1835	-8.74	10.22	5.83
NGC1834	-7.12	8.1	4.15
SL212	-6.49	8.7	4.31
HS112	-5.39	8.95	4.04
NGC1836	-6.84	8.7	4.45
SL224	-5.49	8.5	3.77
HS111	-4.39	9.1	3.71
HS115	-4.98	8.97	3.89
NGC1839	-7.17	7.9	4.05
NGC1831	-8.41	8.5	4.81
HS117	-5.1	9.2	4.15
SL228w	-6.49	8.2	3.96
SL230	-7.55	7.4	3.88
SL234	-6.31	7.95	3.73
OGLE-LMC0114	-3.88	9.25	3.71
SL237	-7.11	7.78	3.95
NGC1847	-10.41	7.42	4.97
NGC1844	-6.31	7.9	3.7
NGC1846	-7.82	9.17	5.1
SL249	-6.14	8.38	3.95
SL244	-6.12	9.43	4.77
SL250	-5.83	9	4.25
NGC1850	-10.95	7.5	5.42
BRHT5	-7.28	8.2	4.28
BSDL734	-4.1	9.25	3.8
SL268	-7.02	9.2	4.92
NGC1854	-8.7	8.05	4.75
NGC1852	-6.49	9.12	4.51
NGC1856	-10.39	8.12	5.25
NGC1849	-5.85	8.3	3.78
BSDL767	-5.47	8.51	3.77
HS141	-5.01	9	3.92
SL276	-6.17	8.9	4.32
OGLE-LMC0169	-6.32	8.25	3.93
