utctime,alt,az
2024-11-26 09:41:02.408692,-9.637776646997041,266.5552039438629
2024-11-26 09:51:02.408692,-11.659289361761658,268.0166492251011
2024-11-26 10:01:02.408692,-13.682591298399517,269.4861989263787
2024-11-26 10:11:02.408692,-15.706357744981704,270.96776682777875
2024-11-26 10:21:02.408692,-17.729232032789835,272.4654425531834
2024-11-26 10:31:02.408692,-19.749811076261377,273.983529948531
2024-11-26 10:41:02.408692,-21.76662960062485,275.526589221614
2024-11-26 10:51:02.408692,-23.778142729307515,277.0994833410368
2024-11-26 11:01:02.408692,-25.782706554760196,278.7074291991756
2024-11-26 11:11:02.408692,-27.778556259976217,280.3560540172685
2024-11-26 11:21:02.408692,-29.76378129370389,282.0514573901326
2024-11-26 11:31:02.408692,-31.736297031207425,283.8002792037632
2024-11-26 11:41:02.408692,-33.69381227683823,285.60977336741337
2024-11-26 11:51:02.408692,-35.63379188982564,287.48788681951294
2024-11-26 12:01:02.408692,-37.55341375007012,289.44334250420746
2024-11-26 12:11:02.408692,-39.44951924237595,291.48572384711713
2024-11-26 12:21:02.408692,-41.318556451859614,293.62555651493733
2024-11-26 12:31:02.408692,-43.156515371715905,295.87438070021733
2024-11-26 12:41:02.408692,-44.95885469084172,298.2448035520981
2024-11-26 12:51:02.408692,-46.72042024677359,300.7505163586694
2024-11-26 13:01:02.408692,-48.43535613216011,303.40625437322075
2024-11-26 13:11:02.408692,-50.097010909796545,306.2276685977679
2024-11-26 13:21:02.408692,-51.6978436439314,309.23106860398354
2024-11-26 13:31:02.408692,-53.22933773345282,312.4329845997187
2024-11-26 13:41:02.408692,-54.68193502107929,315.849487916246
2024-11-26 13:51:02.408692,-56.045008334205896,319.4952066872282
2024-11-26 14:01:02.408692,-57.30689700909317,323.3819855816279
2024-11-26 14:11:02.408692,-58.45503575343693,327.51717589882776
2024-11-26 14:21:02.408692,-59.47620989737255,331.9016166301318
2024-11-26 14:31:02.408692,-60.35696584280859,336.5274839233589
2024-11-26 14:41:02.408692,-61.08418990597608,341.3763344086056
2024-11-26 14:51:02.408692,-61.64583877427312,346.4178062476513
2024-11-26 15:01:02.408692,-62.03176235417006,351.6094976486915
2024-11-26 15:11:02.408692,-62.23451483498032,356.8984336416533
2024-11-26 15:21:02.408692,-62.25002006169187,2.2242197330962816
2024-11-26 15:31:02.408692,-62.077961517949674,7.523528917383146
2024-11-26 15:41:02.408692,-61.72181337860592,12.735147985976663
2024-11-26 15:51:02.408692,-61.18850575277931,17.80461887996495
2024-11-26 16:01:02.408692,-60.4877965165641,22.687649304998086
2024-11-26 16:11:02.408692,-59.63147466481489,27.351861922461367
2024-11-26 16:21:02.408692,-58.63253114308644,31.776912354464045
2024-11-26 16:31:02.408692,-57.50440782916471,35.95334910467914
2024-11-26 16:41:02.408692,-56.260391523590016,39.88073043458951
2024-11-26 16:51:02.408692,-54.913176023795494,43.56547925307791
2024-11-26 17:01:02.408692,-53.474583010951655,47.01882655654399
2024-11-26 17:11:02.408692,-51.95541461809944,50.25504379017209
2024-11-26 17:21:02.408692,-50.36540473293676,53.290041094110414
2024-11-26 17:31:02.408692,-48.71323793463105,56.14032718473098
2024-11-26 17:41:02.408692,-47.006610464483686,58.82228384059388
2024-11-26 17:51:02.408692,-45.252314046737744,61.35169250142303
2024-11-26 18:01:02.408692,-43.45632922532989,63.74345113267443
2024-11-26 18:11:02.408692,-41.6239195772348,66.01142785301455
2024-11-26 18:21:02.408692,-39.759721631006464,68.1684086119049
2024-11-26 18:31:02.408692,-37.86782772457622,70.22610664279621
2024-11-26 18:41:02.408692,-35.951860616473,72.19521029884454
2024-11-26 18:51:02.408692,-34.015039646922986,74.0854528937439
2024-11-26 19:01:02.408692,-32.06023881624599,75.90569344627978
2024-11-26 19:11:02.408692,-30.090037448413483,77.66400105526853
2024-11-26 19:21:02.408692,-28.10676423703436,79.36773833194695
2024-11-26 19:31:02.408692,-26.112535497488956,81.02364117578134
2024-11-26 19:41:02.408692,-24.10928841712538,82.6378934297209
2024-11-26 19:51:02.408692,-22.09881003378814,84.21619577068917
2024-11-26 20:01:02.408692,-20.08276259900408,85.76382871254349
2024-11-26 20:11:02.408692,-18.06270590625017,87.28570991683772
2024-11-26 20:21:02.408692,-16.040117092572586,88.78644618855986
2024-11-26 20:31:02.408692,-14.016408356350988,90.27038062603897
2024-11-26 20:41:02.408692,-11.992942976352042,91.74163542819898
