|  obsdate |    mag | e_mag | magsys | filter | depth_5sig | zp | observatory | detected | A_filter |
| 59530.39 | 17.428 |  0.02 |     AB |      u |            |    |       Swope |     True |   -0.038 |
| 59530.39 | 16.064 |  0.01 |   Vega |      V |            |    |       Swope |     True |   -0.024 |
| 59530.39 | 16.585 |  0.01 |     AB |      i |            |    |       Swope |     True |   -0.015 |
| 59530.39 | 16.513 |  0.01 |   Vega |      B |            |    |       Swope |     True |   -0.033 |
| 59530.39 |  16.27 |  0.01 |     AB |      g |            |    |       Swope |     True |    -0.03 |
| 59530.39 |  16.07 |  0.01 |     AB |      r |            |    |       Swope |     True |    -0.02 |
| 59530.59 | 15.954 |  0.01 |   Vega |      V |            |    |       Swope |     True |   -0.024 |
| 59530.59 | 17.378 |  0.04 |     AB |      u |            |    |       Swope |     True |   -0.038 |
| 59530.59 |  16.18 |  0.01 |     AB |      g |            |    |       Swope |     True |    -0.03 |
| 59530.59 |  15.96 |  0.01 |     AB |      r |            |    |       Swope |     True |    -0.02 |
| 59530.59 | 16.485 |  0.01 |     AB |      i |            |    |       Swope |     True |   -0.015 |
| 59530.59 | 16.463 |  0.01 |   Vega |      B |            |    |       Swope |     True |   -0.033 |
| 59531.39 |  15.43 |  0.01 |     AB |      r |            |    |       Swope |     True |    -0.02 |
| 59531.39 | 15.404 |  0.01 |   Vega |      V |            |    |       Swope |     True |   -0.024 |
| 59531.39 | 17.298 |  0.02 |     AB |      u |            |    |       Swope |     True |   -0.038 |
| 59531.39 | 16.055 |  0.01 |     AB |      i |            |    |       Swope |     True |   -0.015 |
| 59531.39 | 16.093 |  0.01 |   Vega |      B |            |    |       Swope |     True |   -0.033 |
| 59531.39 |  15.74 |  0.01 |     AB |      g |            |    |       Swope |     True |    -0.03 |
| 59532.29 |  15.18 |  0.01 |     AB |      g |            |    |       Swope |     True |    -0.03 |
| 59532.29 | 15.555 |  0.01 |     AB |      i |            |    |       Swope |     True |   -0.015 |
| 59532.29 | 16.808 |  0.02 |     AB |      u |            |    |       Swope |     True |   -0.038 |
| 59532.29 |  14.93 |  0.01 |     AB |      r |            |    |       Swope |     True |    -0.02 |
| 59532.29 | 15.493 |  0.01 |   Vega |      B |            |    |       Swope |     True |   -0.033 |
| 59532.29 | 14.884 |  0.01 |   Vega |      V |            |    |       Swope |     True |   -0.024 |
| 59532.49 |  15.01 |  0.01 |     AB |      g |            |    |       Swope |     True |    -0.03 |
| 59532.49 | 15.313 |  0.01 |   Vega |      B |            |    |       Swope |     True |   -0.033 |
| 59532.49 | 14.764 |  0.01 |   Vega |      V |            |    |       Swope |     True |   -0.024 |
| 59532.49 | 15.415 |  0.02 |     AB |      i |            |    |       Swope |     True |   -0.015 |
| 59532.49 | 16.638 |  0.02 |     AB |      u |            |    |       Swope |     True |   -0.038 |
| 59532.49 |  14.79 |  0.01 |     AB |      r |            |    |       Swope |     True |    -0.02 |
| 59533.29 | 14.364 |  0.01 |   Vega |      V |            |    |       Swope |     True |   -0.024 |
| 59533.29 | 16.068 |  0.02 |     AB |      u |            |    |       Swope |     True |   -0.038 |
| 59533.29 | 14.773 |  0.01 |   Vega |      B |            |    |       Swope |     True |   -0.033 |
| 59533.29 |  14.56 |  0.01 |     AB |      g |            |    |       Swope |     True |    -0.03 |
| 59533.29 |  14.39 |  0.01 |     AB |      r |            |    |       Swope |     True |    -0.02 |
| 59533.29 | 15.005 |  0.01 |     AB |      i |            |    |       Swope |     True |   -0.015 |
| 59533.49 | 14.264 |  0.01 |   Vega |      V |            |    |       Swope |     True |   -0.024 |
| 59533.49 |  14.42 |  0.01 |     AB |      g |            |    |       Swope |     True |    -0.03 |
| 59533.49 | 14.915 |  0.01 |     AB |      i |            |    |       Swope |     True |   -0.015 |
| 59533.49 | 14.593 |  0.01 |   Vega |      B |            |    |       Swope |     True |   -0.033 |
| 59533.49 | 15.918 |  0.02 |     AB |      u |            |    |       Swope |     True |   -0.038 |
| 59534.29 | 13.924 |  0.01 |   Vega |      V |            |    |       Swope |     True |   -0.024 |
| 59534.29 |  13.97 |  0.01 |     AB |      r |            |    |       Swope |     True |    -0.02 |
| 59534.29 | 14.123 |  0.01 |   Vega |      B |            |    |       Swope |     True |   -0.033 |
| 59534.29 | 14.545 |  0.01 |     AB |      i |            |    |       Swope |     True |   -0.015 |
| 59534.29 |  14.01 |  0.01 |     AB |      g |            |    |       Swope |     True |    -0.03 |
| 59534.29 | 15.378 |  0.02 |     AB |      u |            |    |       Swope |     True |   -0.038 |
| 59534.49 | 13.824 |  0.01 |   Vega |      V |            |    |       Swope |     True |   -0.024 |
| 59534.49 |  13.87 |  0.01 |     AB |      r |            |    |       Swope |     True |    -0.02 |
| 59534.49 | 13.973 |  0.01 |   Vega |      B |            |    |       Swope |     True |   -0.033 |
| 59534.49 | 14.425 |  0.01 |     AB |      i |            |    |       Swope |     True |   -0.015 |
| 59534.49 | 15.198 |  0.02 |     AB |      u |            |    |       Swope |     True |   -0.038 |
| 59535.29 | 13.564 |  0.01 |   Vega |      V |            |    |       Swope |     True |   -0.024 |
| 59535.29 | 14.738 |  0.02 |     AB |      u |            |    |       Swope |     True |   -0.038 |
| 59535.29 |  13.59 |  0.01 |     AB |      r |            |    |       Swope |     True |    -0.02 |
| 59535.29 | 14.135 |  0.01 |     AB |      i |            |    |       Swope |     True |   -0.015 |
| 59535.29 |  13.59 |  0.01 |     AB |      g |            |    |       Swope |     True |    -0.03 |
| 59535.29 | 13.643 |  0.01 |   Vega |      B |            |    |       Swope |     True |   -0.033 |
| 59535.49 |  13.49 |  0.01 |     AB |      g |            |    |       Swope |     True |    -0.03 |
| 59535.49 | 13.533 |  0.01 |   Vega |      B |            |    |       Swope |     True |   -0.033 |
| 59535.49 | 13.504 |  0.01 |   Vega |      V |            |    |       Swope |     True |   -0.024 |
| 59535.49 |  13.51 |  0.01 |     AB |      r |            |    |       Swope |     True |    -0.02 |
| 59535.49 | 14.045 |  0.01 |     AB |      i |            |    |       Swope |     True |   -0.015 |
| 59536.29 |  13.23 |  0.01 |     AB |      g |            |    |       Swope |     True |    -0.03 |
| 59536.29 | 14.218 |  0.02 |     AB |      u |            |    |       Swope |     True |   -0.038 |
| 59536.29 | 13.765 |  0.01 |     AB |      i |            |    |       Swope |     True |   -0.015 |
| 59536.29 | 13.273 |  0.01 |   Vega |      B |            |    |       Swope |     True |   -0.033 |
| 59536.29 |  13.27 |  0.01 |     AB |      r |            |    |       Swope |     True |    -0.02 |
| 59536.29 | 13.244 |  0.01 |   Vega |      V |            |    |       Swope |     True |   -0.024 |
| 59536.49 |  13.15 |  0.01 |     AB |      g |            |    |       Swope |     True |    -0.03 |
| 59536.49 |   13.2 |  0.01 |     AB |      r |            |    |       Swope |     True |    -0.02 |
| 59536.49 | 13.675 |  0.01 |     AB |      i |            |    |       Swope |     True |   -0.015 |
| 59536.49 | 14.098 |  0.02 |     AB |      u |            |    |       Swope |     True |   -0.038 |
| 59536.49 | 13.173 |  0.01 |   Vega |      B |            |    |       Swope |     True |   -0.033 |
| 59536.49 | 13.204 |  0.01 |   Vega |      V |            |    |       Swope |     True |   -0.024 |
| 59537.19 | 12.994 |  0.01 |   Vega |      V |            |    |       Swope |     True |   -0.024 |
| 59537.19 | 13.435 |  0.01 |     AB |      i |            |    |       Swope |     True |   -0.015 |
| 59537.19 |  12.99 |  0.01 |     AB |      r |            |    |       Swope |     True |    -0.02 |
| 59537.19 | 12.993 |  0.01 |   Vega |      B |            |    |       Swope |     True |   -0.033 |
| 59537.29 |  12.93 |  0.01 |     AB |      g |            |    |       Swope |     True |    -0.03 |
| 59537.29 | 13.838 |  0.04 |     AB |      u |            |    |       Swope |     True |   -0.038 |
| 59537.39 | 12.903 |  0.01 |   Vega |      B |            |    |       Swope |     True |   -0.033 |
| 59537.39 | 12.944 |  0.01 |   Vega |      V |            |    |       Swope |     True |   -0.024 |
| 59537.39 | 13.698 |  0.02 |     AB |      u |            |    |       Swope |     True |   -0.038 |
| 59537.39 | 13.415 |  0.01 |     AB |      i |            |    |       Swope |     True |   -0.015 |
| 59537.39 |  12.92 |  0.01 |     AB |      g |            |    |       Swope |     True |    -0.03 |
| 59538.19 |  12.79 |  0.01 |     AB |      r |            |    |       Swope |     True |    -0.02 |
| 59538.19 | 13.205 |  0.01 |     AB |      i |            |    |       Swope |     True |   -0.015 |
| 59538.19 | 13.438 |  0.02 |     AB |      u |            |    |       Swope |     True |   -0.038 |
| 59538.19 | 12.774 |  0.01 |   Vega |      V |            |    |       Swope |     True |   -0.024 |
| 59538.19 | 12.743 |  0.01 |   Vega |      B |            |    |       Swope |     True |   -0.033 |
| 59538.19 |  12.72 |  0.01 |     AB |      g |            |    |       Swope |     True |    -0.03 |
| 59538.39 | 13.165 |  0.01 |     AB |      i |            |    |       Swope |     True |   -0.015 |
| 59538.39 | 12.693 |  0.01 |   Vega |      B |            |    |       Swope |     True |   -0.033 |
| 59538.39 | 12.744 |  0.01 |   Vega |      V |            |    |       Swope |     True |   -0.024 |
| 59538.39 | 13.398 |  0.02 |     AB |      u |            |    |       Swope |     True |   -0.038 |
| 59538.39 |  12.76 |  0.01 |     AB |      r |            |    |       Swope |     True |    -0.02 |
| 59538.39 |  12.69 |  0.01 |     AB |      g |            |    |       Swope |     True |    -0.03 |
| 59539.29 | 13.055 |  0.01 |     AB |      i |            |    |       Swope |     True |   -0.015 |
| 59539.29 |  12.55 |  0.01 |     AB |      g |            |    |       Swope |     True |    -0.03 |
| 59539.29 | 13.208 |  0.02 |     AB |      u |            |    |       Swope |     True |   -0.038 |
| 59539.29 | 12.624 |  0.01 |   Vega |      V |            |    |       Swope |     True |   -0.024 |
| 59539.29 | 12.553 |  0.01 |   Vega |      B |            |    |       Swope |     True |   -0.033 |
| 59539.39 |   12.6 |  0.01 |     AB |      r |            |    |       Swope |     True |    -0.02 |
| 59539.39 | 12.604 |  0.01 |   Vega |      V |            |    |       Swope |     True |   -0.024 |
| 59539.39 | 12.533 |  0.01 |   Vega |      B |            |    |       Swope |     True |   -0.033 |
| 59539.49 | 13.158 |  0.02 |     AB |      u |            |    |       Swope |     True |   -0.038 |
| 59539.49 |  12.53 |  0.01 |     AB |      g |            |    |       Swope |     True |    -0.03 |
| 59539.49 | 13.025 |  0.01 |     AB |      i |            |    |       Swope |     True |   -0.015 |
| 59540.19 |  12.51 |  0.01 |     AB |      r |            |    |       Swope |     True |    -0.02 |
| 59540.19 | 12.915 |  0.01 |     AB |      i |            |    |       Swope |     True |   -0.015 |
| 59540.19 | 13.018 |  0.01 |     AB |      u |            |    |       Swope |     True |   -0.038 |
| 59540.19 |  12.41 |  0.01 |     AB |      g |            |    |       Swope |     True |    -0.03 |
| 59540.19 | 12.484 |  0.01 |   Vega |      V |            |    |       Swope |     True |   -0.024 |
| 59540.19 | 12.433 |  0.01 |   Vega |      B |            |    |       Swope |     True |   -0.033 |
| 59540.39 | 12.413 |  0.01 |   Vega |      B |            |    |       Swope |     True |   -0.033 |
| 59540.39 |  12.48 |  0.01 |     AB |      r |            |    |       Swope |     True |    -0.02 |
| 59540.39 | 12.958 |  0.02 |     AB |      u |            |    |       Swope |     True |   -0.038 |
| 59540.39 |  12.38 |  0.01 |     AB |      g |            |    |       Swope |     True |    -0.03 |
| 59540.39 | 12.875 |  0.01 |     AB |      i |            |    |       Swope |     True |   -0.015 |
| 59540.39 | 12.464 |  0.01 |   Vega |      V |            |    |       Swope |     True |   -0.024 |
| 59541.19 |  12.29 |  0.01 |     AB |      g |            |    |       Swope |     True |    -0.03 |
| 59541.19 | 12.384 |  0.01 |   Vega |      V |            |    |       Swope |     True |   -0.024 |
| 59541.19 | 12.303 |  0.01 |   Vega |      B |            |    |       Swope |     True |   -0.033 |
| 59541.19 | 12.858 |  0.05 |     AB |      u |            |    |       Swope |     True |   -0.038 |
| 59541.19 |  12.42 |  0.01 |     AB |      r |            |    |       Swope |     True |    -0.02 |
| 59541.19 | 12.825 |  0.01 |     AB |      i |            |    |       Swope |     True |   -0.015 |
