|            obsdate |      mag | e_mag | magsys | filter | depth_5sig |  zp | observatory | detected |
|  59564.49760978009 | 12.57669 |  0.05 |   Vega |      R |        nan | nan |        en12 |     True |
|  59564.49760978009 | 13.01167 |  0.05 |   Vega |      I |        nan | nan |        en12 |     True |
|  59564.49760978009 | 14.18944 |  0.05 |     AB |      u |        nan | nan |        en12 |     True |
|  59564.49760978009 | 12.90556 |  0.05 |     AB |      g |        nan | nan |        en12 |     True |
|  59564.49760978009 | 12.63115 |  0.05 |     AB |      r |        nan | nan |        en12 |     True |
|  59564.49760978009 | 13.32718 |  0.05 |     AB |      i |        nan | nan |        en12 |     True |
|  59594.59024107639 | 16.02802 |  0.05 |   Vega |      U |        nan | nan |        en12 |     True |
|  59594.59024107639 | 16.41949 |  0.05 |   Vega |      B |        nan | nan |        en12 |     True |
|  59594.59024107639 | 15.37373 |  0.05 |   Vega |      V |        nan | nan |        en12 |     True |
|  59594.59024107639 | 15.04918 |  0.05 |   Vega |      R |        nan | nan |        en12 |     True |
|  59594.59024107639 | 15.15625 |  0.05 |   Vega |      I |        nan | nan |        en12 |     True |
|  59594.59024107639 | 16.89523 |  0.05 |     AB |      u |        nan | nan |        en12 |     True |
|  59594.59024107639 | 16.17742 |  0.05 |     AB |      g |        nan | nan |        en12 |     True |
|  59594.59024107639 | 15.11701 |  0.05 |     AB |      r |        nan | nan |        en12 |     True |
|  59594.59024107639 | 15.48734 |  0.05 |     AB |      i |        nan | nan |        en12 |     True |
|  59665.05995396991 |      inf |  0.05 |   Vega |      U |        nan | nan |    GHTS_RED |     True |
|  59665.05995396991 | 16.07733 |  0.05 |   Vega |      B |        nan | nan |    GHTS_RED |     True |
|  59665.05995396991 | 15.79577 |  0.05 |   Vega |      V |        nan | nan |    GHTS_RED |     True |
|  59665.05995396991 | 15.75691 |  0.05 |   Vega |      R |        nan | nan |    GHTS_RED |     True |
|  59665.05995396991 | 15.72453 |  0.05 |   Vega |      I |        nan | nan |    GHTS_RED |     True |
|  59665.05995396991 |      inf |  0.05 |     AB |      u |        nan | nan |    GHTS_RED |     True |
|  59665.05995396991 | 15.87088 |  0.05 |     AB |      g |        nan | nan |    GHTS_RED |     True |
|  59665.05995396991 | 15.98177 |  0.05 |     AB |      r |        nan | nan |    GHTS_RED |     True |
|  59665.05995396991 | 16.39828 |  0.05 |     AB |      i |        nan | nan |    GHTS_RED |     True |
|     59535.07297454 | 14.00216 |  0.05 |   Vega |      U |        nan | nan |        SALT |     True |
|     59535.07297454 | 14.00555 |  0.05 |   Vega |      B |        nan | nan |        SALT |     True |
|     59535.07297454 | 13.96233 |  0.05 |   Vega |      V |        nan | nan |        SALT |     True |
|     59535.07297454 |   13.739 |  0.05 |   Vega |      R |        nan | nan |        SALT |     True |
|     59535.07297454 | 13.38039 |  0.05 |   Vega |      I |        nan | nan |        SALT |     True |
|     59535.07297454 |  15.1034 |  0.05 |     AB |      u |        nan | nan |        SALT |     True |
|     59535.07297454 | 13.94751 |  0.05 |     AB |      g |        nan | nan |        SALT |     True |
|     59535.07297454 | 13.95195 |  0.05 |     AB |      r |        nan | nan |        SALT |     True |
|     59535.07297454 | 13.85849 |  0.05 |     AB |      i |        nan | nan |        SALT |     True |
| 59615.418592118054 | 15.49777 |  0.05 |   Vega |      U |        nan | nan |        en12 |     True |
| 59615.418592118054 | 15.51193 |  0.05 |   Vega |      B |        nan | nan |        en12 |     True |
| 59615.418592118054 | 14.75756 |  0.05 |   Vega |      V |        nan | nan |        en12 |     True |
| 59615.418592118054 | 14.56019 |  0.05 |   Vega |      R |        nan | nan |        en12 |     True |
| 59615.418592118054 | 14.70082 |  0.05 |   Vega |      I |        nan | nan |        en12 |     True |
| 59615.418592118054 | 16.65374 |  0.05 |     AB |      u |        nan | nan |        en12 |     True |
| 59615.418592118054 | 15.22809 |  0.05 |     AB |      g |        nan | nan |        en12 |     True |
| 59615.418592118054 | 14.63428 |  0.05 |     AB |      r |        nan | nan |        en12 |     True |
| 59615.418592118054 | 15.02117 |  0.05 |     AB |      i |        nan | nan |        en12 |     True |
|    59532.073287035 | 15.79951 |  0.05 |   Vega |      U |        nan | nan |        SALT |     True |
|    59532.073287035 |  15.6288 |  0.05 |   Vega |      B |        nan | nan |        SALT |     True |
|    59532.073287035 | 15.02043 |  0.05 |   Vega |      V |        nan | nan |        SALT |     True |
|    59532.073287035 | 14.82909 |  0.05 |   Vega |      R |        nan | nan |        SALT |     True |
|    59532.073287035 | 14.50091 |  0.05 |   Vega |      I |        nan | nan |        SALT |     True |
|    59532.073287035 | 16.88583 |  0.05 |     AB |      u |        nan | nan |        SALT |     True |
|    59532.073287035 | 15.32692 |  0.05 |     AB |      g |        nan | nan |        SALT |     True |
|    59532.073287035 |  15.0324 |  0.05 |     AB |      r |        nan | nan |        SALT |     True |
|    59532.073287035 | 14.92161 |  0.05 |     AB |      i |        nan | nan |        SALT |     True |
|    59556.805376155 | 13.37564 |  0.05 |   Vega |      U |        nan | nan |        SALT |     True |
|    59556.805376155 | 13.50053 |  0.05 |   Vega |      B |        nan | nan |        SALT |     True |
|    59556.805376155 | 13.22467 |  0.05 |   Vega |      V |        nan | nan |        SALT |     True |
|    59556.805376155 | 13.13731 |  0.05 |   Vega |      R |        nan | nan |        SALT |     True |
|    59556.805376155 | 13.25689 |  0.05 |   Vega |      I |        nan | nan |        SALT |     True |
|    59556.805376155 | 14.28004 |  0.05 |     AB |      u |        nan | nan |        SALT |     True |
|    59556.805376155 | 13.35466 |  0.05 |     AB |      g |        nan | nan |        SALT |     True |
|    59556.805376155 |  13.3157 |  0.05 |     AB |      r |        nan | nan |        SALT |     True |
|    59556.805376155 | 13.67782 |  0.05 |     AB |      i |        nan | nan |        SALT |     True |
|  59529.87152777778 | 16.05362 |  0.05 |   Vega |      U |        nan | nan |        SALT |     True |
|  59529.87152777778 | 16.32185 |  0.05 |   Vega |      B |        nan | nan |        SALT |     True |
|  59529.87152777778 | 16.06938 |  0.05 |   Vega |      V |        nan | nan |        SALT |     True |
|  59529.87152777778 | 15.99399 |  0.05 |   Vega |      R |        nan | nan |        SALT |     True |
|  59529.87152777778 | 16.33192 |  0.05 |   Vega |      I |        nan | nan |        SALT |     True |
|  59529.87152777778 | 17.02819 |  0.05 |     AB |      u |        nan | nan |        SALT |     True |
|  59529.87152777778 | 16.15684 |  0.05 |     AB |      g |        nan | nan |        SALT |     True |
|  59529.87152777778 | 16.06134 |  0.05 |     AB |      r |        nan | nan |        SALT |     True |
|  59529.87152777778 |  16.6691 |  0.05 |     AB |      i |        nan | nan |        SALT |     True |
| 59567.672501423614 | 12.93448 |  0.05 |   Vega |      U |        nan | nan |        en12 |     True |
| 59567.672501423614 | 13.07662 |  0.05 |   Vega |      B |        nan | nan |        en12 |     True |
| 59567.672501423614 | 12.17798 |  0.05 |   Vega |      V |        nan | nan |        en12 |     True |
| 59567.672501423614 | 12.12879 |  0.05 |   Vega |      R |        nan | nan |        en12 |     True |
