,TNSName,DetDate,DetMag,RA,Dec,Separation[arcmin],reporter
0,AT 2016hqo,2016-10-19 06:59:02.000,19.98,22:26:22.336,-30:49:39.27,24.90908970564631,Pan-STARRS
1,AT 2020sxn,2020-09-09 09:36:00.000,19.03,22:26:32.782,-30:39:31.12,18.256437630635514,ATLAS
