,TNSName,DetDate,DetMag,RA,Dec,Separation[arcmin],reporter
0, 1917A,1917-07-19 00:00:00.000,14.6,20:34:46.900,+60:07:30.00,1.8590947983108914,
1, 1939C,1939-07-17 00:00:00.000,13,20:34:23.000,+60:09:37.00,3.6651949161823962,
2,SN 1948B,1948-07-06 00:00:00.000,14.9,20:35:21.500,+60:10:17.00,3.780768251453685,
3,SN 1968D,1968-02-29 00:00:00.000,13.5,20:34:58.409,+60:09:34.42,0.8327263801788196,
4, 1969P,1969-12-11 00:00:00.000,13.9,20:34:51.300,+60:06:15.00,2.9859305142534502,
5,SN 1980K,1980-10-28 00:00:00.000,11.4,20:35:30.070,+60:06:23.80,5.49195355279891,
6,SN 2002hh,2002-10-31 00:00:00.000,16.5,20:34:44.290,+60:07:18.98,2.160796797639545,
7,SN 2004et,2004-09-27 00:00:00.000,12.8,20:35:25.330,+60:07:17.69,4.5456123267433375,
8,SN 2008S,2008-02-01 00:00:00.000,17.6,20:34:45.350,+60:05:57.80,3.3825810774843257,
9,SN 2017eaw,2017-05-14 05:42:43.000,12.8,20:34:44.240,+60:11:35.84,2.5676676826633247,None
