,TNSName,DetDate,DetMag,RA,Dec,Separation[arcmin],reporter
0,AT 2016bqd,2016-03-31 08:24:22.000,20.63,10:30:13.948,+00:29:42.43,20.34873658247528,Pan-STARRS
1,AT 2018zh,2018-02-21 10:33:36.000,21.19,10:32:39.382,+00:10:59.82,23.76041225923317,Pan-STARRS
2,AT 2020hcj,2020-04-12 06:47:31.200,20.31,10:33:12.757,+00:31:37.55,24.582878432824284,Pan-STARRS
3,AT 2022fat,2022-03-23 07:07:58.944,21.18,10:30:36.419,+00:47:24.79,23.93340906005202,Pan-STARRS
4,AT 2022kk,2022-01-09 12:41:45.600,19.36,10:31:45.586,+00:23:18.64,5.822623133876917,Pan-STARRS
