,TNSName,DetDate,DetMag,RA,Dec,Separation[arcmin],reporter
0, 1963P,1963-09-18 00:00:00.000,14,02:46:02.100,-07:34:50.48,0.5591387441062301,
1,SN 1996an,1996-07-27 00:00:00.000,14,02:46:00.830,-07:34:20.32,0.4442722557721097,
2,SN 1998dl,1998-08-20 00:00:00.000,16,02:46:01.469,-07:34:25.10,0.4913026884443044,
3,SN 2008al,2008-02-13 00:00:00.000,17.6,02:46:07.229,-07:38:33.79,4.25228135731923,
4,SN 2009H,2009-01-02 00:00:00.000,17.4,02:45:58.361,-07:35:00.31,0.47701199623063845,
5,SN 2012ec,2012-08-11 00:00:00.000,14.5,02:45:59.880,-07:34:27.01,0.26820800022731345,
6,AT 2021ahge,2021-10-29 08:28:19.200,19.93,02:45:04.297,-07:21:36.81,19.018279790298596,Pan-STARRS
