,TNSName,DetDate,DetMag,RA,Dec,Separation[arcmin],reporter
0,SN 2011gz,2011-10-03 00:00:00.000,15.9,00:37:46.270,-33:39:51.41,3.3643924535562015,
1,AT 2018erf,2018-08-04 07:24:57.000,18.96,00:37:28.870,-33:44:42.43,2.9477383013716936,GaiaAlerts
2,SN 2021afdx,2021-11-23 07:23:31.200,18.796,00:37:42.580,-33:43:25.28,0.6244670924451107,ATLAS
