,TNSName,DetDate,DetMag,RA,Dec,Separation[arcmin],reporter
0,SN 1996aq,1996-08-17 00:00:00.000,15.7,14:22:22.730,-00:23:24.29,0.30034542559523514,
1,SN 2007af,2007-03-01 00:00:00.000,15.4,14:22:21.060,-00:23:37.72,0.7739770041223336,
2,AT 2012iq,2012-04-22 06:04:42.000,19.22,14:22:12.014,-00:07:50.08,15.698325691909298,None
3,AT 2016eli,2016-07-31 05:41:16.000,16.608,14:21:08.779,-00:22:38.24,18.758015380135983,iPTF
4,AT 2019knp,2019-07-03 07:42:14.000,20.93,14:23:00.231,-00:15:57.91,11.671437918962411,Pan-STARRS
5,AT 2020jgt,2020-04-29 11:51:21.600,19.94,14:23:20.533,-00:32:13.33,16.785531599396055,Pan-STARRS
6,AT 2021fxl,2021-03-15 12:54:43.200,20.3,14:22:21.596,-00:10:38.48,12.625724710887427,Pan-STARRS
7,AT 2021jdz,2021-03-22 06:54:14.096,22.1021,14:21:24.096,-00:33:54.72,18.333726845182934,DESIRT
8,AT 2021jxc,2021-04-09 05:10:53.788,21.8337,14:22:14.328,-00:04:43.68,18.677159730899753,DESIRT
9,AT 2021knv,2021-04-18 05:27:05.137,22.6105,14:22:58.584,-00:23:21.84,8.703478340327697,DESIRT
10,AT 2021mob,2021-05-12 05:35:40.704,21.9474,14:22:25.203,-00:46:17.13,23.03294484398102,DESIRT
