,TNSName,DetDate,DetMag,RA,Dec,Separation[arcmin],reporter
0,SN 2008da,2008-06-07 00:00:00.000,17.3,20:00:57.410,-47:04:02.71,0.2383361917864871,
1,AT 2020dfc,2020-02-22 02:02:24.000,17.79,19:59:45.670,-47:25:19.31,24.45029624615937,GaiaAlerts
