,TNSName,DetDate,DetMag,RA,Dec,Separation[arcmin],reporter
0, 1923A,1923-05-05 00:00:00.000,14,13:37:09.200,-29:49:36.00,2.95446729174946,
1, 1945B,1945-07-13 00:00:00.000,14.2,13:36:53.600,-29:54:56.00,3.382578985745497,
2, 1950B,1950-03-15 00:00:00.000,14.5,13:36:52.900,-29:51:56.00,1.737031605145745,
3, 1957D,,15,13:37:03.500,-29:49:41.00,2.3302489195761673,
4, 1968L,1968-07-17 00:00:00.000,11.9,13:37:00.511,-29:51:59.00,0.09501215042913078,
5,SN 1983N,1983-07-03 00:00:00.000,12.5,13:36:51.240,-29:54:02.70,2.967380677913122,
6,AT 2017jbf,2017-12-12 15:36:00.000,18.87,13:37:27.430,-30:02:26.45,11.964791312086103,GaiaAlerts
7,AT 2018eoq,2018-08-01 03:47:31.000,18.66,13:37:00.020,-29:51:52.43,0.20606470248536546,None
