|     obsdate |  UL5_4 | e_UL5_4 |    mag | e_mag | observatory | filter |                                                                                 image |
| 59577.56567 | 19.761 |   0.038 | 13.352 | 0.021 |        LSGT |      i | /data2/SN2021aefx_220627/LSGT/i/aligned/combined/NGC1566_LSGT_59577.5657_540.com.fits |
|   59578.575 |  19.34 |   0.039 | 13.368 | 0.022 |        LSGT |      i |  /data2/SN2021aefx_220627/LSGT/i/aligned/combined/NGC1566_LSGT_59578.575_540.com.fits |
|   59581.652 | 19.242 |   0.037 | 13.514 | 0.044 |        LSGT |      i |  /data2/SN2021aefx_220627/LSGT/i/aligned/combined/NGC1566_LSGT_59581.652_540.com.fits |
|   59592.466 |   18.1 |    0.04 | 14.177 | 0.036 |        LSGT |      i |  /data2/SN2021aefx_220627/LSGT/i/aligned/combined/NGC1566_LSGT_59592.466_540.com.fits |
|   59593.468 | 19.324 |   0.035 | 14.226 | 0.044 |        LSGT |      i |  /data2/SN2021aefx_220627/LSGT/i/aligned/combined/NGC1566_LSGT_59593.468_360.com.fits |
| 59599.52133 | 19.323 |   0.033 | 14.423 | 0.044 |        LSGT |      i | /data2/SN2021aefx_220627/LSGT/i/aligned/combined/NGC1566_LSGT_59599.5213_540.com.fits |
|   59600.511 | 18.341 |   0.039 | 14.484 | 0.047 |        LSGT |      i |  /data2/SN2021aefx_220627/LSGT/i/aligned/combined/NGC1566_LSGT_59600.511_180.com.fits |
| 59601.52033 | 19.101 |   0.039 | 14.514 | 0.044 |        LSGT |      i | /data2/SN2021aefx_220627/LSGT/i/aligned/combined/NGC1566_LSGT_59601.5203_540.com.fits |
|   59602.528 | 18.669 |   0.039 | 14.608 | 0.055 |        LSGT |      i |  /data2/SN2021aefx_220627/LSGT/i/aligned/combined/NGC1566_LSGT_59602.528_540.com.fits |
|   59617.469 | 19.393 |   0.038 | 15.159 | 0.036 |        LSGT |      i |  /data2/SN2021aefx_220627/LSGT/i/aligned/combined/NGC1566_LSGT_59617.469_540.com.fits |
|   59619.468 | 18.969 |   0.039 | 15.175 | 0.047 |        LSGT |      i |  /data2/SN2021aefx_220627/LSGT/i/aligned/combined/NGC1566_LSGT_59619.468_540.com.fits |
| 59620.45767 | 16.308 |   0.051 | 15.251 | 0.038 |        LSGT |      i | /data2/SN2021aefx_220627/LSGT/i/aligned/combined/NGC1566_LSGT_59620.4577_540.com.fits |
| 59622.45567 | 19.371 |   0.033 | 15.284 | 0.037 |        LSGT |      i | /data2/SN2021aefx_220627/LSGT/i/aligned/combined/NGC1566_LSGT_59622.4557_540.com.fits |
| 59623.45233 | 19.397 |   0.033 | 15.316 | 0.037 |        LSGT |      i | /data2/SN2021aefx_220627/LSGT/i/aligned/combined/NGC1566_LSGT_59623.4523_540.com.fits |
| 59626.54433 | 18.633 |   0.038 | 15.471 |  0.04 |        LSGT |      i | /data2/SN2021aefx_220627/LSGT/i/aligned/combined/NGC1566_LSGT_59626.5443_540.com.fits |
|   59652.521 |  18.76 |    0.04 | 16.285 | 0.035 |        LSGT |      i |  /data2/SN2021aefx_220627/LSGT/i/aligned/combined/NGC1566_LSGT_59652.521_360.com.fits |
|   59653.508 | 18.825 |    0.04 | 16.263 | 0.048 |        LSGT |      i |  /data2/SN2021aefx_220627/LSGT/i/aligned/combined/NGC1566_LSGT_59653.508_540.com.fits |
|   59658.463 | 18.573 |    0.04 | 16.386 | 0.054 |        LSGT |      i |  /data2/SN2021aefx_220627/LSGT/i/aligned/combined/NGC1566_LSGT_59658.463_540.com.fits |
| 59659.48467 | 18.885 |   0.039 | 16.494 | 0.032 |        LSGT |      i | /data2/SN2021aefx_220627/LSGT/i/aligned/combined/NGC1566_LSGT_59659.4847_540.com.fits |
|   59660.473 | 17.863 |    0.04 | 16.616 | 0.032 |        LSGT |      i |  /data2/SN2021aefx_220627/LSGT/i/aligned/combined/NGC1566_LSGT_59660.473_540.com.fits |
|   59670.419 | 19.454 |   0.035 | 16.739 | 0.047 |        LSGT |      i |  /data2/SN2021aefx_220627/LSGT/i/aligned/combined/NGC1566_LSGT_59670.419_540.com.fits |
