|     obsdate |  UL5_4 | e_UL5_4 |    mag | e_mag | observatory | filter |                                                                                           image |
| 59601.16956 | 19.011 |   0.043 | 14.104 | 0.049 |      RASA36 |      r |  /data2/SN2021aefx_220627/RASA36/r/HIGH/aligned/combined/NGC1566_RASA36_59601.1696_540.com.fits |
| 59603.16092 | 19.245 |   0.044 | 14.189 |  0.05 |      RASA36 |      r |  /data2/SN2021aefx_220627/RASA36/r/HIGH/aligned/combined/NGC1566_RASA36_59603.1609_720.com.fits |
| 59607.12975 |  19.38 |   0.043 | 14.299 |  0.05 |      RASA36 |      r |  /data2/SN2021aefx_220627/RASA36/r/HIGH/aligned/combined/NGC1566_RASA36_59607.1298_720.com.fits |
| 59611.17533 | 19.466 |   0.046 | 14.449 | 0.055 |      RASA36 |      r |  /data2/SN2021aefx_220627/RASA36/r/HIGH/aligned/combined/NGC1566_RASA36_59611.1753_720.com.fits |
| 59613.11833 | 19.439 |   0.045 | 14.488 | 0.053 |      RASA36 |      r |  /data2/SN2021aefx_220627/RASA36/r/HIGH/aligned/combined/NGC1566_RASA36_59613.1183_720.com.fits |
| 59614.13017 | 19.434 |   0.044 | 14.517 | 0.053 |      RASA36 |      r |  /data2/SN2021aefx_220627/RASA36/r/HIGH/aligned/combined/NGC1566_RASA36_59614.1302_720.com.fits |
| 59616.13145 | 19.487 |   0.046 | 14.584 | 0.055 |      RASA36 |      r |  /data2/SN2021aefx_220627/RASA36/r/HIGH/aligned/combined/NGC1566_RASA36_59616.1315_660.com.fits |
|   59617.089 | 19.427 |   0.046 | 14.612 | 0.055 |      RASA36 |      r |   /data2/SN2021aefx_220627/RASA36/r/HIGH/aligned/combined/NGC1566_RASA36_59617.089_660.com.fits |
|   59619.106 |   19.3 |   0.044 | 14.673 | 0.054 |      RASA36 |      r |   /data2/SN2021aefx_220627/RASA36/r/HIGH/aligned/combined/NGC1566_RASA36_59619.106_720.com.fits |
| 59620.12358 | 19.212 |   0.045 | 14.716 | 0.056 |      RASA36 |      r |  /data2/SN2021aefx_220627/RASA36/r/HIGH/aligned/combined/NGC1566_RASA36_59620.1236_720.com.fits |
