|     obsdate |  UL5_4 | e_UL5_4 |    mag | e_mag | observatory | filter |                                                                                 image |
| 59534.62733 | 19.427 |   0.019 | 13.686 |  0.03 |        LSGT |      g | /data2/SN2021aefx_220627/LSGT/g/aligned/combined/NGC1566_LSGT_59534.6273_540.com.fits |
| 59577.55233 | 20.646 |   0.018 | 13.998 | 0.029 |        LSGT |      g | /data2/SN2021aefx_220627/LSGT/g/aligned/combined/NGC1566_LSGT_59577.5523_540.com.fits |
|   59578.562 | 20.194 |   0.018 | 14.063 | 0.031 |        LSGT |      g |  /data2/SN2021aefx_220627/LSGT/g/aligned/combined/NGC1566_LSGT_59578.562_540.com.fits |
| 59581.63867 | 20.579 |    0.02 | 14.259 | 0.032 |        LSGT |      g | /data2/SN2021aefx_220627/LSGT/g/aligned/combined/NGC1566_LSGT_59581.6387_540.com.fits |
| 59592.45167 | 19.127 |    0.02 | 14.641 | 0.032 |        LSGT |      g | /data2/SN2021aefx_220627/LSGT/g/aligned/combined/NGC1566_LSGT_59592.4517_540.com.fits |
|   59593.456 | 19.754 |   0.021 | 14.675 | 0.034 |        LSGT |      g |  /data2/SN2021aefx_220627/LSGT/g/aligned/combined/NGC1566_LSGT_59593.456_540.com.fits |
| 59599.50767 | 19.428 |   0.019 | 14.788 | 0.034 |        LSGT |      g | /data2/SN2021aefx_220627/LSGT/g/aligned/combined/NGC1566_LSGT_59599.5077_540.com.fits |
| 59601.50733 | 19.488 |    0.02 | 14.806 | 0.033 |        LSGT |      g | /data2/SN2021aefx_220627/LSGT/g/aligned/combined/NGC1566_LSGT_59601.5073_540.com.fits |
|   59602.515 | 20.084 |    0.02 | 14.814 | 0.033 |        LSGT |      g |  /data2/SN2021aefx_220627/LSGT/g/aligned/combined/NGC1566_LSGT_59602.515_540.com.fits |
|   59617.456 | 20.404 |   0.019 | 15.049 | 0.035 |        LSGT |      g |  /data2/SN2021aefx_220627/LSGT/g/aligned/combined/NGC1566_LSGT_59617.456_540.com.fits |
| 59619.45467 |  20.11 |   0.022 | 15.091 | 0.041 |        LSGT |      g | /data2/SN2021aefx_220627/LSGT/g/aligned/combined/NGC1566_LSGT_59619.4547_540.com.fits |
|   59620.442 | 16.018 |   0.055 |  15.12 | 0.065 |        LSGT |      g |  /data2/SN2021aefx_220627/LSGT/g/aligned/combined/NGC1566_LSGT_59620.442_180.com.fits |
| 59622.44233 | 19.653 |   0.019 | 15.136 | 0.033 |        LSGT |      g | /data2/SN2021aefx_220627/LSGT/g/aligned/combined/NGC1566_LSGT_59622.4423_540.com.fits |
|   59623.439 | 19.397 |   0.019 | 15.127 | 0.034 |        LSGT |      g |  /data2/SN2021aefx_220627/LSGT/g/aligned/combined/NGC1566_LSGT_59623.439_540.com.fits |
| 59626.53133 |  18.33 |    0.02 | 15.195 | 0.037 |        LSGT |      g | /data2/SN2021aefx_220627/LSGT/g/aligned/combined/NGC1566_LSGT_59626.5313_540.com.fits |
|   59651.541 | 18.675 |    0.02 | 15.576 | 0.043 |        LSGT |      g |  /data2/SN2021aefx_220627/LSGT/g/aligned/combined/NGC1566_LSGT_59651.541_180.com.fits |
|   59652.509 | 18.817 |    0.02 | 15.574 | 0.041 |        LSGT |      g |  /data2/SN2021aefx_220627/LSGT/g/aligned/combined/NGC1566_LSGT_59652.509_540.com.fits |
| 59653.49467 | 18.501 |    0.02 | 15.591 | 0.039 |        LSGT |      g | /data2/SN2021aefx_220627/LSGT/g/aligned/combined/NGC1566_LSGT_59653.4947_540.com.fits |
|   59657.518 | 17.945 |   0.023 | 15.596 | 0.045 |        LSGT |      g |  /data2/SN2021aefx_220627/LSGT/g/aligned/combined/NGC1566_LSGT_59657.518_540.com.fits |
|    59658.45 | 18.498 |    0.02 | 15.681 |  0.04 |        LSGT |      g |   /data2/SN2021aefx_220627/LSGT/g/aligned/combined/NGC1566_LSGT_59658.45_540.com.fits |
| 59659.47133 | 18.862 |   0.019 | 15.703 | 0.038 |        LSGT |      g | /data2/SN2021aefx_220627/LSGT/g/aligned/combined/NGC1566_LSGT_59659.4713_540.com.fits |
|   59670.406 | 20.886 |   0.021 | 15.862 | 0.041 |        LSGT |      g |  /data2/SN2021aefx_220627/LSGT/g/aligned/combined/NGC1566_LSGT_59670.406_540.com.fits |
|  59693.3635 | 19.282 |   0.019 | 16.214 | 0.052 |        LSGT |      g | /data2/SN2021aefx_220627/LSGT/g/aligned/combined/NGC1566_LSGT_59693.3635_360.com.fits |
