|    obsdate |  UL5_4 | e_UL5_4 |    mag | e_mag | observatory | filter |                                                                                        image |
| 59521.3288 | 18.851 |   0.026 | 18.851 | 0.026 |         KCT |      r | /data2/SN2021aefx_220627/KCT_STX16803/r/aligned/combined/NGC1566_KCT_59521.3288_600.com.fits |
| 59522.3262 | 18.876 |   0.026 | 18.876 | 0.026 |         KCT |      r | /data2/SN2021aefx_220627/KCT_STX16803/r/aligned/combined/NGC1566_KCT_59522.3262_600.com.fits |
| 59523.3052 | 18.939 |   0.026 | 18.939 | 0.026 |         KCT |      r | /data2/SN2021aefx_220627/KCT_STX16803/r/aligned/combined/NGC1566_KCT_59523.3052_600.com.fits |
|  59524.272 |  18.81 |   0.026 |  18.81 | 0.026 |         KCT |      r |  /data2/SN2021aefx_220627/KCT_STX16803/r/aligned/combined/NGC1566_KCT_59524.272_600.com.fits |
| 59525.2718 | 18.843 |   0.026 | 18.843 | 0.026 |         KCT |      r | /data2/SN2021aefx_220627/KCT_STX16803/r/aligned/combined/NGC1566_KCT_59525.2718_600.com.fits |
| 59526.3268 | 18.814 |   0.026 | 18.814 | 0.026 |         KCT |      r | /data2/SN2021aefx_220627/KCT_STX16803/r/aligned/combined/NGC1566_KCT_59526.3268_600.com.fits |
| 59527.3132 | 18.957 |   0.025 | 18.957 | 0.025 |         KCT |      r | /data2/SN2021aefx_220627/KCT_STX16803/r/aligned/combined/NGC1566_KCT_59527.3132_600.com.fits |
| 59528.3102 | 18.857 |   0.026 | 18.857 | 0.026 |         KCT |      r | /data2/SN2021aefx_220627/KCT_STX16803/r/aligned/combined/NGC1566_KCT_59528.3102_600.com.fits |
| 59530.2512 | 18.487 |   0.027 |  16.11 | 0.039 |         KCT |      r | /data2/SN2021aefx_220627/KCT_STX16803/r/aligned/combined/NGC1566_KCT_59530.2512_600.com.fits |
| 59531.2462 | 18.494 |   0.027 | 15.502 | 0.033 |         KCT |      r | /data2/SN2021aefx_220627/KCT_STX16803/r/aligned/combined/NGC1566_KCT_59531.2462_600.com.fits |
| 59532.2532 | 18.547 |   0.026 | 14.885 | 0.029 |         KCT |      r | /data2/SN2021aefx_220627/KCT_STX16803/r/aligned/combined/NGC1566_KCT_59532.2532_600.com.fits |
| 59533.2384 | 18.623 |   0.026 | 14.373 | 0.028 |         KCT |      r | /data2/SN2021aefx_220627/KCT_STX16803/r/aligned/combined/NGC1566_KCT_59533.2384_600.com.fits |
| 59534.2382 | 18.511 |   0.027 | 13.933 | 0.028 |         KCT |      r | /data2/SN2021aefx_220627/KCT_STX16803/r/aligned/combined/NGC1566_KCT_59534.2382_600.com.fits |
|  59535.233 |  18.66 |   0.026 |  13.56 | 0.026 |         KCT |      r |  /data2/SN2021aefx_220627/KCT_STX16803/r/aligned/combined/NGC1566_KCT_59535.233_600.com.fits |
| 59536.2304 | 18.415 |   0.027 | 13.255 | 0.027 |         KCT |      r | /data2/SN2021aefx_220627/KCT_STX16803/r/aligned/combined/NGC1566_KCT_59536.2304_600.com.fits |
| 59537.2278 | 18.205 |   0.028 | 13.013 | 0.028 |         KCT |      r | /data2/SN2021aefx_220627/KCT_STX16803/r/aligned/combined/NGC1566_KCT_59537.2278_600.com.fits |
|  59538.272 | 18.332 |   0.028 | 12.794 | 0.028 |         KCT |      r |  /data2/SN2021aefx_220627/KCT_STX16803/r/aligned/combined/NGC1566_KCT_59538.272_600.com.fits |
| 59539.2822 | 18.488 |   0.026 | 12.633 | 0.027 |         KCT |      r | /data2/SN2021aefx_220627/KCT_STX16803/r/aligned/combined/NGC1566_KCT_59539.2822_600.com.fits |
| 59540.2274 | 18.426 |   0.027 | 12.505 | 0.027 |         KCT |      r | /data2/SN2021aefx_220627/KCT_STX16803/r/aligned/combined/NGC1566_KCT_59540.2274_600.com.fits |
|  59541.283 | 18.237 |   0.029 | 12.415 | 0.029 |         KCT |      r |  /data2/SN2021aefx_220627/KCT_STX16803/r/aligned/combined/NGC1566_KCT_59541.283_600.com.fits |
| 59542.2284 |  18.57 |   0.026 | 12.308 | 0.026 |         KCT |      r | /data2/SN2021aefx_220627/KCT_STX16803/r/aligned/combined/NGC1566_KCT_59542.2284_600.com.fits |
| 59543.2672 | 18.661 |   0.026 | 12.238 | 0.026 |         KCT |      r | /data2/SN2021aefx_220627/KCT_STX16803/r/aligned/combined/NGC1566_KCT_59543.2672_600.com.fits |
| 59544.2206 | 18.688 |   0.026 | 12.186 | 0.027 |         KCT |      r | /data2/SN2021aefx_220627/KCT_STX16803/r/aligned/combined/NGC1566_KCT_59544.2206_600.com.fits |
| 59545.2112 | 18.731 |   0.026 | 12.137 | 0.026 |         KCT |      r | /data2/SN2021aefx_220627/KCT_STX16803/r/aligned/combined/NGC1566_KCT_59545.2112_600.com.fits |
| 59546.2118 |  18.76 |   0.026 | 12.101 | 0.026 |         KCT |      r | /data2/SN2021aefx_220627/KCT_STX16803/r/aligned/combined/NGC1566_KCT_59546.2118_600.com.fits |
| 59547.2122 |  18.74 |   0.026 | 12.072 | 0.026 |         KCT |      r | /data2/SN2021aefx_220627/KCT_STX16803/r/aligned/combined/NGC1566_KCT_59547.2122_600.com.fits |
| 59548.2134 | 18.773 |   0.026 | 12.064 | 0.026 |         KCT |      r | /data2/SN2021aefx_220627/KCT_STX16803/r/aligned/combined/NGC1566_KCT_59548.2134_600.com.fits |
| 59549.1968 | 18.766 |   0.026 | 12.056 | 0.026 |         KCT |      r | /data2/SN2021aefx_220627/KCT_STX16803/r/aligned/combined/NGC1566_KCT_59549.1968_600.com.fits |
| 59550.1974 | 18.624 |   0.026 | 12.063 | 0.026 |         KCT |      r | /data2/SN2021aefx_220627/KCT_STX16803/r/aligned/combined/NGC1566_KCT_59550.1974_600.com.fits |
| 59551.1806 |  18.64 |   0.026 | 12.083 | 0.026 |         KCT |      r | /data2/SN2021aefx_220627/KCT_STX16803/r/aligned/combined/NGC1566_KCT_59551.1806_600.com.fits |
| 59552.1986 | 18.434 |   0.027 | 12.115 | 0.027 |         KCT |      r | /data2/SN2021aefx_220627/KCT_STX16803/r/aligned/combined/NGC1566_KCT_59552.1986_600.com.fits |
| 59553.1976 | 18.939 |   0.025 | 12.164 | 0.026 |         KCT |      r | /data2/SN2021aefx_220627/KCT_STX16803/r/aligned/combined/NGC1566_KCT_59553.1976_600.com.fits |
| 59554.1814 | 18.629 |   0.026 |  12.21 | 0.026 |         KCT |      r | /data2/SN2021aefx_220627/KCT_STX16803/r/aligned/combined/NGC1566_KCT_59554.1814_600.com.fits |
| 59555.1828 | 18.697 |   0.026 | 12.267 | 0.026 |         KCT |      r | /data2/SN2021aefx_220627/KCT_STX16803/r/aligned/combined/NGC1566_KCT_59555.1828_600.com.fits |
| 59556.1832 | 18.565 |   0.027 | 12.346 | 0.027 |         KCT |      r | /data2/SN2021aefx_220627/KCT_STX16803/r/aligned/combined/NGC1566_KCT_59556.1832_600.com.fits |
|  59557.184 | 18.636 |   0.026 | 12.418 | 0.026 |         KCT |      r |  /data2/SN2021aefx_220627/KCT_STX16803/r/aligned/combined/NGC1566_KCT_59557.184_600.com.fits |
|  59558.184 |  18.55 |   0.026 | 12.508 | 0.026 |         KCT |      r |  /data2/SN2021aefx_220627/KCT_STX16803/r/aligned/combined/NGC1566_KCT_59558.184_600.com.fits |
| 59564.1432 | 18.577 |   0.026 | 12.867 | 0.027 |         KCT |      r | /data2/SN2021aefx_220627/KCT_STX16803/r/aligned/combined/NGC1566_KCT_59564.1432_600.com.fits |
|  59565.154 | 18.547 |   0.026 | 12.881 | 0.027 |         KCT |      r |  /data2/SN2021aefx_220627/KCT_STX16803/r/aligned/combined/NGC1566_KCT_59565.154_600.com.fits |
| 59566.2008 | 18.374 |   0.027 |  12.91 | 0.028 |         KCT |      r | /data2/SN2021aefx_220627/KCT_STX16803/r/aligned/combined/NGC1566_KCT_59566.2008_600.com.fits |
| 59615.1266 | 18.598 |   0.027 | 14.656 | 0.029 |         KCT |      r | /data2/SN2021aefx_220627/KCT_STX16803/r/aligned/combined/NGC1566_KCT_59615.1266_600.com.fits |
| 59616.2032 | 18.635 |   0.027 | 14.681 | 0.029 |         KCT |      r | /data2/SN2021aefx_220627/KCT_STX16803/r/aligned/combined/NGC1566_KCT_59616.2032_600.com.fits |
| 59617.2056 | 18.495 |   0.029 | 14.742 | 0.031 |         KCT |      r | /data2/SN2021aefx_220627/KCT_STX16803/r/aligned/combined/NGC1566_KCT_59617.2056_600.com.fits |
| 59618.1246 | 18.612 |   0.027 | 14.745 | 0.029 |         KCT |      r | /data2/SN2021aefx_220627/KCT_STX16803/r/aligned/combined/NGC1566_KCT_59618.1246_600.com.fits |
| 59619.1866 |   18.6 |   0.027 | 14.784 |  0.03 |         KCT |      r | /data2/SN2021aefx_220627/KCT_STX16803/r/aligned/combined/NGC1566_KCT_59619.1866_600.com.fits |
| 59620.1832 | 18.456 |   0.028 | 14.839 | 0.031 |         KCT |      r | /data2/SN2021aefx_220627/KCT_STX16803/r/aligned/combined/NGC1566_KCT_59620.1832_600.com.fits |
| 59621.1824 | 18.228 |    0.03 | 14.871 | 0.033 |         KCT |      r | /data2/SN2021aefx_220627/KCT_STX16803/r/aligned/combined/NGC1566_KCT_59621.1824_600.com.fits |
| 59623.1775 | 17.864 |   0.032 | 14.917 | 0.036 |         KCT |      r | /data2/SN2021aefx_220627/KCT_STX16803/r/aligned/combined/NGC1566_KCT_59623.1775_480.com.fits |
