|     obsdate |  UL5_4 | e_UL5_4 |    mag | e_mag | observatory | filter |                                                                                 image |
| 59526.75133 | 19.343 |   0.025 | 19.343 | 0.035 |        LSGT |      r | /data2/SN2021aefx_220627/LSGT/r/aligned/combined/NGC1566_LSGT_59526.7513_540.com.fits |
|     59533.7 | 19.011 |   0.025 | 14.119 | 0.039 |        LSGT |      r |    /data2/SN2021aefx_220627/LSGT/r/aligned/combined/NGC1566_LSGT_59533.7_540.com.fits |
|   59534.634 | 19.328 |   0.025 |  13.74 | 0.037 |        LSGT |      r |  /data2/SN2021aefx_220627/LSGT/r/aligned/combined/NGC1566_LSGT_59534.634_540.com.fits |
|   59577.559 | 20.253 |   0.025 | 13.093 | 0.036 |        LSGT |      r |  /data2/SN2021aefx_220627/LSGT/r/aligned/combined/NGC1566_LSGT_59577.559_540.com.fits |
| 59578.56833 | 19.533 |   0.025 | 13.136 | 0.036 |        LSGT |      r | /data2/SN2021aefx_220627/LSGT/r/aligned/combined/NGC1566_LSGT_59578.5683_540.com.fits |
|   59581.645 | 20.018 |   0.025 | 13.325 | 0.036 |        LSGT |      r |  /data2/SN2021aefx_220627/LSGT/r/aligned/combined/NGC1566_LSGT_59581.645_540.com.fits |
|   59592.459 | 18.827 |   0.025 | 13.896 | 0.037 |        LSGT |      r |  /data2/SN2021aefx_220627/LSGT/r/aligned/combined/NGC1566_LSGT_59592.459_540.com.fits |
| 59593.46267 |  19.72 |   0.026 | 13.933 | 0.039 |        LSGT |      r | /data2/SN2021aefx_220627/LSGT/r/aligned/combined/NGC1566_LSGT_59593.4627_540.com.fits |
| 59599.51467 | 19.688 |   0.025 |  14.13 | 0.039 |        LSGT |      r | /data2/SN2021aefx_220627/LSGT/r/aligned/combined/NGC1566_LSGT_59599.5147_540.com.fits |
|   59600.508 | 18.841 |   0.024 | 14.158 | 0.033 |        LSGT |      r |  /data2/SN2021aefx_220627/LSGT/r/aligned/combined/NGC1566_LSGT_59600.508_180.com.fits |
|   59601.514 | 19.404 |   0.024 | 14.192 | 0.036 |        LSGT |      r |  /data2/SN2021aefx_220627/LSGT/r/aligned/combined/NGC1566_LSGT_59601.514_540.com.fits |
| 59602.52167 | 17.991 |   0.026 | 14.232 | 0.048 |        LSGT |      r | /data2/SN2021aefx_220627/LSGT/r/aligned/combined/NGC1566_LSGT_59602.5217_540.com.fits |
| 59617.46267 | 20.072 |   0.025 | 14.716 | 0.038 |        LSGT |      r | /data2/SN2021aefx_220627/LSGT/r/aligned/combined/NGC1566_LSGT_59617.4627_540.com.fits |
|   59619.461 | 17.658 |   0.027 | 14.779 | 0.041 |        LSGT |      r |  /data2/SN2021aefx_220627/LSGT/r/aligned/combined/NGC1566_LSGT_59619.461_540.com.fits |
|   59622.449 | 19.723 |   0.025 | 14.866 | 0.036 |        LSGT |      r |  /data2/SN2021aefx_220627/LSGT/r/aligned/combined/NGC1566_LSGT_59622.449_540.com.fits |
|   59623.446 | 19.655 |   0.025 | 14.892 | 0.042 |        LSGT |      r |  /data2/SN2021aefx_220627/LSGT/r/aligned/combined/NGC1566_LSGT_59623.446_540.com.fits |
|   59626.538 | 18.779 |   0.026 | 15.021 | 0.041 |        LSGT |      r |  /data2/SN2021aefx_220627/LSGT/r/aligned/combined/NGC1566_LSGT_59626.538_540.com.fits |
| 59652.51533 | 18.942 |   0.025 | 15.786 | 0.048 |        LSGT |      r | /data2/SN2021aefx_220627/LSGT/r/aligned/combined/NGC1566_LSGT_59652.5153_540.com.fits |
|   59653.501 | 18.938 |   0.025 | 15.849 | 0.049 |        LSGT |      r |  /data2/SN2021aefx_220627/LSGT/r/aligned/combined/NGC1566_LSGT_59653.501_540.com.fits |
|   59657.524 | 18.404 |   0.025 | 15.928 | 0.052 |        LSGT |      r |  /data2/SN2021aefx_220627/LSGT/r/aligned/combined/NGC1566_LSGT_59657.524_360.com.fits |
|   59658.457 | 18.699 |   0.026 | 15.981 | 0.053 |        LSGT |      r |  /data2/SN2021aefx_220627/LSGT/r/aligned/combined/NGC1566_LSGT_59658.457_540.com.fits |
|   59659.478 | 19.111 |   0.025 | 15.977 | 0.046 |        LSGT |      r |  /data2/SN2021aefx_220627/LSGT/r/aligned/combined/NGC1566_LSGT_59659.478_540.com.fits |
|   59660.466 | 18.684 |   0.025 |  16.11 | 0.051 |        LSGT |      r |  /data2/SN2021aefx_220627/LSGT/r/aligned/combined/NGC1566_LSGT_59660.466_540.com.fits |
|   59670.412 |  19.79 |   0.025 | 16.311 | 0.044 |        LSGT |      r |  /data2/SN2021aefx_220627/LSGT/r/aligned/combined/NGC1566_LSGT_59670.412_540.com.fits |
