|        obj |   ra_hms |   dec_dms | filter | exptime | count | binning |                 weight |     note | scheduled |     name |       ra |      dec |                d_L |               prob_vol | stmass |      prob_vol_x_stmass | rank | confidence |                                                  mainTarget |                                                                          FixedTarget |                               id |                    rise |                    transit |                     set | maxalt | moonsep |
| MS181101ab | 13:09:47 | -23:23:01 |      r |     180 |     3 |       1 |                    1.0 |  1151336 |      True |  1151336 | 197.4488 | -23.3838 |           41.00982 |  0.0034103917136311737 |    2.2 |                    1.0 |    0 |        0.5 | Target[name=MS181101ab, ra[deg]=197.4488, dec[deg]=-23.3838 | <FixedTarget "MS181101ab" at SkyCoord (ICRS): (ra, dec) in deg (197.4488, -23.3838)> | 3b1db3be87aa4f6996f5ec5fc07a3bd0 | 2023-04-26T08:25:59.681 | 2023-04-26 12:47:45.441267 | 2023-04-26T17:29:23.098 |   81.9 |      95 |
| MS181101ab | 13:07:33 | -24:00:30 |      r |     180 |     3 |       1 |     0.6085186466728523 |  1151235 |      True |  1151235 | 196.8906 | -24.0086 |          47.736632 |  0.0013045059575642586 |    3.5 |     0.6085186466728523 |    1 |        0.5 | Target[name=MS181101ab, ra[deg]=196.8906, dec[deg]=-24.0086 | <FixedTarget "MS181101ab" at SkyCoord (ICRS): (ra, dec) in deg (196.8906, -24.0086)> | f7e661278b274fc6ab8a58a6c9a09f9c | 2023-04-26T08:22:33.821 | 2023-04-26 12:46:43.852223 | 2023-04-26T17:28:21.704 |   82.6 |      95 |
| MS181101ab | 13:07:05 | -23:40:37 |      r |     180 |     3 |       1 |    0.47172028439399605 |  1151925 |      True |  1151925 | 196.7749 |  -23.677 |           41.62172 |  0.0027226465306364306 |    1.3 |    0.47172028439399605 |    2 |        0.9 |  Target[name=MS181101ab, ra[deg]=196.7749, dec[deg]=-23.677 |  <FixedTarget "MS181101ab" at SkyCoord (ICRS): (ra, dec) in deg (196.7749, -23.677)> | e0a28f1b718948d48464bcee335eab80 | 2023-04-26T08:22:44.296 | 2023-04-26 12:46:19.085711 | 2023-04-26T17:27:15.973 |   82.3 |      95 |
| MS181101ab | 13:08:04 | -23:47:48 |      r |     180 |     3 |       1 |     0.4120000209367641 |  1261378 |      True |  1261378 |  197.018 | -23.7968 |          32.562444 |    0.00257615718393637 |    1.2 |     0.4120000209367641 |    3 |        0.9 |  Target[name=MS181101ab, ra[deg]=197.018, dec[deg]=-23.7968 |  <FixedTarget "MS181101ab" at SkyCoord (ICRS): (ra, dec) in deg (197.018, -23.7968)> | 567b9b8b7c5649568576fb5d8981b95d | 2023-04-26T08:23:28.713 | 2023-04-26 12:46:55.858193 | 2023-04-26T17:28:27.818 |   82.4 |      95 |
| MS181101ab | 12:57:27 | -19:41:28 |      r |     180 |     3 |       1 |     0.3666859663343284 |  1151111 |      True |  1151111 | 194.3663 | -19.6913 |          49.459035 |  0.0008092410923136415 |    3.4 |     0.3666859663343284 |    4 |        0.9 | Target[name=MS181101ab, ra[deg]=194.3663, dec[deg]=-19.6913 | <FixedTarget "MS181101ab" at SkyCoord (ICRS): (ra, dec) in deg (194.3663, -19.6913)> | 0e1a5654a832405dbae61a36bb991dcc | 2023-04-26T08:21:00.887 | 2023-04-26 12:38:31.513232 | 2023-04-26T17:09:46.791 |   78.4 |      91 |
| MS181101ab | 13:06:56 | -23:55:01 |      r |     180 |     3 |       1 |     0.2973514050553863 |  1151752 |      True |  1151752 | 196.7355 | -23.9171 |          41.619489 |  0.0020283970928404445 |    1.1 |     0.2973514050553863 |    5 |        0.9 | Target[name=MS181101ab, ra[deg]=196.7355, dec[deg]=-23.9171 | <FixedTarget "MS181101ab" at SkyCoord (ICRS): (ra, dec) in deg (196.7355, -23.9171)> | b6eca652c5dc4738bf6a21df47c4d84b | 2023-04-26T08:22:07.189 | 2023-04-26 12:46:20.073152 | 2023-04-26T17:27:34.169 |   82.5 |      95 |
| MS181101ab | 12:51:18 | -14:34:24 |      r |     180 |     3 |       1 |    0.11368327318682198 |  1261457 |      True |  1261457 | 192.8274 | -14.5736 |          52.342726 |  0.0003160243077313784 |    2.7 |    0.11368327318682198 |    6 |        0.9 | Target[name=MS181101ab, ra[deg]=192.8274, dec[deg]=-14.5736 | <FixedTarget "MS181101ab" at SkyCoord (ICRS): (ra, dec) in deg (192.8274, -14.5736)> | 9a3cb69bb3964090b47e7b3ac71ed19f | 2023-04-26T08:25:43.845 | 2023-04-26 12:32:18.733761 | 2023-04-26T16:52:45.006 |   73.4 |      87 |
| MS181101ab | 13:05:04 | -22:23:02 |      r |     180 |     3 |       1 |    0.09705845223690422 |  1159426 |      True |  1159426 | 196.2706 | -22.3839 |           35.06111 |   0.004856918688073823 |   0.15 |    0.09705845223690422 |    7 |        0.9 | Target[name=MS181101ab, ra[deg]=196.2706, dec[deg]=-22.3839 | <FixedTarget "MS181101ab" at SkyCoord (ICRS): (ra, dec) in deg (196.2706, -22.3839)> | 8c36d1f92e744a56a5e99a1d4114173c | 2023-04-26T08:23:14.150 | 2023-04-26 12:44:32.990209 | 2023-04-26T17:22:45.096 |   81.0 |      94 |
| MS181101ab | 13:07:37 | -23:34:44 |      r |     180 |     3 |       1 |    0.09336503240283517 |  1159936 |      True |  1159936 | 196.9072 | -23.5789 |          46.073292 |  0.0023360930032965857 |    0.3 |    0.09336503240283517 |    8 |        0.9 | Target[name=MS181101ab, ra[deg]=196.9072, dec[deg]=-23.5789 | <FixedTarget "MS181101ab" at SkyCoord (ICRS): (ra, dec) in deg (196.9072, -23.5789)> | 72e42c50bae5474187d89eb556a6258a | 2023-04-26T08:23:27.323 | 2023-04-26 12:46:34.879791 | 2023-04-26T17:27:36.267 |   82.2 |      95 |
| MS181101ab | 13:16:23 | -26:33:41 |      r |     180 |     3 |       1 |    0.05443880870394546 |  1156123 |      True |  1156123 | 199.0968 | -26.5616 |          46.961349 |  0.0005839767442587696 |    0.7 |    0.05443880870394546 |    9 |       0.95 | Target[name=MS181101ab, ra[deg]=199.0968, dec[deg]=-26.5616 | <FixedTarget "MS181101ab" at SkyCoord (ICRS): (ra, dec) in deg (199.0968, -26.5616)> | 7691e7f6335d46709d4069132a49e4d1 | 2023-04-26T08:26:33.910 | 2023-04-26 12:52:31.253276 | 2023-04-26T17:41:55.052 |   84.7 |      98 |
