|        obj |   ra_hms |   dec_dms | filter | exptime | count | binning |                 weight |  note | scheduled |   #id |       ra |      dec |                ra1 |                dec1 |                ra2 |                dec2 |                ra3 |                dec3 |                ra4 |                dec4 | n_hostgalaxy |      prob_vol_x_stmass | rank | confidence |                                                  mainTarget |                                                                          FixedTarget |                               id |                    rise |                    transit |                     set | maxalt | moonsep |
| MS181101ab | 13:08:53 | -23:23:31 |    g,r | 120,120 |   5,5 |     1,1 |     1.5454195927544083 | 20029 |      True | 20029 | 197.2249 | -23.3921 | 197.67238181878525 | -22.979431705267228 | 197.67517445074859 | -23.803427718976764 |  196.7745863148016 | -23.803427718976764 | 196.77737894676497 | -22.979431705267228 |            6 |     1.5454195927544083 |    0 |        0.5 | Target[name=MS181101ab, ra[deg]=197.2249, dec[deg]=-23.3921 | <FixedTarget "MS181101ab" at SkyCoord (ICRS): (ra, dec) in deg (197.2249, -23.3921)> | 83312efb4a7b41c5bd253de42dddaf3f | 2023-04-28T22:55:10.358 | 2023-04-29 03:21:05.803353 | 2023-04-29T07:57:16.083 |   82.9 |      65 |
| MS181101ab | 13:09:13 | -24:11:06 |    g,r | 120,120 |   5,5 |     1,1 |     1.1611924266607776 | 19612 |      True | 19612 | 197.3077 |  -24.185 | 197.75787875469615 |  -23.77235891711498 | 197.76079583964128 | -24.596354620359204 | 196.85458877574334 | -24.596354620359204 | 196.85750586068846 |  -23.77235891711498 |           11 |     1.1611924266607776 |    1 |        0.9 |  Target[name=MS181101ab, ra[deg]=197.3077, dec[deg]=-24.185 |  <FixedTarget "MS181101ab" at SkyCoord (ICRS): (ra, dec) in deg (197.3077, -24.185)> | 850f6558d70940e9850ad8e6082686d9 | 2023-04-28T22:54:02.756 | 2023-04-29 03:21:45.548099 | 2023-04-29T07:59:03.449 |   83.7 |      66 |
| MS181101ab | 13:05:46 | -24:11:06 |    g,r | 120,120 |   5,5 |     1,1 |     0.9231316377945018 | 19611 |      True | 19611 | 196.4423 |  -24.185 | 196.89249413931154 |  -23.77235891711498 | 196.89541122425666 | -24.596354620359204 | 195.98920416035872 | -24.596354620359204 | 195.99212124530382 |  -23.77235891711498 |            6 |     0.9231316377945018 |    2 |        0.9 |  Target[name=MS181101ab, ra[deg]=196.4423, dec[deg]=-24.185 |  <FixedTarget "MS181101ab" at SkyCoord (ICRS): (ra, dec) in deg (196.4423, -24.185)> | 8cdc1945841f4ff0999d358acc3185b7 | 2023-04-28T22:50:35.574 | 2023-04-29 03:19:39.825304 | 2023-04-29T07:55:36.615 |   83.7 |      65 |
| MS181101ab | 13:05:27 | -23:23:31 |    g,r | 120,120 |   5,5 |     1,1 |    0.47431398085765475 | 20028 |      True | 20028 | 196.3636 | -23.3921 |  196.8111377996465 | -22.979431705267228 | 196.81393043160983 | -23.803427718976764 |  195.9133422956629 | -23.803427718976764 | 195.91613492762622 | -22.979431705267228 |            3 |    0.47431398085765475 |    3 |        0.9 | Target[name=MS181101ab, ra[deg]=196.3636, dec[deg]=-23.3921 | <FixedTarget "MS181101ab" at SkyCoord (ICRS): (ra, dec) in deg (196.3636, -23.3921)> | c3c2ee8b2577415c89b3cb1d1ed61eaf | 2023-04-28T22:51:44.105 | 2023-04-29 03:18:58.198936 | 2023-04-29T07:53:50.178 |   82.9 |      65 |
| MS181101ab | 12:58:44 | -19:25:38 |    g,r | 120,120 |   5,5 |     1,1 |     0.3831114071765747 | 22145 |      True | 22145 | 194.6853 | -19.4273 |  195.1210823374492 |   -19.0147916595889 | 195.12329828390196 |  -19.83878900964271 | 194.24733108672746 | -19.838789009642714 |  194.2495470331802 |   -19.0147916595889 |            3 |     0.3831114071765747 |    4 |       0.95 | Target[name=MS181101ab, ra[deg]=194.6853, dec[deg]=-19.4273 | <FixedTarget "MS181101ab" at SkyCoord (ICRS): (ra, dec) in deg (194.6853, -19.4273)> | b455049182b444ecbb30882d832a0087 | 2023-04-28T22:52:35.785 | 2023-04-29 03:12:12.973333 | 2023-04-29T07:39:34.025 |   79.0 |      61 |
| MS181101ab | 13:05:08 | -22:35:56 |    g,r | 120,120 |   5,5 |     1,1 |    0.15253580737839464 | 20447 |      True | 20447 | 196.2857 | -22.5991 |  196.7306472583723 | -22.186504209500654 | 196.73331871316103 | -23.010500518546074 | 195.83810985826761 | -23.010500518546074 | 195.84078131305634 | -22.186504209500654 |            4 |    0.15253580737839464 |    5 |       0.95 | Target[name=MS181101ab, ra[deg]=196.2857, dec[deg]=-22.5991 | <FixedTarget "MS181101ab" at SkyCoord (ICRS): (ra, dec) in deg (196.2857, -22.5991)> | 91b8df02db0d4b8485bb881b7666f2ca | 2023-04-28T22:52:53.936 | 2023-04-29 03:18:17.659385 | 2023-04-29T07:52:02.864 |   82.1 |      64 |
| MS181101ab | 12:52:21 | -14:40:10 |    g,r | 120,120 |   5,5 |     1,1 |    0.11368327318682198 | 24752 |      True | 24752 | 193.0909 | -14.6696 |  193.5159912416909 | -14.257216483938354 | 193.51759460455585 | -15.081215024070618 |  192.6642235772623 | -15.081215024070618 | 192.66582694012726 | -14.257216483938354 |            1 |    0.11368327318682198 |    6 |        1.0 | Target[name=MS181101ab, ra[deg]=193.0909, dec[deg]=-14.6696 | <FixedTarget "MS181101ab" at SkyCoord (ICRS): (ra, dec) in deg (193.0909, -14.6696)> | 67d3ef48d0ed45f8a52c21a2aa9ec209 | 2023-04-28T22:55:57.900 | 2023-04-29 03:05:35.158995 | 2023-04-29T07:23:26.655 |   74.2 |      57 |
| MS181101ab | 13:17:38 | -26:33:49 |    g,r | 120,120 |   5,5 |     1,1 |    0.05537797705793462 | 18379 |      True | 18379 | 199.4118 | -26.5639 | 199.87073790570793 | -26.151138700674466 | 199.87405000875538 |  -26.97513337538425 | 198.94947940300932 |  -26.97513337538425 | 198.95279150605677 | -26.151138700674466 |            3 |    0.05537797705793462 |    7 |        1.0 | Target[name=MS181101ab, ra[deg]=199.4118, dec[deg]=-26.5639 | <FixedTarget "MS181101ab" at SkyCoord (ICRS): (ra, dec) in deg (199.4118, -26.5639)> | 136eee8dfaa4455d99a00f6c0e7c66cb | 2023-04-28T22:58:10.188 | 2023-04-29 03:27:37.475983 | 2023-04-29T08:11:42.225 |   85.8 |      69 |
| MS181101ab | 12:52:36 | -15:27:45 |    g,r | 120,120 |   5,5 |     1,1 |   0.052243622945815874 | 24313 |      True | 24313 | 193.1507 | -15.4626 |  193.5773081681952 |  -15.05014612433696 |  193.5790087649815 | -15.874144494227743 | 192.72236109803228 | -15.874144494227744 | 192.72406169481854 |  -15.05014612433696 |            2 |   0.052243622945815874 |    8 |        1.0 | Target[name=MS181101ab, ra[deg]=193.1507, dec[deg]=-15.4626 | <FixedTarget "MS181101ab" at SkyCoord (ICRS): (ra, dec) in deg (193.1507, -15.4626)> | 0a191dd184e245f4a6fa36e83c8e564f | 2023-04-28T22:54:31.689 | 2023-04-29 03:06:02.415415 | 2023-04-29T07:25:21.888 |   75.0 |      58 |
| MS181101ab | 12:49:05 | -14:40:10 |    g,r | 120,120 |   5,5 |     1,1 |   0.023584453491027602 | 24751 |     False | 24751 | 192.2727 | -14.6696 | 192.69780942350909 | -14.257216483938352 | 192.69941278637404 | -15.081215024070618 |  191.8460417590805 | -15.081215024070618 | 191.84764512194545 | -14.257216483938352 |            2 |   0.023584453491027602 |    9 |        1.0 | Target[name=MS181101ab, ra[deg]=192.2727, dec[deg]=-14.6696 | <FixedTarget "MS181101ab" at SkyCoord (ICRS): (ra, dec) in deg (192.2727, -14.6696)> | e1128c81caa6452488a3f3bdf6eb9467 | 2023-04-28T22:52:41.951 | 2023-04-29 03:03:08.387311 | 2023-04-29T07:20:10.852 |   74.2 |      56 |
