|        obj |   ra_hms |   dec_dms | filter | exptime | count | binning |                 weight |     note | scheduled |     name |       ra |      dec |                d_L |               prob_vol | stmass |      prob_vol_x_stmass | rank | confidence |                                                  mainTarget |                                                                          FixedTarget |                               id |                    rise |                    transit |                     set | maxalt | moonsep |
| MS181101ab | 12:52:25 | -15:31:01 |    V,R | 120,120 |   5,5 |     1,1 |    0.05207461830980104 |  1324700 |      True |  1324700 |  193.107 | -15.5172 |          51.183587 |  0.0007820927242673262 |    0.5 |    0.05207461830980104 |   10 |       0.95 |  Target[name=MS181101ab, ra[deg]=193.107, dec[deg]=-15.5172 |  <FixedTarget "MS181101ab" at SkyCoord (ICRS): (ra, dec) in deg (193.107, -15.5172)> | de2e8c65ad3d495780884e564f3a2aed | 2023-04-26T12:14:21.734 | 2023-04-26 13:56:22.642834 | 2023-04-26T16:02:26.974 |   36.8 |      87 |
| MS181101ab | 13:06:39 | -22:27:20 |    V,R | 120,120 |   5,5 |     1,1 |   0.051856931934272904 |  1171562 |     False |  1171562 | 196.6664 | -22.4558 |          45.130965 |  0.0038941316305977046 |    0.1 |   0.051856931934272904 |   11 |       0.95 | Target[name=MS181101ab, ra[deg]=196.6664, dec[deg]=-22.4558 | <FixedTarget "MS181101ab" at SkyCoord (ICRS): (ra, dec) in deg (196.6664, -22.4558)> | c093381ed1a14f18bd10aa2e4d85df22 |                         | 2023-04-26 14:06:28.862076 |                         |   29.8 |      93 |
| MS181101ab | 13:10:45 | -23:51:56 |    V,R | 120,120 |   5,5 |     1,1 |   0.042512674465920795 |  1164528 |     False |  1164528 | 197.6914 | -23.8657 |          40.152044 |   0.002902798416010435 |   0.11 |   0.042512674465920795 |   12 |       0.95 | Target[name=MS181101ab, ra[deg]=197.6914, dec[deg]=-23.8657 | <FixedTarget "MS181101ab" at SkyCoord (ICRS): (ra, dec) in deg (197.6914, -23.8657)> | e625d06d5c704f489052cc4fef6eb9f4 |                         | 2023-04-26 14:09:40.871375 |                         |   28.4 |      94 |
| MS181101ab | 13:10:45 | -23:51:56 |    V,R | 120,120 |   5,5 |     1,1 |   0.027770946592655218 |  1330001 |     False |  1330001 |  197.691 | -23.8656 |          32.036737 |  0.0020870792366125632 |    0.1 |   0.027770946592655218 |   13 |        1.0 |  Target[name=MS181101ab, ra[deg]=197.691, dec[deg]=-23.8656 |  <FixedTarget "MS181101ab" at SkyCoord (ICRS): (ra, dec) in deg (197.691, -23.8656)> | c21510f85b134829934dd0cfff3b2dd3 |                         | 2023-04-26 14:09:40.794208 |                         |   28.4 |      94 |
| MS181101ab | 13:08:42 | -23:46:32 |    V,R | 120,120 |   5,5 |     1,1 |    0.02374124639728441 |  1326516 |     False |  1326516 |  197.177 | -23.7757 |          37.576598 |   0.003569501509284773 |   0.05 |    0.02374124639728441 |   14 |        1.0 |  Target[name=MS181101ab, ra[deg]=197.177, dec[deg]=-23.7757 |  <FixedTarget "MS181101ab" at SkyCoord (ICRS): (ra, dec) in deg (197.177, -23.7757)> | 6307e5744e784122be6706990efaa65c |                         | 2023-04-26 14:08:02.542236 |                         |   28.5 |      94 |
| MS181101ab | 13:09:51 | -24:14:21 |    V,R | 120,120 |   5,5 |     1,1 |   0.023326042951848425 |  1263265 |     False |  1263265 |  197.466 | -24.2394 |          36.839197 |  0.0029226669305191834 |   0.06 |   0.023326042951848425 |   15 |        1.0 |  Target[name=MS181101ab, ra[deg]=197.466, dec[deg]=-24.2394 |  <FixedTarget "MS181101ab" at SkyCoord (ICRS): (ra, dec) in deg (197.466, -24.2394)> | a2db3c0c961c47d19e9658d57e997050 |                         | 2023-04-26 14:08:56.946367 |                         |   28.0 |      94 |
| MS181101ab | 12:48:59 | -14:23:57 |    V,R | 120,120 |   5,5 |     1,1 |     0.0184573832005878 |  1261891 |      True |  1261891 | 192.2486 | -14.3992 |          50.659728 |  0.0004627761963499575 |    0.3 |     0.0184573832005878 |   16 |        1.0 | Target[name=MS181101ab, ra[deg]=192.2486, dec[deg]=-14.3992 | <FixedTarget "MS181101ab" at SkyCoord (ICRS): (ra, dec) in deg (192.2486, -14.3992)> | 4325210b82cd4dbba953c58b683fc8c6 | 2023-04-26T12:02:19.571 | 2023-04-26 13:54:05.705938 | 2023-04-26T16:09:05.077 |   38.0 |      86 |
| MS181101ab | 12:57:32 | -19:42:00 |    V,R | 120,120 |   5,5 |     1,1 |   0.016121898765208628 |  1263502 |     False |  1263502 | 194.3863 | -19.7002 |          51.671235 |  0.0005514130900550342 |   0.22 |   0.016121898765208628 |   17 |        1.0 | Target[name=MS181101ab, ra[deg]=194.3863, dec[deg]=-19.7002 | <FixedTarget "MS181101ab" at SkyCoord (ICRS): (ra, dec) in deg (194.3863, -19.7002)> | eb38a1eb99eb4fe89afe3eea57c9a2b2 | 2023-04-26T13:06:00.225 | 2023-04-26 13:59:47.863889 | 2023-04-26T15:25:29.602 |   32.6 |      90 |
| MS181101ab | 13:07:37 | -23:56:18 |    V,R | 120,120 |   5,5 |     1,1 |   0.013474463261505866 |  1169640 |     False |  1169640 |  196.907 | -23.9384 |          50.177098 |  0.0009222589070202789 |   0.11 |   0.013474463261505866 |   18 |        1.0 |  Target[name=MS181101ab, ra[deg]=196.907, dec[deg]=-23.9384 |  <FixedTarget "MS181101ab" at SkyCoord (ICRS): (ra, dec) in deg (196.907, -23.9384)> | 38ae68a55a364014ae906227a1a30cb5 |                         | 2023-04-26 14:07:11.397915 |                         |   28.4 |      94 |
| MS181101ab | 13:08:32 | -23:20:50 |    V,R | 120,120 |   5,5 |     1,1 |   0.013393088205321074 |  2409443 |     False |  2409443 |  197.135 | -23.3472 |          44.367397 |  0.0033612654884773168 |   0.03 |   0.013393088205321074 |   19 |        1.0 |  Target[name=MS181101ab, ra[deg]=197.135, dec[deg]=-23.3472 |  <FixedTarget "MS181101ab" at SkyCoord (ICRS): (ra, dec) in deg (197.135, -23.3472)> | fc689e05170d43eab1c8f124aa2a30f2 |                         | 2023-04-26 14:07:55.239801 |                         |   28.9 |      94 |
