|        obj |   ra_hms |   dec_dms | filter | exptime | count | binning |                 weight | note | scheduled |  #id |       ra |      dec |                ra1 |                dec1 |                ra2 |                dec2 |                ra3 |                dec3 |                ra4 |                dec4 | n_hostgalaxy |      prob_vol_x_stmass | rank | confidence |                                                  mainTarget |                                                                          FixedTarget |                               id |                    rise |                    transit |                     set | maxalt | moonsep |
| MS181101ab | 12:56:25 | -14:43:38 |    B,R | 180,180 |  5,10 |     1,1 |   0.006744866081885758 | 4136 |     False | 4136 | 194.1066 | -14.7273 | 194.71651916945385 |  -14.13497235922119 | 194.71983847014818 | -15.317968003614352 |  193.4933276740524 | -15.317968003614352 | 193.49664697474674 |  -14.13497235922119 |            3 |   0.006744866081885758 |   10 |        1.0 | Target[name=MS181101ab, ra[deg]=194.1066, dec[deg]=-14.7273 | <FixedTarget "MS181101ab" at SkyCoord (ICRS): (ra, dec) in deg (194.1066, -14.7273)> | 7031e6cc11b54ce0a91ed0077d4d1a85 | 2023-04-26T12:08:49.778 | 2023-04-26 13:55:06.025909 | 2023-04-26T16:08:52.590 |   37.5 |      87 |
| MS181101ab | 13:04:09 | -23:27:16 |    B,R | 180,180 |  5,10 |     1,1 |  0.0057325484346831814 | 1642 |     False | 1642 | 196.0396 | -23.4545 | 196.68149822556757 |  -22.86172668493405 | 196.68727434470918 | -24.044714817982694 |  195.3919335760829 | -24.044714817982694 | 195.39770969522453 |  -22.86172668493405 |            3 |  0.0057325484346831814 |   11 |        1.0 | Target[name=MS181101ab, ra[deg]=196.0396, dec[deg]=-23.4545 | <FixedTarget "MS181101ab" at SkyCoord (ICRS): (ra, dec) in deg (196.0396, -23.4545)> | daf3a8638a484338897e43a2d33c9708 |                         | 2023-04-26 14:00:26.615359 |                         |   28.7 |      93 |
| MS181101ab | 13:10:07 | -21:16:21 |    B,R | 180,180 |  5,10 |     1,1 |   0.004654046362165804 | 2255 |     False | 2255 | 197.5325 | -21.2727 | 198.16467229937638 |  -20.68004332336628 | 198.16977495174297 | -21.863033767531235 | 196.89516011319208 | -21.863033767531235 |  196.9002627655587 |  -20.68004332336628 |            2 |   0.004654046362165804 |   12 |        1.0 | Target[name=MS181101ab, ra[deg]=197.5325, dec[deg]=-21.2727 | <FixedTarget "MS181101ab" at SkyCoord (ICRS): (ra, dec) in deg (197.5325, -21.2727)> | 7d16b941cd3b43ffba266f40d4a04285 | 2023-04-26T13:47:12.158 | 2023-04-26 14:05:08.653097 | 2023-04-26T14:51:26.525 |   30.9 |      93 |
| MS181101ab | 12:54:41 | -16:54:32 |    B,R | 180,180 |  5,10 |     1,1 |  0.0031149571121594846 | 3500 |     False | 3500 | 193.6709 | -16.9091 |  194.2871774444174 |  -16.31666565766701 |  194.2910579368529 | -17.499659831842962 | 193.05071421504593 | -17.499659831842965 | 193.05459470748139 | -16.316665657667013 |            3 |  0.0031149571121594846 |   13 |        1.0 | Target[name=MS181101ab, ra[deg]=193.6709, dec[deg]=-16.9091 | <FixedTarget "MS181101ab" at SkyCoord (ICRS): (ra, dec) in deg (193.6709, -16.9091)> | f4e3fc9b13544011b2eeece5d0e65512 | 2023-04-26T12:24:24.793 | 2023-04-26 13:53:47.297670 | 2023-04-26T15:46:18.825 |   35.3 |      88 |
| MS181101ab | 12:59:37 | -18:00:00 |    B,R | 180,180 |  5,10 |     1,1 |  0.0025341747380551788 | 3186 |     False | 3186 | 194.9045 |    -18.0 | 195.52431692946436 | -17.407511279616617 |  195.5284894097041 |  -18.59050462424545 | 194.28042778774812 | -18.590504624245447 | 194.28460026798786 | -17.407511279616617 |            1 |  0.0025341747380551788 |   14 |        1.0 |    Target[name=MS181101ab, ra[deg]=194.9045, dec[deg]=-18.0 |     <FixedTarget "MS181101ab" at SkyCoord (ICRS): (ra, dec) in deg (194.9045, -18.)> | dea8c21124bc4394acc5f8dcc62f32f6 | 2023-04-26T12:38:03.832 | 2023-04-26 13:57:15.353632 | 2023-04-26T15:40:09.642 |   34.2 |      90 |
| MS181101ab | 12:59:14 | -16:54:32 |    B,R | 180,180 |  5,10 |     1,1 |  0.0011105587788851523 | 3501 |     False | 3501 | 194.8101 | -16.9091 |  195.4264179507465 | -16.316665657667013 | 195.43029844318198 | -17.499659831842965 | 194.18995472137502 | -17.499659831842962 | 194.19383521381047 | -16.316665657667013 |            2 |  0.0011105587788851523 |   15 |        1.0 | Target[name=MS181101ab, ra[deg]=194.8101, dec[deg]=-16.9091 | <FixedTarget "MS181101ab" at SkyCoord (ICRS): (ra, dec) in deg (194.8101, -16.9091)> | fe98e1b01f024d8da85c76230699b0e2 | 2023-04-26T12:28:44.241 | 2023-04-26 13:57:01.391769 | 2023-04-26T15:50:50.191 |   35.3 |      89 |
| MS181101ab | 12:56:06 | -21:16:21 |    B,R | 180,180 |  5,10 |     1,1 |   0.001003765318317216 | 2252 |     False | 2252 |  194.026 | -21.2727 | 194.65817879288284 |  -20.68004332336628 | 194.66328144524942 |  -21.86303376753123 | 193.38866660669856 | -21.863033767531228 | 193.39376925906515 | -20.680043323366277 |            1 |   0.001003765318317216 |   16 |        1.0 |  Target[name=MS181101ab, ra[deg]=194.026, dec[deg]=-21.2727 |  <FixedTarget "MS181101ab" at SkyCoord (ICRS): (ra, dec) in deg (194.026, -21.2727)> | 025eb2d06144466ab26ed0d2abc7ec44 | 2023-04-26T13:34:30.190 | 2023-04-26 13:54:37.782972 | 2023-04-26T14:36:28.523 |   31.0 |      90 |
| MS181101ab | 13:12:28 | -25:38:10 |    B,R | 180,180 |  5,10 |     1,1 |  0.0008172185486532956 | 1042 |     False | 1042 | 198.1208 | -25.6364 |  198.7736519718701 | -25.043405644592603 | 198.78015299757632 | -26.226391126026808 | 197.46145774067867 |  -26.22639112602681 |  197.4679587663849 | -25.043405644592603 |            1 |  0.0008172185486532956 |   17 |        1.0 | Target[name=MS181101ab, ra[deg]=198.1208, dec[deg]=-25.6364 | <FixedTarget "MS181101ab" at SkyCoord (ICRS): (ra, dec) in deg (198.1208, -25.6364)> | 71e6d90235a742c7b246acdf79049600 |                         | 2023-04-26 14:06:56.892502 |                         |   26.5 |      96 |
| MS181101ab | 12:51:35 | -13:38:10 |    B,R | 180,180 |  5,10 |     1,1 |   0.000460651952841575 | 4455 |     False | 4455 | 192.8972 | -13.6364 | 193.50433149677576 | -13.044124793472466 | 193.50738029447888 | -14.227121083319137 | 192.28701222888557 | -14.227121083319139 |  192.2900610265887 | -13.044124793472466 |            1 |   0.000460651952841575 |   18 |        1.0 | Target[name=MS181101ab, ra[deg]=192.8972, dec[deg]=-13.6364 | <FixedTarget "MS181101ab" at SkyCoord (ICRS): (ra, dec) in deg (192.8972, -13.6364)> | c7b0b4deca24474da8a07ffb95eaadfc | 2023-04-26T11:55:47.257 | 2023-04-26 13:51:47.333846 | 2023-04-26T16:13:36.518 |   38.6 |      86 |
| MS181101ab | 12:55:01 | -18:00:00 |    B,R | 180,180 |  5,10 |     1,1 |  0.0003109766745865928 | 3185 |     False | 3185 |  193.758 |    -18.0 | 194.37782011417772 | -17.407511279616614 | 194.38199259441745 | -18.590504624245447 | 193.13393097246148 | -18.590504624245447 | 193.13810345270122 | -17.407511279616614 |            1 |  0.0003109766745865928 |   19 |        1.0 |     Target[name=MS181101ab, ra[deg]=193.758, dec[deg]=-18.0 |      <FixedTarget "MS181101ab" at SkyCoord (ICRS): (ra, dec) in deg (193.758, -18.)> | eccf425ca5fb4530bac26c732baa4155 | 2023-04-26T12:33:47.054 | 2023-04-26 13:53:59.416896 | 2023-04-26T15:35:43.719 |   34.2 |      89 |
