name,ra,dec,d_L,prob_vol,stmass,prob_vol_x_stmass,rank,confidence,obj,note,weight
1034005,5.567,30.248,105.108,1.4895456537383992e-05,3.0999999046325684,0.142,48,0.5,MS230501o,1034005,0.142
1025465,24.204,35.512,90.549,6.411706709036011e-06,7.199999809265137,0.142,49,0.5,MS230501o,1025465,0.142
1029771,343.979,6.378,112.633,1.1335173837354882e-05,4.0,0.140,50,0.5,MS230501o,1029771,0.140
86606,18.519,33.704,103.196,7.488961390130931e-06,6.0,0.138,51,0.5,MS230501o,86606,0.138
1029506,4.261,29.942,113.282,9.542226557885516e-06,4.699999809265137,0.138,52,0.5,MS230501o,1029506,0.138
1030534,2.809,28.906,127.008,8.463367243687034e-06,5.199999809265137,0.136,53,0.5,MS230501o,1030534,0.136
1033887,5.919,30.559,104.945,1.372424546830811e-05,3.200000047683716,0.135,54,0.5,MS230501o,1033887,0.135
1025162,341.143,3.646,115.631,7.3049527214941585e-06,6.0,0.135,55,0.5,MS230501o,1025162,0.135
1025861,18.519,33.704,97.586,7.367896601541083e-06,5.900000095367432,0.134,56,0.5,MS230501o,1025861,0.134
1039710,2.043,27.004,138.321,1.4380045102029756e-05,3.0,0.133,57,0.5,MS230501o,1039710,0.133
1030333,1.452,27.449,119.816,1.4377962261609163e-05,3.0,0.133,58,0.5,MS230501o,1030333,0.133
1034598,352.742,17.487,110.800,2.1512227182475286e-05,2.0,0.133,59,0.5,MS230501o,1034598,0.133
1033114,9.551,30.891,90.399,1.7135652314981498e-05,2.5,0.132,60,0.5,MS230501o,1033114,0.132
1027759,13.831,31.749,101.071,7.752105114651597e-06,5.5,0.131,61,0.5,MS230501o,1027759,0.131
1029534,2.451,27.832,131.054,1.3647112177615888e-05,3.0,0.126,62,0.5,MS230501o,1029534,0.126
110415,2.042,27.004,140.223,1.3340599398672453e-05,3.0,0.123,63,0.5,MS230501o,110415,0.123
110414,1.821,27.678,121.978,1.3289637106684335e-05,3.0,0.123,64,0.5,MS230501o,110414,0.123
1034308,5.803,29.837,132.431,1.327325437368487e-05,3.0,0.123,65,0.5,MS230501o,1034308,0.123
