# t        U        B        V        R       
  0.1100  18.8525  15.9526  13.6776  12.1267
  0.1105  18.8525  15.9526  13.6776  12.1267
  0.1110   0.3678  -0.7895  -1.7217  -2.3403
  0.1115  -3.8193  -4.7491  -5.5780  -6.0843
  0.1120  -5.4928  -6.2347  -6.7049  -7.0718
  0.1125  -6.7357  -7.2396  -7.4308  -7.7242
  0.1130  -7.6018  -7.9426  -7.9540  -8.1668
  0.1135  -8.0623  -8.2889  -8.2047  -8.3665
  0.1140  -8.3263  -8.4863  -8.3562  -8.4946
  0.1146  -8.5035  -8.6227  -8.4641  -8.5893
  0.1151  -8.6412  -8.7312  -8.5503  -8.6667
  0.1156  -8.7579  -8.8248  -8.6252  -8.7349
  0.1161  -8.8612  -8.9089  -8.6936  -8.7976
  0.1166  -8.9550  -8.9865  -8.7578  -8.8571
  0.1172  -9.0413  -9.0587  -8.8190  -8.9137
  0.1177  -9.1220  -9.1271  -8.8776  -8.9682
  0.1182  -9.2007  -9.1941  -8.9353  -9.0224
  0.1188  -9.2775  -9.2604  -8.9930  -9.0767
  0.1193  -9.3521  -9.3247  -9.0499  -9.1298
  0.1199  -9.4251  -9.3886  -9.1070  -9.1833
  0.1204  -9.4971  -9.4522  -9.1643  -9.2373
  0.1209  -9.5653  -9.5135  -9.2205  -9.2901
  0.1215  -9.6302  -9.5720  -9.2750  -9.3409
  0.1220  -9.6913  -9.6284  -9.3274  -9.3902
  0.1226  -9.7489  -9.6817  -9.3779  -9.4372
  0.1231  -9.8026  -9.7315  -9.4260  -9.4813
  0.1237  -9.8534  -9.7791  -9.4718  -9.5236
  0.1243  -9.9014  -9.8240  -9.5154  -9.5637
  0.1248  -9.9467  -9.8665  -9.5568  -9.6019
  0.1254  -9.9878  -9.9058  -9.5959  -9.6371
  0.1260 -10.0271  -9.9436  -9.6336  -9.6712
  0.1265 -10.0647  -9.9795  -9.6697  -9.7037
  0.1271 -10.1005 -10.0139  -9.7042  -9.7348
  0.1277 -10.1351 -10.0471  -9.7376  -9.7649
  0.1282 -10.1687 -10.0793  -9.7701  -9.7942
