USNO A2.0 (full catalog)
ZONE0000.ACC	09/24/1998 09:13:43	2880
ZONE0000.CAT	09/24/1998 09:13:43	23910768
ZONE0075.ACC	09/24/1998 09:15:09	2880
ZONE0075.CAT	09/24/1998 09:15:09	86276232
ZONE0150.ACC	09/20/1998 17:22:42	2880
ZONE0150.CAT	09/20/1998 17:22:41	246296364
ZONE0225.ACC	09/20/1998 15:41:06	2880
ZONE0225.CAT	09/20/1998 15:41:06	383940000
ZONE0300.ACC	09/20/1998 13:49:39	2880
ZONE0300.CAT	09/20/1998 13:49:38	457993524
ZONE0375.ACC	09/20/1998 12:51:54	2880
ZONE0375.CAT	09/20/1998 12:51:54	485481948
ZONE0450.ACC	09/20/1998 11:53:39	2880
ZONE0450.CAT	09/20/1998 11:53:39	489880236
ZONE0525.ACC	09/20/1998 10:57:11	2880
ZONE0525.CAT	09/20/1998 10:57:11	533337552
ZONE0600.ACC	09/24/1998 09:13:19	2880
ZONE0600.CAT	09/24/1998 09:13:18	537821028
ZONE0675.ACC	09/20/1998 14:43:53	2880
ZONE0675.CAT	09/20/1998 14:43:52	451563264
ZONE0750.ACC	09/20/1998 15:45:24	2880
ZONE0750.CAT	09/20/1998 15:45:24	259313868
ZONE0825.ACC	09/20/1998 18:06:01	2880
ZONE0825.CAT	09/20/1998 18:06:01	240911568
ZONE0900.ACC	09/20/1998 17:18:37	2880
ZONE0900.CAT	09/20/1998 17:18:37	246545064
ZONE0975.ACC	09/20/1998 16:34:29	2880
ZONE0975.CAT	09/20/1998 16:34:29	257190756
ZONE1050.ACC	09/20/1998 16:38:37	2880
ZONE1050.CAT	09/20/1998 16:38:37	250388400
ZONE1125.ACC	09/20/1998 18:44:37	2880
ZONE1125.CAT	09/20/1998 18:44:37	240292752
ZONE1200.ACC	09/20/1998 18:02:02	2880
ZONE1200.CAT	09/20/1998 18:02:02	241716960
ZONE1275.ACC	09/20/1998 18:48:21	2880
ZONE1275.CAT	09/20/1998 18:48:21	225209376
ZONE1350.ACC	09/20/1998 14:47:38	2880
ZONE1350.CAT	09/20/1998 14:47:38	227169384
ZONE1425.ACC	09/20/1998 12:55:04	2880
ZONE1425.CAT	09/20/1998 12:55:03	190958580
ZONE1500.ACC	09/20/1998 10:59:14	2880
ZONE1500.CAT	09/20/1998 10:59:14	123258960
ZONE1575.ACC	09/20/1998 11:54:51	2880
ZONE1575.CAT	09/20/1998 11:54:50	71540304
ZONE1650.ACC	09/20/1998 11:55:25	2880
ZONE1650.CAT	09/20/1998 11:55:25	34832736
ZONE1725.ACC	09/20/1998 10:59:24	2880
ZONE1725.CAT	09/20/1998 10:59:23	9540948
