objname,ra,dec,type,V,B-V
HD115169,13 15 47.388,-29 30 21.18,G3V,9.2,0.69
HD116405,13 22 45.124,+44 42 53.91,A0V,8.34,-0.07
HD128998,14 38 15.222,+54 01 24.02,A1V,5.83,0
HD142331,15 54 19.788,-08 34 49.37,G5V,8.75,0.64
HD14943,02 22 54.675,-51 05 31.66,A5V,5.91,0.19
HD158485,17 26 04.837,+58 39 06.83,A4V,6.5,0.13
HD159222,17 32 00.992,+34 16 16.13,G1V,6.56,0.65
HD160617,17 42 49.324,-40 19 15.51,F,8.73,0.45
HD163466,17 52 25.376,+60 23 46.94,A6V,6.85,0.19
HD167060,18 17 44.143,-61 42 31.62,G3V,8.92,0.64
HD172728,18 37 33.517,+62 31 35.67,A0V,5.74,-0.05
HD185975,20 28 18.740,-87 28 19.94,G3V,8.1,0.68
HD200654,21 06 34.751,-49 57 50.28,G,9.11,0.63
HD200775,21 01 36.921,+68 09 47.79,B2Ve,7.43,0.33
HD205905,21 39 10.151,-27 18 23.67,G2V,6.74,0.62
HD2811,00 31 18.490,-43 36 23.00,A3V,7.5,0.17
HD37725,05 41 54.370,+29 17 50.96,A3V,8.31,-0.19
HD37962,05 40 51.966,-31 21 03.99,G2V,7.85,0.65
HD38949,05 48 20.059,-24 27 49.85,G1V,7.8,0.57
HD55677,07 14 31.290,+13 51 36.79,A4V,9.41,0.06
HD93521,10 48 23.512,+37 34 13.09,O9Vp,6.99,-0.27
HZ44,13 23 35.263,+36 07 59.55,sdB,11.65,-0.23
KF06T2,17 58 37.995,+66 46 52.11,K1.5III,13.8,1.3
KF08T3,17 55 16.216,+66 10 11.61,K0.5III,13.18,1.21
KSI2 CETI,02 28 09.557,+08 27 36.22,B9III,4.28,-0.04
LAMBDA LEP,05 19 34.524,-13 10 36.44,B0.5V,4.29,-0.25
MU COL,05 45 59.895,-32 18 23.16,O9.5V,5.18,-0.28
P177D,15 59 13.579,+47 36 41.91,G0V,13.49,0.6
P330E,16 31 33.813,+30 08 46.40,G2V,12.92,0.64
SIGMA ORI,05 38 44.765,-02 36 00.28,O9.5V+B0.2V,3.79,-0.21
SIRIUS,06 45 08.917,-16 42 58.02,A1V,-1.46,0
WD0148+467,01 52 02.962,+47 00 06.65,DA3.6,12.46,0.06
WD0227+050,02 30 16.628,+05 15 50.70,DA2.5,12.8,-0.05
WD0809+177,08 12 37.809,+17 37 01.43,DA,13.46,
WD1105-048,11 07 59.950,-05 09 26.03,DA3,13.06,0.04
WD1105-340,11 07 47.897,-34 20 51.49,DA3.6,13.63,0.16
WD1202-232,12 05 26.674,-23 33 12.14,DA5.7,12.9,0.14
WD1327-083,13 30 13.637,-08 34 29.47,DA3.5,12.34,0.06
WD1544-377,15 47 30.021,-37 55 08.46,DA4.8,12.8,0.3
WD1713+695,17 13 06.091,+69 31 25.51,DA3.2,13.2,~0.2
WD1911+536,19 12 48.566,+53 43 13.45,DA,13.26,~-0.1
WD1919+145,19 21 40.418,+14 40 41.40,DA3.3,13.01,0.06
WD2039-682,20 44 21.459,-68 05 21.36,DA3.0,13.3,0.05
WD2117+539,21 18 56.264,+54 12 41.24,DA3.4,12.81,
WD2126+734,21 26 57.656,+73 38 44.67,DA3.1,12.83,-0.03
WD2149+021,21 52 25.379,+02 23 19.58,DA2.8,12.74,-0.01
WD2341+322,23 43 50.721,+32 32 46.73,DA3.8,12.94,0.12
