|    obsdate | filter |    mag | e_mag | observatory |   status | [mag_cor-mag_origin] |
| 59577.5657 |      i | 13.166 | 0.021 |        LSGT | detected |               -0.186 |
|  59578.575 |      i | 13.182 | 0.022 |        LSGT | detected |               -0.186 |
|  59581.652 |      i | 13.328 | 0.044 |        LSGT | detected |               -0.186 |
|  59592.466 |      i | 13.991 | 0.036 |        LSGT | detected |               -0.186 |
|  59593.468 |      i |  14.04 | 0.044 |        LSGT | detected |               -0.186 |
| 59599.5213 |      i | 14.237 | 0.044 |        LSGT | detected |               -0.186 |
|  59600.511 |      i | 14.298 | 0.047 |        LSGT | detected |               -0.186 |
| 59601.5203 |      i | 14.328 | 0.044 |        LSGT | detected |               -0.186 |
|  59602.528 |      i | 14.422 | 0.055 |        LSGT | detected |               -0.186 |
|  59617.469 |      i | 14.973 | 0.036 |        LSGT | detected |               -0.186 |
|  59619.468 |      i | 14.989 | 0.047 |        LSGT | detected |               -0.186 |
| 59620.4577 |      i | 15.065 | 0.038 |        LSGT | detected |               -0.186 |
| 59622.4557 |      i | 15.098 | 0.037 |        LSGT | detected |               -0.186 |
| 59623.4523 |      i |  15.13 | 0.037 |        LSGT | detected |               -0.186 |
| 59626.5443 |      i | 15.285 |  0.04 |        LSGT | detected |               -0.186 |
|  59652.521 |      i | 16.099 | 0.035 |        LSGT | detected |               -0.186 |
|  59653.508 |      i | 16.077 | 0.048 |        LSGT | detected |               -0.186 |
|  59658.463 |      i |   16.2 | 0.054 |        LSGT | detected |               -0.186 |
| 59659.4847 |      i | 16.308 | 0.032 |        LSGT | detected |               -0.186 |
|  59660.473 |      i |  16.43 | 0.032 |        LSGT | detected |               -0.186 |
|  59670.419 |      i | 16.553 | 0.047 |        LSGT | detected |               -0.186 |
| 59532.2024 |      r | 14.604 | 0.062 |      RASA36 | detected |                -0.25 |
| 59533.1516 |      r | 14.108 | 0.056 |      RASA36 | detected |                -0.25 |
| 59535.1425 |      r |  13.25 | 0.053 |      RASA36 | detected |                -0.25 |
| 59536.1575 |      r | 12.942 | 0.052 |      RASA36 | detected |                -0.25 |
| 59539.2741 |      r | 12.351 | 0.051 |      RASA36 | detected |                -0.25 |
