|    obsdate | filter |    mag | e_mag | observatory |   status | [mag_cor-mag_origin] |
| 59577.5657 |      i | 13.337 | 0.021 |        LSGT | detected |               -0.015 |
|  59578.575 |      i | 13.353 | 0.022 |        LSGT | detected |               -0.015 |
|  59581.652 |      i | 13.499 | 0.044 |        LSGT | detected |               -0.015 |
|  59592.466 |      i | 14.162 | 0.036 |        LSGT | detected |               -0.015 |
|  59593.468 |      i | 14.211 | 0.044 |        LSGT | detected |               -0.015 |
| 59599.5213 |      i | 14.408 | 0.044 |        LSGT | detected |               -0.015 |
|  59600.511 |      i | 14.469 | 0.047 |        LSGT | detected |               -0.015 |
| 59601.5203 |      i | 14.499 | 0.044 |        LSGT | detected |               -0.015 |
|  59602.528 |      i | 14.593 | 0.055 |        LSGT | detected |               -0.015 |
|  59617.469 |      i | 15.144 | 0.036 |        LSGT | detected |               -0.015 |
|  59619.468 |      i |  15.16 | 0.047 |        LSGT | detected |               -0.015 |
| 59620.4577 |      i | 15.236 | 0.038 |        LSGT | detected |               -0.015 |
| 59622.4557 |      i | 15.269 | 0.037 |        LSGT | detected |               -0.015 |
| 59623.4523 |      i | 15.301 | 0.037 |        LSGT | detected |               -0.015 |
| 59626.5443 |      i | 15.456 |  0.04 |        LSGT | detected |               -0.015 |
|  59652.521 |      i |  16.27 | 0.035 |        LSGT | detected |               -0.015 |
|  59653.508 |      i | 16.248 | 0.048 |        LSGT | detected |               -0.015 |
|  59658.463 |      i | 16.371 | 0.054 |        LSGT | detected |               -0.015 |
| 59659.4847 |      i | 16.479 | 0.032 |        LSGT | detected |               -0.015 |
|  59660.473 |      i | 16.601 | 0.032 |        LSGT | detected |               -0.015 |
|  59670.419 |      i | 16.724 | 0.047 |        LSGT | detected |               -0.015 |
| 59532.2024 |      r | 14.834 | 0.062 |      RASA36 | detected |                -0.02 |
| 59533.1516 |      r | 14.338 | 0.056 |      RASA36 | detected |                -0.02 |
| 59535.1425 |      r |  13.48 | 0.053 |      RASA36 | detected |                -0.02 |
| 59536.1575 |      r | 13.172 | 0.052 |      RASA36 | detected |                -0.02 |
| 59539.2741 |      r | 12.581 | 0.051 |      RASA36 | detected |                -0.02 |
| 59540.2569 |      r | 12.458 | 0.051 |      RASA36 | detected |                -0.02 |
| 59544.2265 |      r | 12.217 | 0.051 |      RASA36 | detected |                -0.02 |
|  59545.318 |      r |  12.07 | 0.066 |      RASA36 | detected |                -0.02 |
| 59558.2395 |      r | 12.558 | 0.045 |      RASA36 | detected |                -0.02 |
| 59559.2091 |      r |  12.54 | 0.065 |      RASA36 | detected |                -0.02 |
| 59560.1834 |      r | 12.585 | 0.045 |      RASA36 | detected |                -0.02 |
| 59561.2001 |      r | 12.671 | 0.045 |      RASA36 | detected |                -0.02 |
| 59563.1345 |      r | 12.817 | 0.029 |      RASA36 | detected |                -0.02 |
| 59564.1485 |      r | 12.844 | 0.029 |      RASA36 | detected |                -0.02 |
| 59566.2759 |      r |  12.98 | 0.029 |      RASA36 | detected |                -0.02 |
| 59570.2196 |      r | 12.872 | 0.045 |      RASA36 | detected |                -0.02 |
| 59572.2686 |      r |  12.79 |  0.05 |      RASA36 | detected |                -0.02 |
| 59574.2037 |      r | 13.002 | 0.061 |      RASA36 | detected |                -0.02 |
| 59576.1996 |      r | 12.943 | 0.046 |      RASA36 | detected |                -0.02 |
| 59577.2542 |      r | 12.994 | 0.046 |      RASA36 | detected |                -0.02 |
|  59584.298 |      r | 13.408 | 0.047 |      RASA36 | detected |                -0.02 |
|  59585.263 |      r | 13.477 | 0.048 |      RASA36 | detected |                -0.02 |
| 59586.2346 |      r | 13.514 | 0.048 |      RASA36 | detected |                -0.02 |
| 59587.2195 |      r |   13.6 | 0.048 |      RASA36 | detected |                -0.02 |
| 59588.1571 |      r | 13.623 | 0.051 |      RASA36 | detected |                -0.02 |
| 59589.1571 |      r | 13.668 | 0.048 |      RASA36 | detected |                -0.02 |
| 59592.1875 |      r | 13.784 | 0.048 |      RASA36 | detected |                -0.02 |
|  59593.211 |      r | 13.865 |  0.06 |      RASA36 | detected |                -0.02 |
| 59597.2063 |      r | 13.953 |  0.05 |      RASA36 | detected |                -0.02 |
| 59599.1947 |      r | 14.035 |  0.05 |      RASA36 | detected |                -0.02 |
| 59601.1696 |      r | 14.084 | 0.049 |      RASA36 | detected |                -0.02 |
| 59603.1609 |      r | 14.169 |  0.05 |      RASA36 | detected |                -0.02 |
| 59607.1298 |      r | 14.279 |  0.05 |      RASA36 | detected |                -0.02 |
| 59611.1753 |      r | 14.429 | 0.055 |      RASA36 | detected |                -0.02 |
| 59613.1183 |      r | 14.468 | 0.053 |      RASA36 | detected |                -0.02 |
| 59614.1302 |      r | 14.497 | 0.053 |      RASA36 | detected |                -0.02 |
| 59616.1314 |      r | 14.564 | 0.055 |      RASA36 | detected |                -0.02 |
|  59617.089 |      r | 14.592 | 0.055 |      RASA36 | detected |                -0.02 |
|  59619.106 |      r | 14.653 | 0.054 |      RASA36 | detected |                -0.02 |
