wavelength,QE
300.167,-0.000719597
380.010,0.000277482
389.555,0.0204116
399.745,0.678675
409.652,0.82254
420.039,0.861388
430.247,0.853463
439.960,0.874677
450.001,0.865314
460.212,0.866023
471.425,0.857378
489.496,0.830381
499.557,0.160586
510.403,0.00553916
524.629,-0.000950287
999.832,-0.000719252
