wavelength,QE
300.167,-0.000719597
544.381,-0.000251162
560.283,0.00332962
569.665,0.0439675
589.596,0.849343
600.479,0.863360
609.013,0.850402
620.232,0.869815
630.608,0.863689
639.651,0.883824
652.038,0.883451
672.795,0.892063
682.503,0.890614
689.699,0.884492
718.827,0.897052
730.195,0.833731
739.926,0.182641
749.934,0.0236383
760.642,0.00348341
773.362,-0.000486497
999.833,-0.000359540
