utctime,alt,az
2024-12-06 09:40:40.954775,-18.021823541778783,194.08333654718334
2024-12-06 09:50:40.954775,-18.528580533323808,194.91568728631552
2024-12-06 10:00:40.954775,-19.06345582277776,195.73077160952127
2024-12-06 10:10:40.954775,-19.62573689531549,196.52764119310118
2024-12-06 10:20:40.954775,-20.214681101718465,197.30535760262612
2024-12-06 10:30:40.954775,-20.829517046117342,198.06299012070457
2024-12-06 10:40:40.954775,-21.469445869068444,198.79961325014472
2024-12-06 10:50:40.954775,-22.1336424075534,199.51430390101135
2024-12-06 11:00:40.954775,-22.82125621440723,200.2061382711953
2024-12-06 11:10:40.954775,-23.53141242056908,200.87418843099474
2024-12-06 11:20:40.954775,-24.263212424433416,201.51751862298548
2024-12-06 11:30:40.954775,-25.015734393363445,202.13518128916598
2024-12-06 11:40:40.954775,-25.788033563139756,202.7262128381681
2024-12-06 11:50:40.954775,-26.57914232174806,203.28962916637352
2024-12-06 12:00:40.954775,-27.388070064391123,203.82442094818515
2024-12-06 12:10:40.954775,-28.213802807044118,204.3295487127402
2024-12-06 12:20:40.954775,-29.055302546169987,204.80393772717935
2024-12-06 12:30:40.954775,-29.91150635245945,205.2464727105012
2024-12-06 12:40:40.954775,-30.781325186693334,205.65599240735148
2024-12-06 12:50:40.954775,-31.663642426034425,206.03128405813885
2024-12-06 13:00:40.954775,-32.5573120893933,206.37107781110407
2024-12-06 13:10:40.954775,-33.461156751008446,206.67404113385075
2024-12-06 13:20:40.954775,-34.3739651321606,206.93877329694092
2024-12-06 13:30:40.954775,-35.29448936218463,207.16380002112422
2024-12-06 13:40:40.954775,-36.22144190178428,207.347568403313
2024-12-06 13:50:40.954775,-37.15349212437747,207.48844226535832
2024-12-06 14:00:40.954775,-38.0892625550527,207.58469810487736
2024-12-06 14:10:40.954775,-39.02732477206,207.63452186974072
2024-12-06 14:20:40.954775,-39.96619498299627,207.63600682822332
2024-12-06 14:30:40.954775,-40.904329297539256,207.58715286603322
2024-12-06 14:40:40.954775,-41.84011873120904,207.48586760997782
2024-12-06 14:50:40.954775,-42.77188399093423,207.32996985602003
2024-12-06 15:00:40.954775,-43.69787011393856,207.11719586629795
2024-12-06 15:10:40.954775,-44.61624105730489,206.84520919366162
2024-12-06 15:20:40.954775,-45.52507436745458,206.51161479017418
2024-12-06 15:30:40.954775,-46.422356097286595,206.11397825244356
2024-12-06 15:40:40.954775,-47.30597618446833,205.6498511432909
2024-12-06 15:50:40.954775,-48.17372455737249,205.11680339418356
2024-12-06 16:00:40.954775,-49.023288295089905,204.51246381954485
2024-12-06 16:10:40.954775,-49.852250233296125,203.83456974092846
2024-12-06 16:20:40.954775,-50.65808947581674,203.08102659917455
2024-12-06 16:30:40.954775,-51.43818433815482,202.24997819424695
2024-12-06 16:40:40.954775,-52.18981830728652,201.33988780088325
2024-12-06 16:50:40.954775,-52.91018964255044,200.34962982969756
2024-12-06 17:00:40.954775,-53.596425253730516,199.27859091113677
2024-12-06 17:10:40.954775,-54.24559946020276,198.12677826316303
2024-12-06 17:20:40.954775,-54.85475814378627,196.8949319797848
2024-12-06 17:30:40.954775,-55.420948642631295,195.58463650434214
2024-12-06 17:40:40.954775,-55.941255482219624,194.19842513929405
2024-12-06 17:50:40.954775,-56.41284169769759,192.73987016253741
2024-12-06 18:00:40.954775,-56.83299507607262,191.21365019317062
2024-12-06 18:10:40.954775,-57.19917815950999,189.62558613540637
2024-12-06 18:20:40.954775,-57.509080342341306,187.9826375798538
2024-12-06 18:30:40.954775,-57.76066992174489,186.29285314452144
2024-12-06 18:40:40.954775,-57.95224359481403,184.56527095035523
2024-12-06 18:50:40.954775,-58.082470704061954,182.80976911664393
2024-12-06 19:00:40.954775,-58.15042957846991,181.03687048416398
2024-12-06 19:10:40.954775,-58.155633630001404,179.25751019209142
2024-12-06 19:20:40.954775,-58.09804543914199,177.48277860410616
2024-12-06 19:30:40.954775,-57.97807784695709,175.72365477535186
2024-12-06 19:40:40.954775,-57.796581976654004,173.99074671221652
2024-12-06 19:50:40.954775,-57.55482302278625,172.2940539140681
2024-12-06 20:00:40.954775,-57.25444545728867,170.64276523505342
2024-12-06 20:10:40.954775,-56.89742991462388,169.0451013884079
2024-12-06 20:20:40.954775,-56.48604437597734,167.508207042753
2024-12-06 20:30:40.954775,-56.02279236054068,166.03809308016747
2024-12-06 20:40:40.954775,-55.51036067676418,164.63962576106206
