|                               id |        ra |       dec |     ra1 |    dec1 |     ra2 |    dec2 |     ra3 |    dec3 |     ra4 |    dec4 |                    l |                   b | n_hostgalaxy |     prob_vol_x_stmass | rank | confidence |       obj |  note |                weight | filter | count | exptime | binning |   ra_hms |   dec_dms | maxalt |                 transit | moonsep | scheduled | fraction_obs |
| 83beb326c8bd4b318cb5cecf7135784d | 240.88200 | -13.58500 | 241.588 | -13.126 | 241.591 | -14.041 | 240.174 | -14.041 | 240.176 | -13.126 |    357.9579263282403 |  28.131477628293496 |          575 |     8.749842010684103 |    0 |        0.5 | S240910ci | 14635 |     8.749842010684103 |      r |     6 |     100 |       1 | 16:03:31 | -13:35:06 |  54.22 | 2024-09-11T21:19:54.935 |    24.0 |      True |         0.20 |
| 904629ebaa26460880887d4432c2c499 | 240.00000 | -12.73600 | 240.704 | -12.277 | 240.706 | -13.192 | 239.294 | -13.192 | 239.296 | -12.277 |   358.03458896070174 |   29.33752541888281 |          551 |     6.650080662222021 |    1 |        0.5 | S240910ci | 14907 |     6.650080662222021 |      r |     6 |     100 |       1 | 16:00:00 | -12:44:09 |  53.03 | 2024-09-11T21:16:23.255 |    25.2 |      True |         0.20 |
| 79d4b30d4a814786a9dd2ac5d79a6bc8 | 239.55900 | -13.58500 | 240.265 | -13.126 | 240.267 | -14.041 |  238.85 | -14.041 | 238.853 | -13.126 |     356.981614841403 |   29.09090858504206 |          526 |    6.0148796703197505 |    2 |        0.5 | S240910ci | 14634 |    6.0148796703197505 |      r |     6 |     100 |       1 | 15:58:14 | -13:35:06 |  53.15 | 2024-09-11T21:14:37.415 |   24.98 |      True |         0.20 |
| 7750c3ea4c984a24b936a1c9a2c2ee6c | 240.44300 | -14.43400 | 241.151 | -13.975 | 241.154 |  -14.89 | 239.731 |  -14.89 | 239.734 | -13.975 |     356.918475064971 |  27.885326160416252 |          510 |    6.0120737790824865 |    3 |        0.5 | S240910ci | 14363 |    6.0120737790824865 |      r |     6 |     100 |       1 | 16:01:46 | -14:26:02 |  54.33 | 2024-09-11T21:18:09.575 |   23.78 |      True |         0.20 |
| 465d161a6c594156a2b659df757f49de | 229.67700 |   2.54700 | 230.366 |   3.004 | 230.365 |   2.089 | 228.989 |   2.089 | 228.989 |   3.004 |   4.4272179613140175 |  47.057285619739794 |          604 |     5.179781975873781 |    4 |        0.5 | S240910ci | 19903 |     5.179781975873781 |      r |     6 |     100 |       1 | 15:18:42 |  02:32:49 |  35.52 | 2024-09-11T20:35:05.735 |   43.27 |     False |         0.07 |
| a682c26d046f4013bf07f3c5590aa32a | 243.13400 | -16.98100 | 243.851 | -16.522 | 243.855 | -17.437 | 242.414 | -17.437 | 242.417 | -16.522 |   356.71796243986665 |  24.256616066071963 |          400 |      4.78079404551863 |    5 |        0.5 | S240910ci | 13556 |      4.78079404551863 |      r |     6 |     100 |       1 | 16:12:32 | -16:58:51 |  57.87 | 2024-09-11T21:28:55.415 |   20.17 |      True |         0.23 |
| 6d1eb6aeb51640818d2acebf25d4fda8 | 237.39100 |  -9.34000 | 238.087 |  -8.881 | 238.089 |  -9.796 | 236.694 |  -9.796 | 236.695 |  -8.881 |    359.0224357885183 |   33.50622662902887 |          457 |     4.723858004730975 |    6 |        0.5 | S240910ci | 16005 |     4.723858004730975 |      r |     6 |     100 |       1 | 15:49:33 | -09:20:23 |  48.97 | 2024-09-11T21:05:57.095 |   29.39 |      True |         0.17 |
| 99111fab236a4e4eb51d839c5f889d52 | 228.38700 |   4.24500 | 229.077 |   4.702 | 229.076 |   3.787 | 227.698 |   3.787 | 227.697 |   4.702 |    5.235783486622884 |  49.119077770983374 |          682 |      4.46041117649682 |    7 |        0.5 | S240910ci | 20460 |      4.46041117649682 |      r |     6 |     100 |       1 | 15:13:32 |  04:14:42 |  33.43 | 2024-09-11T20:29:56.135 |    45.4 |     False |         0.03 |
| 0367536fd4ba456984dc262c1e7447c7 | 230.14300 |   1.69800 | 230.831 |   2.155 |  230.83 |    1.24 | 229.455 |    1.24 | 229.455 |   2.155 |   3.8855421005702118 |   46.16354219429237 |          476 |     4.427494795112081 |    8 |        0.5 | S240910ci | 19624 |     4.427494795112081 |      r |     6 |     100 |       1 | 15:20:34 |  01:41:52 |  36.42 | 2024-09-11T20:36:57.575 |   42.33 |     False |         0.07 |
| cd83ba73cc6841e1a3be5dc3e5ea252d | 236.53400 |  -8.49100 | 237.229 |  -8.032 |  237.23 |  -8.947 | 235.838 |  -8.947 |  235.84 |  -8.032 |   359.11091303165455 |  34.703030929556746 |          516 |     4.399810628375024 |    9 |        0.5 | S240910ci | 16281 |     4.399810628375024 |      r |     6 |     100 |       1 | 15:46:08 | -08:29:27 |  47.79 | 2024-09-11T21:02:31.415 |   30.58 |      True |         0.17 |
| eae58b4483d0415588d1983a3e577a6b | 236.53400 |  -7.64200 | 237.227 |  -7.183 | 237.229 |  -8.098 |  235.84 |  -8.098 | 235.841 |  -7.183 |   359.88829905011255 |   35.26448918522916 |          492 |     4.114090437659586 |   10 |        0.5 | S240910ci | 16558 |     4.114090437659586 |      r |     6 |     100 |       1 | 15:46:08 | -07:38:31 |  47.28 | 2024-09-11T21:02:31.415 |   31.18 |      True |         0.17 |
| 66735f60b90e4a67bec4897294b96387 | 241.77100 | -14.43400 |  242.48 | -13.975 | 242.483 |  -14.89 |  241.06 |  -14.89 | 241.063 | -13.975 |   357.88046358299385 |   26.92319756143157 |          325 |    3.9484909564800303 |   11 |        0.5 | S240910ci | 14364 |    3.9484909564800303 |      r |     6 |     100 |       1 | 16:07:05 | -14:26:02 |  55.41 | 2024-09-11T21:23:28.295 |   22.79 |      True |         0.20 |
| 3c9cff2e79984d92a2bcfb5045a3a729 | 233.54800 |  -3.39600 | 234.237 |  -2.938 | 234.237 |  -3.853 | 232.859 |  -3.853 |  232.86 |  -2.938 |    1.492387800666311 |  40.289114416062894 |          454 |    3.8091134312113364 |   12 |        0.5 | S240910ci | 17948 |    3.8091134312113364 |      r |     6 |     100 |       1 | 15:34:11 | -03:23:45 |  42.31 | 2024-09-11T20:50:34.775 |   36.29 |     False |         0.13 |
| 7bc62763d58d4efc987b19084d4c3d62 | 227.91400 |   5.94300 | 228.605 |     6.4 | 228.604 |   5.485 | 227.223 |   5.485 | 227.222 |     6.4 |    6.892434127087038 |  50.520440157770295 |          795 |     3.754830741428162 |   13 |        0.5 | S240910ci | 21017 |     3.754830741428162 |      r |     6 |     100 |       1 | 15:11:39 |  05:56:34 |  31.95 | 2024-09-11T20:28:02.615 |   46.98 |     False |         0.03 |
