|     name |        ra |       dec |     d_L |               prob_vol | stmass |    prob_vol_x_stmass | rank | confidence |       obj |     note |               weight | filter | count | exptime | binning |   ra_hms |   dec_dms | maxalt |                 transit | moonsep |                               id | fraction_obs | scheduled |
|  1576534 | 243.76400 | -17.31400 | 693.322 | 2.1694614802915715e-07 |   16.0 |  0.19153094968832968 |   10 |        0.5 | S240910ci |  1576534 |  0.19153094968832968 |      r |     6 |     180 |       1 | 16:15:03 | -17:18:50 |  57.61 | 2024-09-12T21:27:47.560 |    31.7 | e4b53b931c924c82a24465f8b7d04bb5 |         0.23 |      True |
|  1522794 | 241.29200 | -14.50500 | 615.984 |  2.409146591516081e-07 |   14.0 |  0.18610505302701663 |   11 |        0.5 | S240910ci |  1522794 |  0.18610505302701663 |      r |     6 |     180 |       1 | 16:05:10 | -14:30:18 |  54.12 | 2024-09-12T21:17:54.280 |   35.12 | d66579564f2f4567bff1540259debc08 |         0.20 |      True |
|  1259448 | 240.45000 | -13.35600 | 560.512 | 1.4008074126450516e-07 |   23.0 |   0.1777759259614801 |   12 |        0.5 | S240910ci |  1259448 |   0.1777759259614801 |      r |     6 |     180 |       1 | 16:01:48 | -13:21:21 |  52.81 | 2024-09-12T21:14:32.200 |    36.4 | 15c7d35484e3436c8785be93bb268580 |         0.20 |     False |
|  1244129 | 239.74400 | -13.01800 | 611.175 | 1.9444164154245778e-07 |   16.0 |  0.17166263246652472 |   13 |        0.5 | S240910ci |  1244129 |  0.17166263246652472 |      r |     6 |     180 |       1 | 15:58:58 | -13:01:04 |  52.05 | 2024-09-12T21:11:42.760 |   37.17 | 7028fdee510144aba6d1d43c185e95f3 |         0.20 |     False |
|  1522684 | 239.69500 | -13.48300 | 765.769 | 1.2961407140307704e-07 |   24.0 |   0.1716445034431106 |   14 |        0.5 | S240910ci |  1522684 |   0.1716445034431106 |      r |     6 |     180 |       1 | 15:58:46 | -13:28:58 |  52.26 | 2024-09-12T21:11:31.000 |   36.97 | a960aaa0e8bf4a81a567ccd29ea95222 |         0.20 |     False |
|  1522808 | 241.42700 | -15.35000 | 597.372 | 2.0497961878070258e-07 |   15.0 |  0.16965567306031362 |   15 |        0.5 | S240910ci |  1522808 |  0.16965567306031362 |      r |     6 |     180 |       1 | 16:05:42 | -15:20:59 |  54.68 | 2024-09-12T21:18:26.680 |    34.6 | 9cd600d301e8491eb9c470441e83a9c1 |         0.20 |     False |
|  1445080 | 240.45700 | -13.96200 | 803.885 | 1.4853717868489505e-07 |   20.0 |  0.16391980621446944 |   16 |        0.5 | S240910ci |  1445080 |  0.16391980621446944 |      r |     6 |     180 |       1 | 16:01:49 | -13:57:43 |  53.14 | 2024-09-12T21:14:33.880 |   36.09 | 5e2a9fefaa504548815e30179f0d5a68 |         0.20 |     False |
|  1495036 | 251.64100 | -24.46200 | 655.642 | 1.4720011918134282e-07 |   20.0 |  0.16244426161761807 |   17 |        0.5 | S240910ci |  1495036 |  0.16244426161761807 |      r |     6 |     180 |       1 | 16:46:33 | -24:27:43 |  67.35 | 2024-09-12T21:59:18.040 |   22.22 | 9d5ce52fc767421e9cb8168086da0bd1 |         0.30 |      True |
|  1260546 | 243.02800 | -15.43100 | 600.778 | 1.1084176116270387e-07 |   26.0 |  0.15901674760206397 |   18 |        0.5 | S240910ci |  1260546 |  0.15901674760206397 |      r |     6 |     180 |       1 | 16:12:06 | -15:25:51 |  56.03 | 2024-09-12T21:24:50.920 |   33.21 | 2b60b077d6a94f26958ba5b56a66bb00 |         0.23 |     False |
|  1576297 | 245.46600 | -18.70900 | 617.974 | 2.2033165949882667e-07 |   13.0 |  0.15804702484500255 |   19 |        0.5 | S240910ci |  1576297 |  0.15804702484500255 |      r |     6 |     180 |       1 | 16:21:51 | -18:42:32 |  59.71 | 2024-09-12T21:34:36.040 |   29.64 | b1da3548ad474e8d9dc8e9d2c7c9acc1 |         0.23 |     False |
