|     name |        ra |       dec |     d_L |               prob_vol | stmass |    prob_vol_x_stmass | rank | confidence |       obj |     note |               weight | filter | count | exptime | binning |   ra_hms |   dec_dms | maxalt |                 transit | moonsep |                               id | fraction_obs | scheduled |
|   134862 | 227.92200 |   5.30200 | 616.884 |  9.061482812013277e-08 |  200.0 |                  1.0 |    0 |        0.5 | S240910ci |   134862 |                  1.0 |      r |     6 |     180 |       1 | 15:11:41 |  05:18:07 |  32.44 | 2024-09-11T05:51:06.212 |    46.6 | 07f56fac7aa34419a7a3ab8097f33240 |         0.03 |     False |
|  1445476 | 240.20200 | -13.75500 | 728.919 | 2.0735746025753126e-07 |   25.0 |  0.28604095583491135 |    1 |        0.5 | S240910ci |  1445476 |  0.28604095583491135 |      r |     6 |     180 |       1 | 16:00:48 | -13:45:18 |  53.98 | 2024-09-11T06:40:13.412 |    24.5 | d5e89e82a4194643884797899eb1536e |         0.20 |      True |
|  1576494 | 242.94200 | -17.09500 |  733.82 | 1.6618811925272166e-07 |   30.0 |  0.27509940615103795 |    2 |        0.5 | S240910ci |  1576494 |  0.27509940615103795 |      r |     6 |     180 |       1 | 16:11:46 | -17:05:41 |  58.03 | 2024-09-11T06:51:11.012 |   20.36 | 9faeace184bc4493998e0ec6128a5b12 |         0.23 |      True |
|  1522841 | 241.83700 | -15.39300 | 716.571 | 2.4754841550076036e-07 |   19.0 |  0.25952666501472543 |    3 |        0.5 | S240910ci |  1522841 |  0.25952666501472543 |      r |     6 |     180 |       1 | 16:07:20 | -15:23:34 |  56.21 | 2024-09-11T06:46:45.812 |   22.24 | 1406075941a349768a0eda7d2848f462 |         0.23 |      True |
|  1522724 | 240.34800 | -14.03100 | 707.283 | 2.0641450098102517e-07 |   20.0 |   0.2277917355993566 |    4 |        0.5 | S240910ci |  1522724 |   0.2277917355993566 |      r |     6 |     180 |       1 | 16:01:23 | -14:01:51 |  54.26 | 2024-09-11T06:40:48.452 |   24.22 | 79fc2a49fd6d4265a943bf6693f91bd6 |         0.20 |      True |
|  1522711 | 240.20000 | -13.71900 | 785.873 | 1.6548116497730607e-07 |   24.0 |  0.21914290959865879 |    5 |        0.5 | S240910ci |  1522711 |  0.21914290959865879 |      r |     6 |     180 |       1 | 16:00:48 | -13:43:08 |  53.96 | 2024-09-11T06:40:12.932 |   24.53 | 5db1ece220db40fa88ab1aa25d3d7354 |         0.20 |     False |
|  1556276 | 238.54500 | -10.75900 | 617.785 | 1.9448813015739083e-07 |   20.0 |    0.214630098452987 |    6 |        0.5 | S240910ci |  1556276 |    0.214630098452987 |      r |     6 |     180 |       1 | 15:54:10 | -10:45:32 |  50.91 | 2024-09-11T06:33:35.732 |    27.7 | 26f7576c63f442f1969fb301c1b6410e |         0.20 |     False |
|   428947 | 230.21700 |   0.72000 | 626.681 |  9.658433785732263e-08 |   40.0 |  0.21317398234999207 |    7 |        0.5 | S240910ci |   428947 |  0.21317398234999207 |      r |     6 |     180 |       1 | 15:20:52 |  00:43:11 |  37.21 | 2024-09-11T06:00:17.012 |   41.67 | 875ddc93c6234c0da72945d5ac7b7987 |         0.07 |     False |
|  1466280 | 248.36600 | -21.60900 | 600.334 | 1.8363996514491376e-07 |   20.0 |  0.20265834160343302 |    8 |        0.5 | S240910ci |  1466280 |  0.20265834160343302 |      r |     6 |     180 |       1 | 16:33:27 | -21:36:32 |  64.72 | 2024-09-11T07:12:52.772 |   13.59 | 559af5cb090e4456aa10d313bb4bb4c7 |         0.30 |      True |
|  1259457 | 241.65200 | -14.50000 |  661.02 | 2.0597986662314444e-07 |   17.0 |   0.1932149690875115 |    9 |        0.5 | S240910ci |  1259457 |   0.1932149690875115 |      r |     6 |     180 |       1 | 16:06:36 | -14:30:00 |  55.56 | 2024-09-11T06:46:01.412 |   22.95 | cafa3963f5b3471da73a744c748dd6ec |         0.23 |     False |
