|     name |        ra |       dec |     d_L |               prob_vol | stmass |    prob_vol_x_stmass | rank | confidence |       obj |     note |               weight | filter | count | exptime | binning |   ra_hms |   dec_dms | maxalt |                 transit | moonsep | scheduled |                               id | fraction_obs |
|  1522719 | 240.21700 | -13.37400 | 671.502 |  2.276935722034019e-07 |    9.0 |  0.11307253863341588 |   46 |        0.5 | S240910ci |  1522719 |  0.11307253863341588 |      r |    10 |     120 |       1 | 16:00:52 | -13:22:26 |  54.44 | 2024-09-10T21:21:29.286 |   20.13 |     False | b7df8f8de4db4890a4ebb74f2c97ee93 |         0.19 |
|  2555655 | 242.74400 | -15.52600 | 730.173 | 1.4525721362994128e-07 |   14.0 |   0.1122094795247335 |   47 |        0.5 | S240910ci |  2555655 |   0.1122094795247335 |      r |    10 |     120 |       1 | 16:10:58 | -15:31:33 |  57.68 | 2024-09-10T21:31:35.766 |   16.89 |     False | 1d013a2628894f07819159c8423ffd7f |         0.23 |
|   153536 | 229.80400 |   1.63600 | 590.311 | 1.1239018567831973e-07 |   18.0 |  0.11162581843068492 |   48 |        0.5 | S240910ci |   153536 |  0.11162581843068492 |      r |    10 |     120 |       1 | 15:19:12 |  01:38:09 |  37.03 | 2024-09-10T20:39:50.166 |   38.28 |     False | c64dc9f891574742a281c2d141533feb |         0.06 |
|  1252689 | 230.63000 |  -0.47200 | 635.611 |  7.450994560007481e-08 |   27.0 |  0.11100479238334272 |   49 |        0.5 | S240910ci |  1252689 |  0.11100479238334272 |      r |    10 |     120 |       1 | 15:22:31 | -00:28:19 |  39.03 | 2024-09-10T20:43:08.406 |   36.11 |     False | fd28d9875fb34d18a3b2e93f480ea4fe |         0.10 |
|  1522842 | 241.92900 | -14.53800 | 586.637 | 1.5436131417166943e-07 |   13.0 |   0.1107249564390415 |   50 |        0.5 | S240910ci |  1522842 |   0.1107249564390415 |      r |    10 |     120 |       1 | 16:07:42 | -14:32:16 |  56.47 | 2024-09-10T21:28:20.166 |   18.16 |     False | a11c9f48aeaf4d459ac742bb35ca02e9 |         0.23 |
|  1653757 | 243.29200 | -17.40200 | 471.459 |  6.684793740046929e-08 |   30.0 |  0.11065548851734767 |   51 |        0.5 | S240910ci |  1653757 |  0.11065548851734767 |      r |    10 |     120 |       1 | 16:13:10 | -17:24:07 |  59.12 | 2024-09-10T21:33:47.286 |   15.17 |     False | a819aede7b134a549ca4d94a99108953 |         0.23 |
|   798012 | 231.59500 |   0.89400 | 612.466 | 1.0017404624561483e-07 |   20.0 |  0.11054749288959755 |   52 |        0.5 | S240910ci |   798012 |  0.11054749288959755 |      r |    10 |     120 |       1 | 15:26:22 |  00:53:38 |  38.86 | 2024-09-10T20:47:00.006 |    36.6 |     False | 7922b9ea5dbc4ad599a7801ff6b0263a |         0.10 |
|  1470740 | 249.04300 | -21.91200 | 747.657 |  2.155215834331183e-07 |    9.0 |  0.10702782596592036 |   53 |        0.5 | S240910ci |  1470740 |  0.10702782596592036 |      r |    10 |     120 |       1 | 16:36:10 | -21:54:43 |  66.03 | 2024-09-10T21:56:47.526 |    8.16 |     False | 01e65c3d245245d58fdf99989ae0befc |         0.29 |
|  1522840 | 241.89200 | -16.02700 | 715.395 | 1.9312264440557783e-07 |   10.0 |  0.10656058323662818 |   54 |        0.5 | S240910ci |  1522840 |  0.10656058323662818 |      r |    10 |     120 |       1 | 16:07:34 | -16:01:37 |  57.25 | 2024-09-10T21:28:11.286 |   17.09 |     False | a41ac18371614c5392e3374cd38092f3 |         0.23 |
|  1260348 | 254.24700 | -25.57100 | 637.925 | 1.2801286616966376e-07 |   15.0 |   0.1059517715226333 |   55 |        0.5 | S240910ci |  1260348 |   0.1059517715226333 |      r |    10 |     120 |       1 | 16:56:59 | -25:34:15 |  71.86 | 2024-09-10T22:17:36.486 |    2.39 |     False | f78dc32b6e794ccf970dc481968dc6a7 |         0.00 |
|  1522795 | 241.21200 | -14.45100 | 812.772 | 1.7240038101685004e-07 |   11.0 |  0.10463913595112428 |   56 |        0.5 | S240910ci |  1522795 |  0.10463913595112428 |      r |    10 |     120 |       1 | 16:04:50 | -14:27:03 |  55.85 | 2024-09-10T21:25:28.086 |   18.68 |     False | 0341ecdf0ec046fda102596e5074c3fb |         0.23 |
|   130190 | 228.72200 |   5.61000 | 613.979 | 1.2632792430859642e-07 |   15.0 |  0.10455717753532308 |   57 |        0.5 | S240910ci |   130190 |  0.10455717753532308 |      r |    10 |     120 |       1 | 15:14:53 |  05:36:36 |  33.57 | 2024-09-10T20:35:30.486 |    42.1 |     False | 4a5b56e20ed544699e35dbd972beb825 |         0.03 |
|  1522859 | 242.04100 | -14.66400 | 699.855 | 1.7212137687509695e-07 |   11.0 |   0.1044697899504242 |   58 |        0.5 | S240910ci |  1522859 |   0.1044697899504242 |      r |    10 |     120 |       1 | 16:08:09 | -14:39:50 |  56.63 | 2024-09-10T21:28:47.046 |   17.99 |     False | 8c849e83bac149cbb8b337c98844d841 |         0.23 |
|  1247152 | 236.59700 |  -8.11400 | 580.627 | 1.1675276779676547e-07 |   16.0 |  0.10307427265972616 |   59 |        0.5 | S240910ci |  1247152 |  0.10307427265972616 |      r |    10 |     120 |       1 | 15:46:23 | -08:06:50 |  48.47 | 2024-09-10T21:07:00.486 |   26.43 |     False | a84f9e2aabcb4f4780f44130842fcd42 |         0.16 |
|  1102290 | 226.98300 |   7.65400 | 567.293 | 1.0306080072789096e-07 |   18.0 |   0.1023597153387274 |   60 |        0.5 | S240910ci |  1102290 |   0.1023597153387274 |      r |    10 |     120 |       1 | 15:07:55 |  07:39:14 |  30.91 | 2024-09-10T20:28:33.126 |   44.77 |     False | 97380e5f8577412680a04ef4a306d73f |         0.03 |
