|     name |        ra |       dec |     d_L |               prob_vol | stmass |    prob_vol_x_stmass | rank | confidence |       obj |     note |               weight | filter | count | exptime | binning |   ra_hms |   dec_dms | maxalt |                 transit | moonsep |                               id | fraction_obs | scheduled |
|   134862 | 227.92200 |   5.30200 | 616.884 |  9.061482812013277e-08 |  200.0 |                  1.0 |    0 |        0.5 | S240910ci |   134862 |                  1.0 |      r |    10 |     120 |       1 | 15:11:41 |  05:18:07 |  28.06 | 2024-09-16T20:08:39.494 |  108.45 | 6459367174294a9fbb8186a3eff924ba |         0.00 |     False |
|  1445476 | 240.20200 | -13.75500 | 728.919 | 2.0735746025753126e-07 |   25.0 |  0.28604095583491135 |    1 |        0.5 | S240910ci |  1445476 |  0.28604095583491135 |      r |    10 |     120 |       1 | 16:00:48 | -13:45:18 |  49.11 | 2024-09-16T20:57:46.694 |   92.02 | fdc9629c448d4e6aa9ca35b1fa83414b |         0.17 |      True |
|  1576494 | 242.94200 | -17.09500 |  733.82 | 1.6618811925272166e-07 |   30.0 |  0.27509940615103795 |    2 |        0.5 | S240910ci |  1576494 |  0.27509940615103795 |      r |    10 |     120 |       1 | 16:11:46 | -17:05:41 |  53.06 | 2024-09-16T21:08:44.294 |   88.65 | 64522d0e2b4447fd91d364c66a480a91 |         0.20 |      True |
|  1522841 | 241.83700 | -15.39300 | 716.571 | 2.4754841550076036e-07 |   19.0 |  0.25952666501472543 |    3 |        0.5 | S240910ci |  1522841 |  0.25952666501472543 |      r |    10 |     120 |       1 | 16:07:20 | -15:23:34 |   51.3 | 2024-09-16T21:04:19.094 |   90.09 | df911e7fa0604b2fac02c5f3a8e07aae |         0.17 |      True |
|  1522724 | 240.34800 | -14.03100 | 707.283 | 2.0641450098102517e-07 |   20.0 |   0.2277917355993566 |    4 |        0.5 | S240910ci |  1522724 |   0.2277917355993566 |      r |    10 |     120 |       1 | 16:01:23 | -14:01:51 |  49.37 | 2024-09-16T20:58:21.734 |   91.81 | 6373cd1cc7d44736acad669d80822456 |         0.17 |      True |
|  1522711 | 240.20000 | -13.71900 | 785.873 | 1.6548116497730607e-07 |   24.0 |  0.21914290959865879 |    5 |        0.5 | S240910ci |  1522711 |  0.21914290959865879 |      r |    10 |     120 |       1 | 16:00:48 | -13:43:08 |  49.08 | 2024-09-16T20:57:46.214 |   92.03 | 1fe931bfdf194a2fa0183e35652ea53c |         0.17 |      True |
|  1556276 | 238.54500 | -10.75900 | 617.785 | 1.9448813015739083e-07 |   20.0 |    0.214630098452987 |    6 |        0.5 | S240910ci |  1556276 |    0.214630098452987 |      r |    10 |     120 |       1 | 15:54:10 | -10:45:32 |  46.14 | 2024-09-16T20:51:09.014 |   94.33 | a64b16ded81c44e09fad730a1754b7ce |         0.13 |      True |
|   428947 | 230.21700 |   0.72000 | 626.681 |  9.658433785732263e-08 |   40.0 |  0.21317398234999207 |    7 |        0.5 | S240910ci |   428947 |  0.21317398234999207 |      r |    10 |     120 |       1 | 15:20:52 |  00:43:11 |   32.7 | 2024-09-16T20:17:50.294 |  105.19 | 07262c388a0e4f229a63c59cb3f1df1e |         0.03 |     False |
|  1466280 | 248.36600 | -21.60900 | 600.334 | 1.8363996514491376e-07 |   20.0 |  0.20265834160343302 |    8 |        0.5 | S240910ci |  1466280 |  0.20265834160343302 |      r |    10 |     120 |       1 | 16:33:27 | -21:36:32 |  59.64 | 2024-09-16T21:30:26.054 |   82.68 | 51446074731c4949a296506a0d2024ec |         0.23 |      True |
|  1259457 | 241.65200 | -14.50000 |  661.02 | 2.0597986662314444e-07 |   17.0 |   0.1932149690875115 |    9 |        0.5 | S240910ci |  1259457 |   0.1932149690875115 |      r |    10 |     120 |       1 | 16:06:36 | -14:30:00 |  50.69 | 2024-09-16T21:03:34.694 |   90.47 | af2602e0c46540c9a2b8bd8b7e5f90f8 |         0.17 |      True |
|  1576534 | 243.76400 | -17.31400 | 693.322 | 2.1694614802915715e-07 |   16.0 |  0.19153094968832968 |   10 |        0.5 | S240910ci |  1576534 |  0.19153094968832968 |      r |    10 |     120 |       1 | 16:15:03 | -17:18:50 |  53.85 | 2024-09-16T21:12:01.574 |   87.84 | d6656bbc398841c0915b468b09c522c1 |         0.20 |      True |
