#	Observing Date = 2023-04-29
#	Observatory = CBNUO
#	-18 deg sunset = 20:51
#	-18 deg sunrise = 03:58
#	Moon ra, dec = 9:20:22.25   20:57:35.35
#	Moon phase = 0.57
#	Moon seperation limit = 40
#	Altitude limit = 30
==============================================================================================================
|      name |       ra |       dec | rise(LT) | transit(LT) | set(LT) | moon_dist(deg) |                 weight | note |
| MS230428p | 10:15:11 | -16:54:32 |    18:34 |       20:19 |   22:04 |             40 |                    0.0 | 3465 |
| MS230428p | 10:15:50 | -15:49:05 |    18:25 |       20:20 |   22:15 |             39 |   0.058451389924456615 | 3782 |
| MS230428p | 10:19:06 | -18:00:00 |    18:50 |       20:23 |   21:56 |             41 |   0.006216491947012793 | 3151 |
| MS230428p | 10:19:44 | -16:54:32 |    18:39 |       20:24 |   22:09 |             40 |    0.02483146583264682 | 3466 |
| MS230428p | 10:20:22 | -15:49:05 |    18:30 |       20:24 |   22:19 |             39 |   0.001524909212365882 | 3783 |
| MS230428p | 10:23:41 | -18:00:00 |    18:55 |       20:28 |   22:01 |             41 |     0.2502538645380879 | 3152 |
| MS230428p | 10:24:18 | -16:54:32 |    18:44 |       20:28 |   22:13 |             40 |     0.3373558279788228 | 3467 |
| MS230428p | 10:24:54 | -15:49:05 |    18:34 |       20:29 |   22:24 |             39 |   0.030612345750169905 | 3784 |
| MS230428p | 10:27:27 | -14:43:38 |    18:28 |       20:32 |   22:35 |             39 |    0.32992570212927413 | 4103 |
| MS230428p | 10:27:41 | -19:05:27 |    19:11 |       20:32 |   21:53 |             43 |    0.06100161716937731 | 2840 |
| MS230428p | 10:28:16 | -18:00:00 |    18:59 |       20:32 |   22:05 |             42 |    0.15402106757148243 | 3153 |
| MS230428p | 10:28:51 | -16:54:32 |    18:48 |       20:33 |   22:18 |             41 |    0.04662338439665308 | 3468 |
| MS230428p | 10:29:26 | -15:49:05 |    18:39 |       20:33 |   22:28 |             40 |   0.010281602284560772 | 3785 |
| MS230428p | 10:31:58 | -14:43:38 |    18:33 |       20:36 |   22:39 |             39 |   0.003869311638198379 | 4104 |
| MS230428p | 10:32:18 | -19:05:27 |    19:15 |       20:36 |   21:57 |             43 |    0.35389636111564277 | 2841 |
| MS230428p | 10:32:51 | -18:00:00 |    19:04 |       20:37 |   22:10 |             42 |     0.3974100886775442 | 3154 |
| MS230428p | 10:33:25 | -16:54:32 |    18:53 |       20:37 |   22:22 |             41 |    0.12948951065077163 | 3469 |
| MS230428p | 10:33:57 | -15:49:05 |    18:43 |       20:38 |   22:33 |             40 |    0.05693745442018149 | 3786 |
| MS230428p | 10:36:29 | -14:43:38 |    18:37 |       20:40 |   22:44 |             40 |   0.009839181491668868 | 4105 |
| MS230428p | 10:36:55 | -19:05:27 |    19:20 |       20:41 |   22:02 |             44 |    0.07307126785029208 | 2842 |
| MS230428p | 10:37:00 | -13:38:10 |    18:30 |       20:41 |   22:52 |             39 |  0.0048578996838687955 | 4425 |
| MS230428p | 10:37:27 | -18:00:00 |    19:08 |       20:41 |   22:15 |             43 |    0.20783154190365116 | 3155 |
| MS230428p | 10:37:58 | -16:54:32 |    18:57 |       20:42 |   22:27 |             42 |    0.20207596952981907 | 3470 |
| MS230428p | 10:38:29 | -15:49:05 |    18:48 |       20:42 |   22:37 |             41 |   0.049170947693286504 | 3787 |
| MS230428p | 10:41:00 | -14:43:38 |    18:42 |       20:45 |   22:48 |             40 |  0.0013715212168597156 | 4106 |
| MS230428p | 10:41:01 | -20:10:54 |    19:40 |       20:45 |   21:50 |             45 |   0.020294619330251572 | 2532 |
| MS230428p | 10:41:32 | -19:05:27 |    19:24 |       20:45 |   22:07 |             44 |   0.021190946590107895 | 2843 |
| MS230428p | 10:42:02 | -18:00:00 |    19:13 |       20:46 |   22:19 |             43 |    0.13971313478802985 | 3156 |
| MS230428p | 10:42:31 | -16:54:32 |    19:02 |       20:46 |   22:31 |             42 |    0.12000748194077335 | 3471 |
| MS230428p | 10:43:01 | -15:49:05 |    18:52 |       20:47 |   22:42 |             41 |    0.04639366229206145 | 3788 |
| MS230428p | 10:45:40 | -20:10:54 |    19:44 |       20:50 |   21:55 |             46 |     0.1040479197156126 | 2533 |
| MS230428p | 10:46:09 | -19:05:27 |    19:29 |       20:50 |   22:11 |             45 |   0.015901961062400664 | 2844 |
| MS230428p | 10:46:37 | -18:00:00 |    19:17 |       20:51 |   22:24 |             44 |   0.024800033343699207 | 3157 |
| MS230428p | 10:47:05 | -16:54:32 |    19:06 |       20:51 |   22:36 |             43 |   0.009187387631993503 | 3472 |
| MS230428p | 10:50:19 | -20:10:54 |    19:49 |       20:54 |   22:00 |             46 |   0.024079628441379015 | 2534 |
| MS230428p | 10:50:46 | -19:05:27 |    19:34 |       20:55 |   22:16 |             45 |  0.0014540334675629829 | 2845 |
| MS230428p | 10:51:12 | -18:00:00 |    19:22 |       20:55 |   22:28 |             44 | 0.00020243098226898745 | 3158 |
| MS230428p | 10:54:58 | -20:10:54 |    19:54 |       20:59 |   22:04 |             47 |   0.014238348766468043 | 2535 |
==============================================================================================================
