#id,ra,dec,ra1,dec1,ra2,dec2,ra3,dec3,ra4,dec4,l,b,n_hostgalaxy,prob_vol_x_stmass,rank,confidence,obj,note,weight
1289,44.211,-36.000,45.842,-34.646,45.899,-37.331,42.523,-37.331,42.579,-34.646,239.23790022209332,-61.9954879887915,269,9.242721065282149,0,0.5,S230830b,1289,9.242721065282149
1284,28.421,-36.000,30.053,-34.646,30.109,-37.331,26.733,-37.331,26.790,-34.646,250.63191635376535,-74.07928752758619,141,7.541153811199913,1,0.5,S230830b,1284,7.541153811199913
1290,47.368,-36.000,49.000,-34.646,49.056,-37.331,45.680,-37.331,45.737,-34.646,238.4848806140122,-59.4674294879004,250,7.150046089441618,2,0.5,S230830b,1290,7.150046089441618
1641,40.645,-28.286,42.151,-26.935,42.189,-29.620,39.101,-29.620,39.140,-26.935,222.13347237986602,-65.426855161943,224,6.991703294931957,3,0.5,S230830b,1641,6.991703294931957
1397,24.615,-33.429,26.199,-32.076,26.249,-34.761,22.982,-34.761,23.031,-32.076,247.6278470711064,-78.06436772774406,171,6.955118032435337,4,0.5,S230830b,1397,6.955118032435337
1644,49.355,-28.286,50.860,-26.935,50.899,-29.620,47.811,-29.620,47.849,-26.935,223.6295711799249,-57.79132698358022,553,6.836909258297795,5,0.5,S230830b,1644,6.836909258297795
1074,50.943,-41.143,52.690,-39.787,52.763,-42.471,49.124,-42.471,49.197,-39.787,247.0978238581316,-55.847746426885706,374,6.783062000057436,6,0.5,S230830b,1074,6.783062000057436
1282,22.105,-36.000,23.737,-34.646,23.793,-37.331,20.417,-37.331,20.474,-34.646,263.6682472352184,-78.14809390692898,164,6.676227027411725,7,0.5,S230830b,1282,6.676227027411725
1181,52.364,-38.571,54.049,-37.217,54.113,-39.901,50.614,-39.901,50.678,-37.217,242.29577004095833,-55.203240278374004,370,6.2844153093098925,8,0.5,S230830b,1181,6.2844153093098925
971,49.412,-43.714,51.228,-42.357,51.311,-45.041,47.512,-45.041,47.595,-42.357,252.06796513227323,-56.2911140338532,469,6.0836893182066145,9,0.5,S230830b,971,6.0836893182066145
1405,49.231,-33.429,50.815,-32.076,50.865,-34.761,47.597,-34.761,47.647,-32.076,233.31336941086553,-58.131707052677825,333,5.6818158602401745,10,0.5,S230830b,1405,5.6818158602401745
1180,49.091,-38.571,50.776,-37.217,50.841,-39.901,47.341,-39.901,47.405,-37.217,242.98183932712772,-57.733639215671005,298,5.557218502556301,11,0.5,S230830b,1180,5.557218502556301
1522,47.603,-30.857,49.145,-29.505,49.189,-32.190,46.017,-32.190,46.061,-29.505,228.33926336386563,-59.50421357803235,357,5.536759004559787,12,0.5,S230830b,1522,5.536759004559787
1398,27.692,-33.429,29.276,-32.076,29.326,-34.761,26.059,-34.761,26.108,-32.076,242.74449137210777,-75.74495761753008,134,5.399479873032152,13,0.5,S230830b,1398,5.399479873032152
1179,45.818,-38.571,47.504,-37.217,47.568,-39.901,44.069,-39.901,44.133,-37.217,243.95156341473032,-60.24304624898532,320,5.255241306142456,14,0.5,S230830b,1179,5.255241306142456
