|         obj |           ra |          dec |  dist |  ebv | muvmag | maxaxis | minaxis | priority |      note |    exptime |     filter |      count |    binning |
|         M99 | 12:18:49.608 | +14:24:59.40 |  17.0 | 0.04 | -19.21 |     4.5 |     4.3 |      1.0 |   NGC4254 |    120,120 |        g,r |        5,5 |        1,1 |
|     NGC4303 | 12:21:54.888 | +04:28:25.10 |  17.0 | 0.02 |  -19.4 |     4.7 |     3.5 |      1.0 |       M61 |    120,120 |        g,r |        5,5 |        1,1 |
|     NGC4314 | 12:22:31.980 | +29:53:43.48 |  44.0 | 0.02 | -18.46 |     4.2 |     3.7 |      1.0 |      new+ |    120,120 |        g,r |        5,5 |        1,1 |
|     NGC4321 | 12:22:54.888 | +15:49:20.60 |  18.0 | 0.03 | -19.21 |     7.3 |     5.7 |      1.0 |      M100 |    120,120 |        g,r |        5,5 |        1,1 |
|     NGC4500 | 12:31:22.152 | +57:57:52.81 |  48.0 | 0.01 | -18.47 |     1.6 |     1.0 |      1.0 |      new+ |    120,120 |        g,r |        5,5 |        1,1 |
|     NGC4653 | 12:43:50.916 | -00:33:40.54 |  39.0 | 0.02 | -18.66 |     1.8 |     1.4 |      1.0 |      new+ |    120,120 |        g,r |        5,5 |        1,1 |
|     NGC4814 | 12:55:21.936 | +58:20:38.80 |  40.0 | 0.01 | -18.53 |     3.1 |     2.3 |      1.0 |      new+ |    120,120 |        g,r |        5,5 |        1,1 |
|     NGC4993 | 13:09:47.710 | -23:23:01.80 |  99.0 | 0.99 | -99.99 |     9.9 |     9.9 |      1.0 |        GW |    120,120 |        g,r |        5,5 |        1,1 |
|        M51a | 13:29:52.704 | +47:11:42.61 |   8.4 | 0.04 | -19.26 |    12.0 |     6.5 |      1.0 | NGC5194+5 |    120,120 |        g,r |        5,5 |        1,1 |
|         M83 | 13:37:00.912 | -29:51:56.70 |   4.5 | 0.07 | -18.76 |    12.2 |     9.4 |      1.0 |   NGC5236 |    120,120 |        g,r |        5,5 |        1,1 |
|     NGC5371 | 13:55:39.936 | +40:27:42.00 |  29.4 | 0.01 | -18.98 |     4.4 |     3.5 |      1.0 |       add |    120,120 |        g,r |        5,5 |        1,1 |
|        M101 | 14:03:12.600 | +54:20:56.69 |   7.5 | 0.01 | -19.57 |    13.9 |    13.8 |      1.0 |   NGC5457 |    120,120 |        g,r |        5,5 |        1,1 |
|     NGC5430 | 14:00:45.720 | +59:19:42.24 |  47.0 | 0.01 |  -18.7 |     2.7 |     1.1 |      1.0 |      new+ |    120,120 |        g,r |        5,5 |        1,1 |
|     NGC5584 | 14:22:23.772 | -00:23:15.32 |  25.0 | 0.04 | -18.43 |     2.5 |     1.7 |      1.0 |      new+ |    120,120 |        g,r |        5,5 |        1,1 |
|     NGC5668 | 14:33:24.300 | +04:27:01.19 |  25.0 | 0.03 | -18.72 |     3.3 |     3.0 |      1.0 |      new+ |    120,120 |        g,r |        5,5 |        1,1 |
|     NGC5850 | 15:07:07.644 | +01:32:40.74 |  38.0 | 0.03 | -18.65 |     4.3 |     3.7 |      1.0 |      new+ |    120,120 |        g,r |        5,5 |        1,1 |
|     NGC5962 | 15:36:31.704 | +16:36:28.30 |  30.0 | 0.05 |  -18.8 |     1.8 |     1.2 |      1.0 |      none |    120,120 |        g,r |        5,5 |        1,1 |
|     NGC6070 | 16:09:58.680 | +00:42:34.31 |  27.0 | 0.13 | -18.58 |     3.5 |     1.9 |      1.0 |      new+ |    120,120 |        g,r |        5,5 |        1,1 |
|     NGC6555 | 18:07:49.188 | +17:36:17.53 |  35.0 | 0.09 | -18.54 |     2.0 |     1.5 |      1.0 |      new+ |    120,120 |        g,r |        5,5 |        1,1 |
| ESO182-G010 | 18:18:30.600 | -54:41:39.41 |  49.0 |  0.1 |  -19.0 |     1.9 |     1.4 |      1.0 |      new+ |    120,120 |        g,r |        5,5 |        1,1 |
|     NGC6744 | 19:09:45.900 | -63:51:27.72 |   9.3 | 0.04 | -19.05 |    20.0 |    12.9 |      1.0 |      new+ |    120,120 |        g,r |        5,5 |        1,1 |
|     NGC6814 | 19:42:40.608 | -10:19:25.32 |  23.0 | 0.16 | -18.61 |     3.0 |     2.8 |      1.0 |      new+ |    120,120 |        g,r |        5,5 |        1,1 |
|     NGC6946 | 20:34:52.300 | +60:09:14.00 |  5.96 | 9.99 | -19.13 |    11.9 |     8.3 |      1.0 |     low-b |    120,120 |        g,r |        5,5 |        1,1 |
|     NGC6951 | 20:37:14.088 | +66:06:20.30 |  24.0 | 0.37 | -18.47 |     3.0 |     1.9 |      1.0 |      none |    120,120 |        g,r |        5,5 |        1,1 |
|     NGC7083 | 21:35:44.592 | -63:54:09.79 |  34.0 | 0.04 | -18.98 |     3.9 |     2.3 |      1.0 |      new+ |    120,120 |        g,r |        5,5 |        1,1 |
|     NGC7479 | 23:04:56.688 | +12:19:22.40 |  35.0 | 0.11 | -19.26 |     3.0 |     0.9 |      1.0 |      none |    120,120 |        g,r |        5,5 |        1,1 |
|     NGC7552 | 23:16:10.776 | -42:35:03.41 |  29.0 | 0.01 | -18.84 |     3.4 |     2.7 |      1.0 |      new+ |    120,120 |        g,r |        5,5 |        1,1 |
|     NGC7714 | 23:36:14.112 | +02:09:18.07 |  41.0 | 0.05 | -19.18 |     1.9 |     1.4 |      0.0 |      new+ |    120,120 |        g,r |        5,5 |        1,1 |
|     NGC0628 | 01:36:41.801 | +15:47:00.49 |  11.0 | 0.07 |  -18.8 |     6.8 |     5.9 |      1.1 |       M74 |    120,120 |        g,r |        5,5 |        1,1 |
|     NGC1068 | 02:42:40.699 | -00:00:47.80 |  14.0 | 0.03 | -18.78 |     2.2 |     1.8 |      1.1 |       M77 |    120,120 |        g,r |        5,5 |        1,1 |
|         M95 | 10:43:57.730 | +11:42:13.00 |  10.0 | 0.03 | -17.26 |     7.2 |     4.5 |      1.1 |   NGC3351 |    120,120 |        g,r |        5,5 |        1,1 |
|         M66 | 11:20:15.030 | +12:59:28.60 |   9.5 | 0.02 | -17.88 |     9.1 |     4.2 |      1.1 |   NGC3627 |    120,120 |        g,r |        5,5 |        1,1 |
|         M98 | 12:13:48.290 | +14:54:01.70 |  15.4 | 0.04 | -17.48 |    11.0 |     2.6 |      1.1 |   NGC4192 |    120,120 |        g,r |        5,5 |        1,1 |
|         M86 | 12:26:11.810 | +12:56:45.50 |  15.9 | 0.03 | -17.21 |    11.5 |     8.3 |      1.1 |   NGC4406 |    120,120 |        g,r |        5,5 |        1,1 |
|         M87 | 12:30:49.420 | +12:23:28.00 |  16.4 | 0.02 | -17.35 |     7.1 |     6.6 |      1.1 |   NGC4486 |    120,120 |        g,r |        5,5 |        1,1 |
|         M91 | 12:35:26.430 | +14:29:46.70 |  16.4 | 0.04 | -17.13 |     5.4 |     4.3 |      1.1 |   NGC4548 |    120,120 |        g,r |        5,5 |        1,1 |
|         M90 | 12:36:49.820 | +13:09:46.30 |  12.3 | 0.05 | -17.27 |     9.5 |     4.4 |      1.1 |   NGC4569 |    120,120 |        g,r |        5,5 |        1,1 |
|         M58 | 12:37:43.600 | +11:49:05.10 |  19.2 | 0.04 |  -17.7 |     5.9 |     4.7 |      1.1 |   NGC4579 |    120,120 |        g,r |        5,5 |        1,1 |
|         M64 | 12:56:43.800 | +21:40:51.89 |  17.0 | 0.04 | -18.68 |     6.9 |     3.9 |      1.1 |   NGC4826 |    120,120 |        g,r |        5,5 |        1,1 |
|         M63 | 13:15:49.330 | +42:01:45.40 |   8.0 | 0.02 | -17.65 |    12.6 |     7.2 |      1.1 |   NGC5055 |    120,120 |        g,r |        5,5 |        1,1 |
|     NGC0514 | 01:24:03.900 | +12:55:02.60 |  36.0 | 0.04 | -18.57 |     2.7 |     1.8 |      1.5 |      none |    120,120 |        g,r |        5,5 |        1,1 |
|     NGC0772 | 01:59:19.601 | +19:00:27.11 |  36.0 | 0.07 | -19.24 |     4.8 |     3.8 |      1.5 |      none |    120,120 |        g,r |        5,5 |        1,1 |
|     NGC1084 | 02:45:59.899 | -07:34:43.10 |  19.0 | 0.03 | -18.42 |     2.7 |     1.6 |      1.5 |      none |    120,120 |        g,r |        5,5 |        1,1 |
|     NGC1385 | 03:37:28.301 | -24:30:04.68 |  19.0 | 0.02 | -18.52 |     2.5 |     2.0 |      1.5 |      none |    120,120 |        g,r |        5,5 |        1,1 |
|     NGC1566 | 04:20:00.398 | -54:56:16.12 |  17.0 | 0.01 | -19.29 |     4.5 |     4.3 |      1.5 |      none |    120,120 |        g,r |        5,5 |        1,1 |
|     NGC4490 | 12:30:36.408 | +41:38:37.10 |  11.0 | 0.02 | -18.67 |     5.3 |     2.3 |      1.5 |      none |    120,120 |        g,r |        5,5 |        1,1 |
|     NGC4559 | 12:35:57.696 | +27:57:35.10 |  17.0 | 0.02 | -19.28 |     6.7 |     3.2 |      1.5 |      none |    120,120 |        g,r |        5,5 |        1,1 |
|     NGC4631 | 12:42:07.992 | +32:32:29.40 |   9.0 | 0.02 | -18.42 |     9.3 |     2.8 |      1.5 |      none |    120,120 |        g,r |        5,5 |        1,1 |
|     NGC5033 | 13:13:27.400 | +36:35:38.00 |  19.6 | 9.99 | -18.49 |     3.8 |     1.7 |      1.5 |       add |    120,120 |        g,r |        5,5 |        1,1 |
|     NGC5350 | 13:53:21.600 | +40:21:50.00 |  31.3 | 9.99 | -18.92 |     2.4 |     2.1 |      1.5 |       add |    120,120 |        g,r |        5,5 |        1,1 |
|     NGC5427 | 14:03:26.000 | -06:01:51.00 |  33.8 | 9.99 | -19.44 |     2.4 |     2.1 |      1.5 |       add |    120,120 |        g,r |        5,5 |        1,1 |
|     NGC6902 | 20:24:28.104 | -43:39:12.71 |  38.0 | 0.04 | -19.24 |     2.5 |     1.9 |      1.5 |      none |    120,120 |        g,r |        5,5 |        1,1 |
