#id,ra,dec,ra1,dec1,ra2,dec2,ra3,dec3,ra4,dec4,l,b,n_hostgalaxy,prob_vol_x_stmass,rank,confidence,obj,note,weight
13530,28.293,-36.079,28.800,-35.666,28.805,-36.490,27.780,-36.490,27.786,-35.666,251.07132368824077,-74.13007645687422,22,2.6151646302742635,0,0.5,S230830b,13530,2.6151646302742635
13160,23.671,-36.872,24.183,-36.459,24.189,-37.283,23.153,-37.283,23.159,-36.459,262.4354332893667,-76.63952070913392,21,2.6043948740482477,1,0.5,S230830b,13160,2.6043948740482477
13182,45.370,-36.872,45.882,-36.459,45.888,-37.283,44.852,-37.283,44.858,-36.459,240.70297923117124,-60.92732833865956,58,2.423719726174942,2,0.5,S230830b,13182,2.423719726174942
11073,50.526,-41.630,51.074,-41.217,51.081,-42.041,49.972,-42.041,49.979,-41.217,248.06880868269045,-56.046670100546464,109,2.324833270014306,3,0.5,S230830b,11073,2.324833270014306
14646,25.579,-33.700,26.072,-33.287,26.077,-34.111,25.081,-34.111,25.086,-33.287,246.97707064494446,-77.22818964444367,27,2.125334082127905,4,0.5,S230830b,14646,2.125334082127905
14288,43.085,-34.493,43.583,-34.080,43.587,-34.904,42.583,-34.904,42.588,-34.080,236.30168416557208,-63.12907506115805,36,2.002768970742114,5,0.5,S230830b,14288,2.002768970742114
15814,42.462,-31.322,42.942,-30.909,42.946,-31.733,41.977,-31.733,41.981,-30.909,229.30297952009985,-63.90794603250588,63,1.9801422208374697,6,0.5,S230830b,15814,1.9801422208374697
14287,42.128,-34.493,42.625,-34.080,42.630,-34.904,41.625,-34.904,41.630,-34.080,236.54698834060025,-63.91057607194923,36,1.9738058544338597,7,0.5,S230830b,14287,1.9738058544338597
13184,47.342,-36.872,47.855,-36.459,47.860,-37.283,46.825,-37.283,46.830,-36.459,240.18919163113415,-59.37017038012222,49,1.9494167642518754,8,0.5,S230830b,13184,1.9494167642518754
15420,35.440,-32.115,35.925,-31.702,35.929,-32.526,34.952,-32.526,34.956,-31.702,232.64360704922925,-69.7890634184088,16,1.922098226763874,9,0.5,S230830b,15420,1.922098226763874
17392,41.194,-28.150,41.660,-27.737,41.663,-28.561,40.725,-28.561,40.729,-27.737,221.89403184642634,-64.93463165950999,29,1.804761043088316,10,0.5,S230830b,17392,1.804761043088316
12116,53.898,-39.251,54.427,-38.838,54.433,-39.662,53.363,-39.662,53.369,-38.838,243.20446652591977,-53.93420529259854,92,1.7691061189195258,11,0.5,S230830b,12116,1.7691061189195258
18200,41.471,-26.564,41.930,-26.151,41.933,-26.975,41.008,-26.975,41.012,-26.151,218.26096942324753,-64.52158845727197,31,1.7524940618965,12,0.5,S230830b,18200,1.7524940618965
15025,24.439,-32.907,24.927,-32.495,24.932,-33.319,23.946,-33.319,23.950,-32.495,245.7044996915624,-78.43866344099018,29,1.609213914584605,13,0.5,S230830b,15025,1.609213914584605
14272,27.766,-34.493,28.263,-34.080,28.268,-34.904,27.264,-34.904,27.269,-34.080,246.52743192663607,-75.25410292022599,24,1.5924009792041418,14,0.5,S230830b,14272,1.5924009792041418
10071,49.240,-44.009,49.809,-43.595,49.817,-44.419,48.663,-44.419,48.671,-43.595,252.64141631518163,-56.32036463901714,109,1.584491268055834,15,0.5,S230830b,10071,1.584491268055834
17793,40.000,-27.357,40.462,-26.944,40.466,-27.768,39.534,-27.768,39.538,-26.944,219.7696226932216,-65.9170329533542,25,1.531211145017528,16,0.5,S230830b,17793,1.531211145017528
20261,36.857,-22.599,37.302,-22.187,37.305,-23.011,36.410,-23.011,36.412,-22.187,206.46228218344797,-67.79770344381303,15,1.3365500725830302,17,0.5,S230830b,20261,1.3365500725830302
15024,23.499,-32.907,23.987,-32.495,23.992,-33.319,23.006,-33.319,23.010,-32.495,247.61918198233255,-79.13453349795815,23,1.3053194151473582,18,0.5,S230830b,15024,1.3053194151473582
11057,33.684,-41.630,34.232,-41.217,34.239,-42.041,33.129,-42.041,33.137,-41.217,258.6712298338635,-67.62056498444035,35,1.2403646902860817,19,0.5,S230830b,11057,1.2403646902860817
15049,46.997,-32.907,47.486,-32.495,47.490,-33.319,46.504,-33.319,46.509,-32.495,232.41238103517466,-60.016415137991245,38,1.2391515910631359,20,0.5,S230830b,15049,1.2391515910631359
18199,40.588,-26.564,41.047,-26.151,41.051,-26.975,40.126,-26.975,40.129,-26.151,218.0107651527891,-65.30363441721855,21,1.2170995810665899,21,0.5,S230830b,18199,1.2170995810665899
19019,41.840,-24.978,42.293,-24.565,42.296,-25.389,41.384,-25.389,41.387,-24.565,214.78844893978706,-63.93252832380126,20,1.2043662980574565,22,0.5,S230830b,19019,1.2043662980574565
