name ra dec d_L prob_vol stmass prob_vol_x_stmass rank confidence obj note weight
134862 227.922 5.302 616.884 2.9178539112205126e-08 200.0 1.0 0 0.5 S240910ci 134862 1.0
389375 16.949 73.207 693.235 3.7840539081846156e-08 60.0 0.389056130516236 1 0.5 S240910ci 389375 0.389056130516236
1099421 231.675 0.891 557.875 5.961075042234533e-08 30.0 0.3064420244586699 2 0.5 S240910ci 1099421 0.3064420244586699
1095899 229.891 4.338 486.544 5.330587692180868e-08 26.0 0.23749214645027153 3 0.5 S240910ci 1095899 0.23749214645027153
297577 12.291 70.989 498.09 4.5284897542493595e-08 28.0 0.21727589330463537 4 0.5 S240910ci 297577 0.21727589330463537
152369 13.801 71.416 526.446 5.985623227168755e-08 21.0 0.21539158066290184 5 0.5 S240910ci 152369 0.21539158066290184
282606 16.976 75.965 543.495 5.959411422173043e-08 21.0 0.21444833581381695 6 0.5 S240910ci 282606 0.21444833581381695
265192 355.405 87.929 538.139 6.19942240150161e-08 20.0 0.21246195032977835 7 0.5 S240910ci 265192 0.21246195032977835
428947 230.217 0.72 626.681 3.080805056744763e-08 40.0 0.21116605127806526 8 0.5 S240910ci 428947 0.21116605127806526
1260546 243.028 -15.431 600.778 4.7171493823084415e-08 26.0 0.21016133904363304 9 0.5 S240910ci 1260546 0.21016133904363304
1259448 240.45 -13.356 560.512 5.3164929040142176e-08 23.0 0.20953322563649007 10 0.5 S240910ci 1259448 0.20953322563649007
1133094 231.889 0.018 604.38 5.8009535089793806e-08 21.0 0.20874614893881474 11 0.5 S240910ci 1133094 0.20874614893881474
152349 11.349 53.889 496.907 4.2951459977945386e-08 28.0 0.20607990501472093 12 0.5 S240910ci 152349 0.20607990501472093
266062 16.05 72.679 642.946 5.6973364469604384e-08 21.0 0.20501743738908862 13 0.5 S240910ci 266062 0.20501743738908862
238160 16.233 78.726 613.356 5.642615311769267e-08 21.0 0.2030482701030664 14 0.5 S240910ci 238160 0.2030482701030664
242441 16.106 70.337 512.357 5.1086923616426287e-08 23.0 0.20134324769660547 15 0.5 S240910ci 242441 0.20134324769660547
296372 9.69 45.759 623.398 4.1827806156246834e-08 28.0 0.20068853940854905 16 0.5 S240910ci 296372 0.20068853940854905
798012 231.595 0.894 612.466 5.6773488668269355e-08 20.0 0.19456949700102963 17 0.5 S240910ci 798012 0.19456949700102963
191520 13.084 79.526 441.99 5.146524305068258e-08 22.0 0.19401524729398317 18 0.5 S240910ci 191520 0.19401524729398317
1576494 242.942 -17.095 733.82 3.753959411773118e-08 30.0 0.19297894659802647 19 0.5 S240910ci 1576494 0.19297894659802647
1556276 238.545 -10.759 617.785 5.615675627106265e-08 20.0 0.19245583773649244 20 0.5 S240910ci 1556276 0.19245583773649244
1133971 232.176 1.331 548.424 4.458755996227517e-08 25.0 0.1910085136360911 21 0.5 S240910ci 1133971 0.1910085136360911
1654384 236.791 -7.739 558.751 5.565833732346999e-08 20.0 0.19074766117406183 22 0.5 S240910ci 1654384 0.19074766117406183
152379 15.077 72.626 510.613 6.10703733907301e-08 18.0 0.18836575958483795 23 0.5 S240910ci 152379 0.18836575958483795
1375378 233.438 -3.773 374.074 2.64187909610612e-08 40.0 0.18108039573761758 24 0.5 S240910ci 1375378 0.18108039573761758
1128310 228.833 4.385 479.784 4.7602181094424136e-08 22.0 0.17945185415404186 25 0.5 S240910ci 1128310 0.17945185415404186
1106141 225.016 13.463 534.877 4.166762051525806e-08 25.0 0.17849952859649273 26 0.5 S240910ci 1106141 0.17849952859649273
1556234 237.874 -9.148 694.163 4.7119303364808296e-08 22.0 0.17763144891732932 27 0.5 S240910ci 1556234 0.17763144891732932
296387 9.984 46.357 696.83 3.968408928126572e-08 26.0 0.17680235115280593 28 0.5 S240910ci 296387 0.17680235115280593
192476 213.779 86.009 452.95 6.0401016799941e-08 17.0 0.1759508596128694 29 0.5 S240910ci 192476 0.1759508596128694
1130858 230.494 3.628 522.295 5.36732850596773e-08 19.0 0.17474708140254808 30 0.5 S240910ci 1130858 0.17474708140254808
296331 8.346 46.447 653.652 3.75281285654175e-08 27.0 0.1736275991516848 31 0.5 S240910ci 296331 0.1736275991516848
1466280 248.366 -21.609 600.334 5.0080452927515914e-08 20.0 0.17163119010261502 32 0.5 S240910ci 1466280 0.17163119010261502
266052 15.372 72.824 693.189 4.998143437461981e-08 20.0 0.17129183468260167 33 0.5 S240910ci 266052 0.17129183468260167
1100149 231.578 2.327 533.643 4.326609415248557e-08 23.0 0.17051925655093486 34 0.5 S240910ci 1100149 0.17051925655093486
266051 15.495 72.89 660.032 5.424630755474248e-08 18.0 0.1673171248167642 35 0.5 S240910ci 266051 0.1673171248167642
1445476 240.202 -13.755 728.919 3.88792831789841e-08 25.0 0.16655432539701 36 0.5 S240910ci 1445476 0.16655432539701
238173 17.795 81.503 465.625 5.310451587509621e-08 18.0 0.16379530122600133 37 0.5 S240910ci 238173 0.16379530122600133
1550254 233.373 -2.99 609.208 5.60634830365159e-08 17.0 0.1633151391675744 38 0.5 S240910ci 1550254 0.1633151391675744
292530 12.052 57.649 692.657 5.00047921303849e-08 19.0 0.16280308932931356 39 0.5 S240910ci 292530 0.16280308932931356
261502 18.653 80.595 592.478 4.739382391425627e-08 20.0 0.16242360131699213 40 0.5 S240910ci 261502 0.16242360131699213
1128220 230.408 3.552 614.209 4.9345764843729156e-08 19.0 0.1606574080265068 41 0.5 S240910ci 1128220 0.1606574080265068
1653843 243.028 -15.431 590.388 4.667788216629431e-08 20.0 0.1599699327318771 42 0.5 S240910ci 1653843 0.1599699327318771
1086586 230.693 1.866 430.611 4.389948007390722e-08 21.0 0.15797041366908784 43 0.5 S240910ci 1086586 0.15797041366908784
1081828 231.345 0.321 573.255 5.7510507438614316e-08 16.0 0.15767551036735955 44 0.5 S240910ci 1081828 0.15767551036735955
1130831 229.165 2.787 525.886 3.830403377780781e-08 24.0 0.15752620339276888 45 0.5 S240910ci 1130831 0.15752620339276888
1554675 233.718 -2.783 688.036 4.5929375960759996e-08 20.0 0.15740465955495825 46 0.5 S240910ci 1554675 0.15740465955495825
1100007 230.532 1.942 589.207 5.7339500083367645e-08 16.0 0.15720665057357125 47 0.5 S240910ci 1100007 0.15720665057357125
152351 11.906 53.593 616.146 5.3918340171186744e-08 17.0 0.1570660983439441 48 0.5 S240910ci 152351 0.1570660983439441
1216150 232.87 -1.12 687.68 4.356478588206951e-08 21.0 0.15676599996113755 49 0.5 S240910ci 1216150 0.15676599996113755
1259457 241.652 -14.5 661.02 5.3678643832084294e-08 17.0 0.15636783612908875 50 0.5 S240910ci 1259457 0.15636783612908875
265884 11.036 82.571 436.578 5.065033314875198e-08 18.0 0.15622544520431494 51 0.5 S240910ci 265884 0.15622544520431494
288774 14.574 70.35 569.967 6.503576500124148e-08 14.0 0.15601890786922457 52 0.5 S240910ci 288774 0.15601890786922457
1079117 227.734 5.745 365.443 2.4603124127068635e-08 37.0 0.15598718625613708 53 0.5 S240910ci 1079117 0.15598718625613708
1653757 243.292 -17.402 471.459 3.0176133567738356e-08 30.0 0.1551249761862928 54 0.5 S240910ci 1653757 0.1551249761862928
1134053 231.568 1.437 553.328 5.649621187818575e-08 16.0 0.15489456327524787 55 0.5 S240910ci 1134053 0.15489456327524787
1247152 236.597 -8.114 580.627 5.592192857945879e-08 16.0 0.15332002077309173 56 0.5 S240910ci 1247152 0.15332002077309173
242635 13.318 79.614 494.409 6.384533546080073e-08 14.0 0.15316302790113906 57 0.5 S240910ci 242635 0.15316302790113906
1132582 228.809 4.386 448.921 4.4199703226574795e-08 20.0 0.15147674200792097 58 0.5 S240910ci 1132582 0.15147674200792097
1522724 240.348 -14.031 707.283 4.3961403970886375e-08 20.0 0.1506600451199361 59 0.5 S240910ci 1522724 0.1506600451199361
1260160 235.413 -5.231 804.902 2.3121855803573146e-08 38.0 0.15055764772094618 60 0.5 S240910ci 1260160 0.15055764772094618
288764 13.91 70.812 677.964 5.47238535927722e-08 16.0 0.15003519603329887 61 0.5 S240910ci 288764 0.15003519603329887
1101780 228.502 6.721 605.268 4.851752756389384e-08 18.0 0.14964686773071562 62 0.5 S240910ci 1101780 0.14964686773071562
266047 15.434 71.882 674.761 5.423322935578718e-08 16.0 0.14869002594837163 63 0.5 S240910ci 266047 0.14869002594837163
1495036 251.641 -24.462 655.642 4.328433345273737e-08 20.0 0.1483395956350179 64 0.5 S240910ci 1495036 0.1483395956350179
227282 221.729 87.844 441.28 6.173764670268594e-08 14.0 0.14810661263356228 65 0.5 S240910ci 227282 0.14810661263356228
1576484 242.752 -14.708 640.566 4.318559291795835e-08 20.0 0.14800119303598744 66 0.5 S240910ci 1576484 0.14800119303598744
266018 14.001 75.958 558.335 6.637566760549505e-08 13.0 0.14785927660230636 67 0.5 S240910ci 266018 0.14785927660230636
