# t        U        B        V        R       
  0.1100  -9.6559  -9.6575  -9.8302  -9.9092
  0.1105  -9.7512  -9.7509  -9.9092  -9.9803
  0.1110  -9.8358  -9.8335  -9.9775 -10.0415
  0.1115  -9.9130  -9.9077 -10.0380 -10.0967
  0.1120  -9.9854  -9.9771 -10.0938 -10.1489
  0.1125 -10.0506 -10.0380 -10.1440 -10.1951
  0.1130 -10.1123 -10.0968 -10.1910 -10.2390
  0.1135 -10.1701 -10.1512 -10.2355 -10.2801
  0.1140 -10.2254 -10.2032 -10.2770 -10.3193
  0.1146 -10.2769 -10.2508 -10.3166 -10.3561
  0.1151 -10.3266 -10.2967 -10.3542 -10.3921
  0.1156 -10.3732 -10.3399 -10.3902 -10.4260
  0.1161 -10.4178 -10.3813 -10.4247 -10.4583
  0.1166 -10.4613 -10.4218 -10.4578 -10.4895
  0.1172 -10.5022 -10.4590 -10.4901 -10.5198
  0.1177 -10.5412 -10.4948 -10.5209 -10.5489
  0.1182 -10.5791 -10.5301 -10.5510 -10.5774
  0.1188 -10.6139 -10.5635 -10.5793 -10.6042
  0.1193 -10.6483 -10.5957 -10.6067 -10.6303
  0.1199 -10.6822 -10.6272 -10.6339 -10.6563
  0.1204 -10.7153 -10.6576 -10.6605 -10.6820
  0.1209 -10.7467 -10.6872 -10.6861 -10.7060
  0.1215 -10.7762 -10.7150 -10.7104 -10.7295
  0.1220 -10.8060 -10.7430 -10.7347 -10.7531
  0.1226 -10.8339 -10.7697 -10.7582 -10.7758
  0.1231 -10.8617 -10.7964 -10.7817 -10.7985
  0.1237 -10.8892 -10.8207 -10.8044 -10.8193
  0.1243 -10.9157 -10.8456 -10.8265 -10.8402
  0.1248 -10.9418 -10.8708 -10.8483 -10.8614
  0.1254 -10.9672 -10.8942 -10.8696 -10.8816
  0.1260 -10.9926 -10.9177 -10.8909 -10.9020
  0.1265 -11.0167 -10.9409 -10.9116 -10.9218
  0.1271 -11.0400 -10.9639 -10.9319 -10.9412
  0.1277 -11.0640 -10.9858 -10.9524 -10.9602
  0.1282 -11.0867 -11.0069 -10.9720 -10.9787
  0.1288 -11.1083 -11.0280 -10.9908 -10.9970
  0.1294 -11.1295 -11.0487 -11.0094 -11.0150
  0.1300 -11.1507 -11.0694 -11.0281 -11.0332
  0.1306 -11.1721 -11.0902 -11.0468 -11.0514
  0.1312 -11.1930 -11.1107 -11.0653 -11.0692
  0.1318 -11.2133 -11.1306 -11.0833 -11.0865
  0.1324 -11.2335 -11.1504 -11.1010 -11.1037
  0.1330 -11.2533 -11.1698 -11.1184 -11.1206
  0.1336 -11.2733 -11.1893 -11.1357 -11.1374
  0.1342 -11.2935 -11.2089 -11.1530 -11.1540
  0.1348 -11.3134 -11.2280 -11.1702 -11.1703
  0.1354 -11.3326 -11.2451 -11.1868 -11.1854
  0.1360 -11.3517 -11.2623 -11.2036 -11.2007
  0.1366 -11.3711 -11.2799 -11.2204 -11.2162
  0.1372 -11.3899 -11.2986 -11.2370 -11.2321
  0.1379 -11.4072 -11.3155 -11.2525 -11.2472
  0.1385 -11.4246 -11.3326 -11.2681 -11.2623
  0.1391 -11.4420 -11.3497 -11.2838 -11.2775
  0.1397 -11.4592 -11.3664 -11.2989 -11.2922
  0.1404 -11.4766 -11.3832 -11.3140 -11.3068
  0.1410 -11.4940 -11.4001 -11.3292 -11.3215
  0.1416 -11.5110 -11.4166 -11.3441 -11.3358
  0.1423 -11.5279 -11.4331 -11.3590 -11.3501
  0.1429 -11.5450 -11.4496 -11.3739 -11.3644
  0.1436 -11.5620 -11.4665 -11.3890 -11.3787
  0.1442 -11.5791 -11.4835 -11.4042 -11.3930
  0.1449 -11.5947 -11.4989 -11.4182 -11.4065
  0.1455 -11.6096 -11.5136 -11.4317 -11.4196
  0.1462 -11.6247 -11.5284 -11.4453 -11.4327
  0.1468 -11.6398 -11.5433 -11.4589 -11.4460
  0.1475 -11.6550 -11.5583 -11.4726 -11.4593
  0.1482 -11.6702 -11.5732 -11.4863 -11.4725
  0.1489 -11.6853 -11.5878 -11.4997 -11.4853
  0.1495 -11.7005 -11.6025 -11.5131 -11.4982
  0.1502 -11.7158 -11.6172 -11.5267 -11.5112
  0.1509 -11.7311 -11.6321 -11.5403 -11.5242
  0.1516 -11.7459 -11.6465 -11.5534 -11.5368
  0.1522 -11.7605 -11.6607 -11.5665 -11.5493
  0.1529 -11.7752 -11.6750 -11.5796 -11.5618
  0.1536 -11.7899 -11.6894 -11.5927 -11.5743
  0.1543 -11.8047 -11.7039 -11.6059 -11.5869
  0.1550 -11.8198 -11.7186 -11.6192 -11.5993
  0.1557 -11.8350 -11.7333 -11.6326 -11.6118
  0.1564 -11.8502 -11.7481 -11.6460 -11.6243
  0.1571 -11.8652 -11.7622 -11.6594 -11.6364
  0.1578 -11.8794 -11.7743 -11.6728 -11.6471
  0.1586 -11.8936 -11.7864 -11.6862 -11.6578
  0.1593 -11.9078 -11.7986 -11.6997 -11.6686
  0.1600 -11.9218 -11.8113 -11.7127 -11.6797
  0.1607 -11.9352 -11.8245 -11.7248 -11.6911
  0.1615 -11.9487 -11.8377 -11.7370 -11.7025
  0.1622 -11.9622 -11.8510 -11.7492 -11.7140
  0.1629 -11.9759 -11.8643 -11.7615 -11.7255
  0.1637 -11.9898 -11.8775 -11.7739 -11.7370
  0.1644 -12.0037 -11.8908 -11.7864 -11.7485
  0.1651 -12.0177 -11.9041 -11.7989 -11.7602
  0.1659 -12.0311 -11.9170 -11.8109 -11.7713
  0.1666 -12.0442 -11.9297 -11.8227 -11.7823
  0.1674 -12.0574 -11.9424 -11.8345 -11.7934
  0.1681 -12.0707 -11.9552 -11.8465 -11.8045
  0.1689 -12.0840 -11.9680 -11.8584 -11.8156
  0.1697 -12.0974 -11.9810 -11.8704 -11.8268
  0.1704 -12.1098 -11.9929 -11.8816 -11.8372
  0.1712 -12.1222 -12.0048 -11.8928 -11.8476
  0.1720 -12.1346 -12.0167 -11.9040 -11.8581
  0.1728 -12.1471 -12.0287 -11.9153 -11.8685
  0.1735 -12.1597 -12.0408 -11.9266 -11.8791
  0.1743 -12.1723 -12.0529 -11.9380 -11.8897
  0.1751 -12.1849 -12.0651 -11.9495 -11.9003
  0.1759 -12.1975 -12.0772 -11.9608 -11.9109
  0.1767 -12.2099 -12.0889 -11.9719 -11.9210
  0.1775 -12.2222 -12.1007 -11.9830 -11.9313
  0.1783 -12.2347 -12.1126 -11.9941 -11.9415
  0.1791 -12.2471 -12.1245 -12.0053 -11.9518
  0.1799 -12.2597 -12.1365 -12.0165 -11.9622
  0.1807 -12.2723 -12.1485 -12.0278 -11.9726
  0.1816 -12.2849 -12.1606 -12.0392 -11.9831
  0.1824 -12.2985 -12.1735 -12.0511 -11.9938
  0.1832 -12.3124 -12.1867 -12.0632 -12.0048
  0.1840 -12.3263 -12.2000 -12.0753 -12.0157
  0.1849 -12.3385 -12.2117 -12.0863 -12.0258
  0.1857 -12.3504 -12.2231 -12.0971 -12.0358
  0.1865 -12.3623 -12.2345 -12.1080 -12.0458
  0.1874 -12.3743 -12.2460 -12.1189 -12.0558
  0.1882 -12.3863 -12.2576 -12.1298 -12.0659
  0.1891 -12.3984 -12.2692 -12.1408 -12.0761
  0.1899 -12.4105 -12.2808 -12.1519 -12.0862
  0.1908 -12.4227 -12.2925 -12.1629 -12.0965
  0.1917 -12.4349 -12.3041 -12.1739 -12.1066
  0.1925 -12.4469 -12.3156 -12.1847 -12.1166
  0.1934 -12.4591 -12.3272 -12.1956 -12.1266
  0.1943 -12.4713 -12.3388 -12.2065 -12.1367
  0.1952 -12.4835 -12.3504 -12.2175 -12.1468
  0.1960 -12.4958 -12.3621 -12.2285 -12.1570
  0.1969 -12.5082 -12.3739 -12.2396 -12.1672
  0.1978 -12.5215 -12.3864 -12.2518 -12.1783
  0.1987 -12.5356 -12.3995 -12.2650 -12.1900
  0.1996 -12.5498 -12.4126 -12.2782 -12.2018
  0.2005 -12.5640 -12.4258 -12.2915 -12.2137
  0.2014 -12.5783 -12.4391 -12.3049 -12.2256
  0.2023 -12.5926 -12.4524 -12.3183 -12.2375
  0.2032 -12.6070 -12.4658 -12.3318 -12.2495
  0.2042 -12.6215 -12.4792 -12.3453 -12.2616
  0.2051 -12.6360 -12.4927 -12.3589 -12.2737
  0.2060 -12.6502 -12.5059 -12.3721 -12.2855
  0.2070 -12.6616 -12.5168 -12.3826 -12.2951
  0.2079 -12.6731 -12.5278 -12.3931 -12.3048
  0.2088 -12.6846 -12.5388 -12.4036 -12.3145
  0.2098 -12.6962 -12.5499 -12.4142 -12.3243
  0.2107 -12.7078 -12.5610 -12.4249 -12.3341
  0.2117 -12.7195 -12.5722 -12.4356 -12.3440
  0.2126 -12.7312 -12.5833 -12.4462 -12.3538
  0.2136 -12.7430 -12.5944 -12.4567 -12.3636
  0.2146 -12.7548 -12.6055 -12.4672 -12.3734
  0.2155 -12.7667 -12.6166 -12.4778 -12.3832
  0.2165 -12.7786 -12.6278 -12.4885 -12.3931
  0.2175 -12.7905 -12.6391 -12.4991 -12.4030
  0.2185 -12.8025 -12.6504 -12.5098 -12.4129
  0.2195 -12.8143 -12.6615 -12.5203 -12.4226
  0.2205 -12.8262 -12.6728 -12.5308 -12.4322
  0.2215 -12.8381 -12.6841 -12.5413 -12.4420
  0.2225 -12.8500 -12.6954 -12.5519 -12.4517
  0.2235 -12.8620 -12.7068 -12.5626 -12.4615
  0.2245 -12.8741 -12.7182 -12.5733 -12.4714
  0.2255 -12.8854 -12.7290 -12.5837 -12.4809
  0.2265 -12.8966 -12.7398 -12.5941 -12.4905
  0.2275 -12.9079 -12.7506 -12.6046 -12.5001
  0.2286 -12.9193 -12.7615 -12.6152 -12.5097
  0.2296 -12.9307 -12.7725 -12.6258 -12.5194
  0.2306 -12.9421 -12.7834 -12.6364 -12.5291
  0.2317 -12.9536 -12.7945 -12.6471 -12.5388
  0.2327 -12.9651 -12.8055 -12.6578 -12.5487
  0.2338 -12.9767 -12.8167 -12.6686 -12.5585
  0.2348 -12.9885 -12.8279 -12.6794 -12.5684
  0.2359 -13.0008 -12.8393 -12.6899 -12.5781
  0.2370 -13.0132 -12.8509 -12.7005 -12.5880
  0.2380 -13.0256 -12.8624 -12.7112 -12.5978
  0.2391 -13.0381 -12.8741 -12.7219 -12.6077
  0.2402 -13.0506 -12.8857 -12.7326 -12.6177
  0.2413 -13.0623 -12.8967 -12.7430 -12.6272
  0.2424 -13.0739 -12.9077 -12.7532 -12.6367
  0.2435 -13.0854 -12.9186 -12.7636 -12.6463
  0.2446 -13.0971 -12.9297 -12.7739 -12.6559
  0.2457 -13.1088 -12.9407 -12.7844 -12.6655
  0.2468 -13.1205 -12.9519 -12.7948 -12.6752
  0.2479 -13.1323 -12.9631 -12.8053 -12.6849
  0.2490 -13.1438 -12.9739 -12.8156 -12.6945
  0.2502 -13.1551 -12.9845 -12.8258 -12.7040
  0.2513 -13.1664 -12.9952 -12.8360 -12.7135
  0.2524 -13.1778 -13.0059 -12.8462 -12.7231
  0.2536 -13.1892 -13.0167 -12.8565 -12.7327
  0.2547 -13.2007 -13.0275 -12.8669 -12.7423
  0.2559 -13.2122 -13.0384 -12.8772 -12.7520
  0.2570 -13.2238 -13.0493 -12.8877 -12.7617
  0.2582 -13.2352 -13.0602 -12.8977 -12.7711
  0.2594 -13.2467 -13.0710 -12.9079 -12.7806
  0.2605 -13.2583 -13.0820 -12.9180 -12.7901
  0.2617 -13.2699 -13.0929 -12.9283 -12.7996
  0.2629 -13.2816 -13.1040 -12.9385 -12.8092
  0.2641 -13.2933 -13.1150 -12.9488 -12.8188
  0.2653 -13.3050 -13.1262 -12.9592 -12.8284
  0.2665 -13.3165 -13.1370 -12.9695 -12.8379
  0.2677 -13.3279 -13.1478 -12.9797 -12.8474
  0.2689 -13.3393 -13.1586 -12.9900 -12.8570
  0.2701 -13.3508 -13.1695 -13.0003 -12.8666
  0.2713 -13.3624 -13.1804 -13.0107 -12.8762
  0.2726 -13.3740 -13.1914 -13.0211 -12.8859
  0.2738 -13.3856 -13.2024 -13.0316 -12.8956
  0.2750 -13.3972 -13.2135 -13.0421 -12.9053
