|  obsdate |   mag | e_mag | magsys | filter | depth_5sig | zp | observatory | detected | A_filter |
| 59534.29 | 14.09 |  0.01 |   Vega |      B |            |    |       Swope |     True |   -0.033 |
| 59534.29 | 14.53 |  0.01 |     AB |      i |            |    |       Swope |     True |   -0.015 |
| 59534.29 | 13.98 |  0.01 |     AB |      g |            |    |       Swope |     True |    -0.03 |
| 59534.29 | 15.34 |  0.02 |     AB |      u |            |    |       Swope |     True |   -0.038 |
| 59534.49 |  13.8 |  0.01 |   Vega |      V |            |    |       Swope |     True |   -0.024 |
| 59534.49 | 13.85 |  0.01 |     AB |      r |            |    |       Swope |     True |    -0.02 |
| 59534.49 | 13.94 |  0.01 |   Vega |      B |            |    |       Swope |     True |   -0.033 |
| 59534.49 | 14.41 |  0.01 |     AB |      i |            |    |       Swope |     True |   -0.015 |
| 59534.49 | 15.16 |  0.02 |     AB |      u |            |    |       Swope |     True |   -0.038 |
| 59535.29 | 13.54 |  0.01 |   Vega |      V |            |    |       Swope |     True |   -0.024 |
| 59535.29 |  14.7 |  0.02 |     AB |      u |            |    |       Swope |     True |   -0.038 |
| 59535.29 | 13.57 |  0.01 |     AB |      r |            |    |       Swope |     True |    -0.02 |
| 59535.29 | 14.12 |  0.01 |     AB |      i |            |    |       Swope |     True |   -0.015 |
| 59535.29 | 13.56 |  0.01 |     AB |      g |            |    |       Swope |     True |    -0.03 |
| 59535.29 | 13.61 |  0.01 |   Vega |      B |            |    |       Swope |     True |   -0.033 |
| 59535.49 | 13.46 |  0.01 |     AB |      g |            |    |       Swope |     True |    -0.03 |
| 59535.49 |  13.5 |  0.01 |   Vega |      B |            |    |       Swope |     True |   -0.033 |
| 59535.49 | 13.48 |  0.01 |   Vega |      V |            |    |       Swope |     True |   -0.024 |
| 59535.49 | 13.49 |  0.01 |     AB |      r |            |    |       Swope |     True |    -0.02 |
| 59535.49 | 14.03 |  0.01 |     AB |      i |            |    |       Swope |     True |   -0.015 |
| 59536.29 |  13.2 |  0.01 |     AB |      g |            |    |       Swope |     True |    -0.03 |
| 59536.29 | 14.18 |  0.02 |     AB |      u |            |    |       Swope |     True |   -0.038 |
| 59536.29 | 13.75 |  0.01 |     AB |      i |            |    |       Swope |     True |   -0.015 |
| 59536.29 | 13.24 |  0.01 |   Vega |      B |            |    |       Swope |     True |   -0.033 |
| 59536.29 | 13.25 |  0.01 |     AB |      r |            |    |       Swope |     True |    -0.02 |
| 59536.29 | 13.22 |  0.01 |   Vega |      V |            |    |       Swope |     True |   -0.024 |
| 59536.49 | 13.12 |  0.01 |     AB |      g |            |    |       Swope |     True |    -0.03 |
| 59536.49 | 13.18 |  0.01 |     AB |      r |            |    |       Swope |     True |    -0.02 |
| 59536.49 | 13.66 |  0.01 |     AB |      i |            |    |       Swope |     True |   -0.015 |
| 59536.49 | 14.06 |  0.02 |     AB |      u |            |    |       Swope |     True |   -0.038 |
| 59536.49 | 13.14 |  0.01 |   Vega |      B |            |    |       Swope |     True |   -0.033 |
| 59536.49 | 13.18 |  0.01 |   Vega |      V |            |    |       Swope |     True |   -0.024 |
| 59537.19 | 12.97 |  0.01 |   Vega |      V |            |    |       Swope |     True |   -0.024 |
| 59537.19 | 13.42 |  0.01 |     AB |      i |            |    |       Swope |     True |   -0.015 |
| 59537.19 | 12.97 |  0.01 |     AB |      r |            |    |       Swope |     True |    -0.02 |
| 59537.19 | 12.96 |  0.01 |   Vega |      B |            |    |       Swope |     True |   -0.033 |
| 59537.29 |  12.9 |  0.01 |     AB |      g |            |    |       Swope |     True |    -0.03 |
| 59537.29 |  13.8 |  0.04 |     AB |      u |            |    |       Swope |     True |   -0.038 |
| 59537.39 | 12.87 |  0.01 |   Vega |      B |            |    |       Swope |     True |   -0.033 |
| 59537.39 | 12.92 |  0.01 |   Vega |      V |            |    |       Swope |     True |   -0.024 |
| 59537.39 | 13.66 |  0.02 |     AB |      u |            |    |       Swope |     True |   -0.038 |
| 59537.39 |  13.4 |  0.01 |     AB |      i |            |    |       Swope |     True |   -0.015 |
| 59537.39 | 12.89 |  0.01 |     AB |      g |            |    |       Swope |     True |    -0.03 |
| 59538.19 | 12.77 |  0.01 |     AB |      r |            |    |       Swope |     True |    -0.02 |
