|   obsdate |    mag | e_mag | magsys |  filter | depth_5sig | zp |    observatory | detected | A_filter |
| 59529.796 | 16.026 |  0.03 |   Vega |       U |            |    |   LasCumbres1m |     True |   -0.387 |
|   59529.8 | 16.452 |  0.02 |   Vega |       B |            |    |   LasCumbres1m |     True |   -0.325 |
|   59529.8 |  16.54 |  0.02 |     AB | Unfilte |            |    |          DLT40 |     True |    -99.9 |
| 59529.802 | 16.392 |  0.02 |   Vega |       B |            |    |   LasCumbres1m |     True |   -0.325 |
| 59529.805 | 16.287 |  0.02 |   Vega |       V |            |    |   LasCumbres1m |     True |   -0.219 |
| 59529.807 | 16.327 |  0.02 |   Vega |       V |            |    |   LasCumbres1m |     True |   -0.219 |
| 59529.809 | 16.172 |  0.02 |     AB |       g |            |    |   LasCumbres1m |     True |   -0.288 |
| 59529.811 | 16.202 |  0.02 |     AB |       g |            |    |   LasCumbres1m |     True |   -0.288 |
| 59529.814 | 16.267 |  0.02 |     AB |       r |            |    |   LasCumbres1m |     True |   -0.173 |
| 59529.816 | 16.247 |  0.02 |     AB |       r |            |    |   LasCumbres1m |     True |   -0.173 |
| 59529.817 | 16.721 |  0.04 |     AB |       i |            |    |   LasCumbres1m |     True |   -0.124 |
| 59529.819 | 16.621 |  0.03 |     AB |       i |            |    |   LasCumbres1m |     True |   -0.124 |
| 59530.053 |  16.21 |  0.01 |     AB | Unfilte |            |    |          DLT40 |     True |    -99.9 |
| 59530.099 |  16.16 |  0.01 |     AB | Unfilte |            |    |          DLT40 |     True |    -99.9 |
| 59530.124 |   16.2 |  0.01 |     AB | Unfilte |            |    |          DLT40 |     True |    -99.9 |
| 59530.137 |  16.19 |  0.01 |     AB | Unfilte |            |    |          DLT40 |     True |    -99.9 |
| 59530.157 |   16.1 |  0.01 |     AB | Unfilte |            |    |          DLT40 |     True |    -99.9 |
| 59530.165 |  16.24 |  0.02 |     AB | Unfilte |            |    |          DLT40 |     True |    -99.9 |
| 59530.225 |  16.13 |  0.01 |     AB | Unfilte |            |    |          DLT40 |     True |    -99.9 |
| 59530.226 |  16.07 |  0.01 |     AB | Unfilte |            |    |          DLT40 |     True |    -99.9 |
| 59530.506 |   15.9 |  0.02 |     AB | Unfilte |            |    |          DLT40 |     True |    -99.9 |
| 59530.518 |  15.97 |  0.02 |     AB | Unfilte |            |    |          DLT40 |     True |    -99.9 |
| 59530.543 |  15.94 |  0.02 |     AB | Unfilte |            |    |          DLT40 |     True |    -99.9 |
| 59530.555 |  18.61 |  0.25 |     AB |    UVW1 |            |    |          Swift |     True |    -99.9 |
| 59530.557 |  16.95 |   0.1 |   Vega |     U_S |            |    |          Swift |     True |    -99.9 |
| 59530.558 |   16.5 |  0.06 |   Vega |     B_S |            |    |          Swift |     True |    -99.9 |
| 59530.559 |   19.7 | 100.0 |     AB |    UVW2 |            |    |          Swift |     True |    -99.9 |
| 59530.562 |  15.83 |  0.07 |   Vega |     V_S |            |    |          Swift |     True |    -99.9 |
| 59530.563 |  19.95 | 100.0 |     AB |    UVM2 |            |    |          Swift |     True |    -99.9 |
| 59530.632 |  15.88 |  0.02 |     AB | Unfilte |            |    |          DLT40 |     True |    -99.9 |
| 59530.643 |  15.85 |  0.02 |     AB | Unfilte |            |    |          DLT40 |     True |    -99.9 |
|   59530.8 | 15.996 |  0.03 |   Vega |       U |            |    |   LasCumbres1m |     True |   -0.387 |
| 59530.804 | 16.016 |  0.03 |   Vega |       U |            |    |   LasCumbres1m |     True |   -0.387 |
| 59530.806 |  15.79 |  0.01 |     AB | Unfilte |            |    |          DLT40 |     True |    -99.9 |
