ObjectId,RAICRS,DEICRS,Niflags,flags,Ngood,Ngoodu,Ngoodv,Ngoodg,Ngoodr,Ngoodi,Ngoodz,ClassStar,uPSF,e_uPSF,vPSF,e_vPSF,gPSF,e_gPSF,rPSF,e_rPSF,iPSF,e_iPSF,zPSF,e_zPSF
502026737,66.587697,-55.910745,5,0,18,0,0,4,2,6,6,0.951,,,,,19.4477,0.0214,18.7708,0.0335,18.2235,0.0172,18.0319,0.0245
502026738,66.578606,-55.915180,3,0,56,2,3,14,11,12,14,0.985,17.9777,0.0395,17.6687,0.0295,16.6021,0.0133,16.2902,0.0084,16.1326,0.0058,16.0923,0.0076
502026740,66.534945,-55.922238,5,0,39,0,0,4,3,15,17,0.982,,,,,19.0403,0.0105,18.1788,0.0105,16.8656,0.0060,16.3848,0.0069
502026966,66.522014,-55.903898,0,0,22,0,0,4,3,8,7,0.981,,,,,18.5185,0.0093,18.1185,0.0146,17.8383,0.0116,17.7375,0.0207
502027082,66.533364,-55.891909,0,0,20,0,0,4,3,6,7,0.981,,,,,18.4863,0.0089,18.2595,0.0142,18.1462,0.0158,18.0956,0.0383
502026768,66.776886,-55.919229,2,0,26,4,6,5,5,3,3,1.000,13.7160,0.0173,13.2578,0.0135,11.2252,0.0090,10.7051,0.0093,10.4009,0.0130,10.2734,0.0140
502026770,66.760998,-55.913099,10,3,44,4,6,7,8,9,10,0.999,15.0430,0.0173,14.7026,0.0138,13.3987,0.0066,13.0823,0.0060,12.9271,0.0054,12.9051,0.0064
502026771,66.756162,-55.912080,12,3,39,2,4,8,8,8,9,0.985,17.5928,0.0351,17.1984,0.0263,16.3203,0.0100,16.1187,0.0120,16.0065,0.0082,16.0171,0.0095
502026774,66.763528,-55.906508,1,0,15,0,0,4,3,6,2,0.952,,,,,19.3659,0.0195,18.9370,0.0278,18.6709,0.0227,18.5363,0.0492
502026788,66.752511,-55.900014,5,0,32,0,0,4,7,10,11,0.982,,,,,18.6082,0.0105,17.7111,0.0088,16.8083,0.0068,16.4367,0.0087
502026773,66.773737,-55.908148,2,0,30,0,0,4,7,9,10,0.983,,,,,18.2782,0.0090,17.3618,0.0154,16.5880,0.0060,16.2868,0.0082
502026793,66.776551,-55.877846,3,0,43,4,6,9,7,8,9,0.999,16.3296,0.0207,15.8987,0.0160,14.0153,0.0054,13.5190,0.0070,13.2409,0.0056,13.1358,0.0068
502026794,66.776988,-55.865560,11,0,44,4,6,9,8,8,9,0.997,15.6615,0.0195,15.3460,0.0150,13.9925,0.0056,13.6355,0.0059,13.4354,0.0056,13.3889,0.0069
502026776,66.727433,-55.925672,1,0,21,0,0,4,3,7,7,0.702,,,,,18.8465,0.0908,18.2651,0.1146,17.8677,0.0725,17.7497,0.0635
502026722,66.624747,-55.921031,14,0,55,5,7,11,10,10,12,0.999,15.6494,0.0162,15.2333,0.0135,13.2823,0.0054,12.7708,0.0062,12.4700,0.0055,12.3535,0.0061
502026723,66.616883,-55.919931,6,1,17,0,0,4,2,5,6,0.967,,,,,19.3982,0.0201,18.7555,0.0249,18.2004,0.0112,17.9322,0.0150
502026847,66.619633,-55.913907,11,0,29,1,3,6,5,7,7,0.983,19.1186,0.0638,18.4812,0.0447,17.9258,0.0102,17.7854,0.0129,17.7661,0.0113,17.7706,0.0136
502026848,66.643914,-55.908040,2,0,14,0,0,4,3,5,2,0.934,,,,,19.9722,0.0238,19.1807,0.0263,18.6444,0.0259,18.5233,0.0552
502026844,66.675412,-55.917059,0,0,18,0,0,3,2,6,7,0.942,,,,,19.0705,0.0512,18.5713,0.0616,18.0318,0.0306,17.9268,0.0399
502026849,66.664507,-55.902094,5,0,44,1,3,10,8,10,12,0.988,17.7623,0.0517,17.3917,0.0551,16.2514,0.0068,15.9359,0.0085,15.7920,0.0082,15.7580,0.0073
502026778,66.730007,-55.904292,0,0,24,0,0,4,3,8,9,0.973,,,,,19.8895,0.0282,18.9479,0.0151,17.7001,0.0085,17.1726,0.0197
502026853,66.709623,-55.880883,14,0,45,2,3,10,9,10,11,0.989,17.7589,0.0482,17.4098,0.0224,15.5957,0.0067,15.1190,0.0066,14.8415,0.0054,14.7415,0.0064
502026846,66.688990,-55.893496,7,0,28,0,0,3,5,9,11,0.982,,,,,18.5435,0.0196,17.7652,0.0094,17.2304,0.0120,16.9943,0.0100
502026850,66.673425,-55.885346,0,0,8,0,0,3,2,3,0,0.819,,,,,19.9215,0.0188,19.4769,0.0254,19.1275,0.0524,,
502026860,66.659331,-55.877387,0,0,8,0,0,3,2,3,0,0.833,,,,,19.9000,0.0290,19.4510,0.0541,19.0716,0.0334,,
502026862,66.677685,-55.860288,6,0,22,0,0,3,3,7,9,0.980,,,,,19.1227,0.0158,18.2678,0.0283,17.6654,0.0169,17.4601,0.0206
502026868,66.656346,-55.872246,2,0,22,0,0,3,3,7,9,0.980,,,,,18.9819,0.0124,18.2814,0.0182,17.6425,0.0114,17.3942,0.0115
502026861,66.709240,-55.855347,0,0,13,0,0,4,3,5,1,0.937,,,,,19.7265,0.0178,19.3644,0.0177,19.0852,0.0482,18.5367,0.2499
502026863,66.625885,-55.877894,12,0,57,5,7,11,11,11,12,0.999,14.6788,0.0195,14.2691,0.0348,13.2600,0.0249,12.9467,0.0128,12.7977,0.0072,12.7935,0.0069
502026864,66.609129,-55.879608,9,0,36,1,2,6,8,10,9,0.983,19.0379,0.0396,18.7159,0.0837,17.8014,0.0115,17.5288,0.0093,17.3898,0.0126,17.3844,0.0161
502026869,66.634889,-55.869972,6,0,18,0,0,4,3,5,6,0.534,,,,,18.4089,0.1186,18.1587,0.1186,17.9121,0.0965,17.7527,0.0946
502026874,66.609717,-55.862405,3,0,19,0,0,4,3,6,6,0.978,,,,,18.8365,0.0109,18.3931,0.0171,18.0927,0.0154,17.9337,0.0211
502027085,66.556348,-55.867090,0,0,30,0,0,4,4,11,11,0.981,,,,,18.7089,0.0090,17.9029,0.0118,17.2589,0.0074,17.0329,0.0159
502027087,66.525059,-55.872824,0,0,21,0,0,4,3,7,7,0.971,,,,,19.2436,0.0154,18.5971,0.0131,18.1777,0.0151,18.0288,0.0184
502027089,66.547308,-55.858360,0,0,49,0,0,8,12,14,15,0.984,,,,,17.2944,0.0082,16.6077,0.0091,16.1618,0.0054,15.9812,0.0073
502026878,66.611140,-55.849785,2,0,34,4,6,8,6,4,6,0.999,13.6603,0.0173,13.2231,0.0138,11.3950,0.0080,10.9087,0.0086,10.6108,0.0104,10.4950,0.0096
502027091,66.579254,-55.834875,4,0,32,0,0,4,2,11,15,0.980,,,,,19.7284,0.0106,18.8070,0.0176,17.4123,0.0100,16.8624,0.0108
502027092,66.574569,-55.836482,2,0,12,0,0,4,2,5,1,0.878,,,,,19.5454,0.0196,19.1472,0.0605,18.8259,0.0233,18.7659,0.1348
