ObjectId,RAICRS,DEICRS,Niflags,flags,Ngood,Ngoodu,Ngoodv,Ngoodg,Ngoodr,Ngoodi,Ngoodz,ClassStar,uPSF,e_uPSF,vPSF,e_vPSF,gPSF,e_gPSF,rPSF,e_rPSF,iPSF,e_iPSF,zPSF,e_zPSF
10803643,40.433809,-31.143034,0,0,32,0,0,11,18,3,0,0.965,,,,,19.9497,0.0198,19.6407,0.0124,19.4107,0.0278,,
10803650,40.492742,-31.148018,14,0,61,0,0,13,25,12,11,0.984,,,,,17.6836,0.0048,16.8309,0.0035,16.0136,0.0062,15.6869,0.0070
10803651,40.495353,-31.126495,3,0,38,0,0,11,18,5,4,0.927,,,,,19.8174,0.0139,19.3384,0.0114,18.9443,0.0438,18.6679,0.0423
10803652,40.500820,-31.127905,14,0,55,0,1,13,22,10,9,0.985,,,19.7738,0.0851,17.2361,0.0046,16.3330,0.0034,15.4205,0.0056,15.0699,0.0072
10803653,40.509802,-31.130740,5,0,43,0,1,11,18,7,6,0.975,,,19.8982,0.0494,19.0619,0.0088,18.7972,0.0083,18.3751,0.0309,18.1510,0.0453
10803659,40.502644,-31.115408,10,0,45,0,1,12,19,7,6,0.982,,,19.6096,0.0708,18.2139,0.0058,17.8395,0.0039,17.6044,0.0081,17.5268,0.0131
10803644,40.419336,-31.132090,7,0,39,0,0,12,19,4,4,0.982,,,,,18.8000,0.0106,18.0795,0.0044,17.4976,0.0138,17.2614,0.0122
10803711,40.419108,-31.093507,3,0,42,0,3,12,18,5,4,0.983,,,19.1558,0.0760,18.1329,0.0050,17.8589,0.0041,17.6904,0.0108,17.6648,0.0260
10803593,40.411963,-31.082149,6,0,39,0,2,11,17,5,4,0.983,,,18.9493,0.0688,17.8189,0.0052,17.5245,0.0041,17.3717,0.0107,17.2963,0.0185
10803715,40.441919,-31.065683,5,0,39,0,1,11,17,5,5,0.981,,,19.2559,0.1723,18.7856,0.0080,18.6132,0.0084,18.4939,0.0166,18.4820,0.0210
10803716,40.429511,-31.064610,0,0,38,0,0,11,17,5,5,0.981,,,,,19.4929,0.0097,18.6047,0.0057,17.6661,0.0107,17.2973,0.0153
10822068,42.729392,-31.258820,0,0,39,0,0,13,18,6,2,0.977,,,,,19.3086,0.0101,19.1029,0.0079,18.9414,0.0182,18.8687,0.0490
10822084,42.723419,-31.249281,9,0,64,0,0,17,25,12,10,0.984,,,,,17.3376,0.0043,16.4666,0.0035,15.6270,0.0061,15.2973,0.0070
10822086,42.703974,-31.233595,12,0,69,3,4,17,23,12,10,0.990,18.8625,0.0322,18.5152,0.0462,16.1030,0.0063,15.3426,0.0072,14.7917,0.0129,14.5674,0.0146
10821498,42.406269,-31.259279,3,0,41,0,0,14,18,4,5,0.980,,,,,18.8702,0.0079,18.5225,0.0057,18.3474,0.0121,18.2065,0.0282
10821487,42.347768,-31.260808,3,0,32,0,0,12,17,2,1,0.963,,,,,19.5536,0.0116,19.3527,0.0142,19.1679,0.0403,18.9800,0.1039
10821488,42.358454,-31.257212,3,0,38,0,0,12,17,6,3,0.871,,,,,19.5535,0.0266,18.9850,0.0327,18.5524,0.0773,18.5839,0.1002
10821494,42.352116,-31.242890,3,0,58,0,0,14,23,12,9,0.983,,,,,18.0103,0.0055,17.1017,0.0036,16.1955,0.0062,15.8389,0.0077
10821603,42.582474,-31.268557,6,0,41,8,8,6,6,7,6,0.999,13.0026,0.0119,12.6252,0.0112,11.6948,0.0089,11.4704,0.0086,11.3758,0.0087,11.3761,0.0091
1014861603,42.544257,-31.253705,0,0,29,0,0,12,14,2,1,0.579,,,,,19.4553,0.0712,19.0840,0.0725,18.9157,0.1612,18.5622,0.3173
10821611,42.639732,-31.248384,1,0,41,1,3,6,9,11,11,0.983,19.5245,0.0815,19.1861,0.0665,17.7002,0.0099,17.2322,0.0132,16.9357,0.0071,16.8162,0.0088
10821604,42.600691,-31.250634,5,0,51,0,0,15,20,9,7,0.982,,,,,18.4139,0.0062,17.9010,0.0045,17.5782,0.0112,17.4699,0.0131
10821609,42.613418,-31.262918,7,0,44,0,3,14,18,5,4,0.981,,,19.4317,0.0339,18.9104,0.0095,18.7026,0.0077,18.5680,0.0130,18.6297,0.0207
10821612,42.635499,-31.239725,0,0,5,0,0,2,2,1,0,0.362,,,,,19.8845,0.1842,19.7464,0.2144,19.3138,0.3368,,
10821613,42.641060,-31.235595,0,0,34,0,0,4,8,11,11,0.990,,,,,18.5096,0.0163,17.6858,0.0128,16.9924,0.0069,16.6917,0.0082
