"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s"
"168189","AT 2024adtu","11:13:56.131","-12:30:48.09","","","SDSS J111356.06-123047.7","","ALeRCE","ZTF","","ALeRCE","ZTF24abwzahq","P48 - ZTF-Cam","","1","1","","20.1186","r-ZTF","2024-12-03 12:36:09.996","ALeRCE","","2024TNSTR4821....1M","",""
"168188","AT 2024adtt","21:37:17.330","+31:58:27.64","","","WISEA J213717.33+315827.6","","ALeRCE","ZTF","","ALeRCE","ZTF24abwzugp","P48 - ZTF-Cam","","1","1","","20.5864","r-ZTF","2024-12-03 02:16:46.998","ALeRCE","","2024TNSTR4821....1M","",""
"168187","AT 2024adts","02:07:32.429","+36:39:00.36","","","WISEA J020732.52+363902.0","","ALeRCE","ZTF","","ALeRCE","ZTF24abxbllg","P48 - ZTF-Cam","","1","1","","20.1232","r-ZTF","2024-12-08 04:51:45.003","ALeRCE","","2024TNSTR4821....1M","",""
"168186","AT 2024adtr","13:00:46.549","+77:43:01.09","","","WISEA J130047.36+774301.7","","ALeRCE","ZTF","","ALeRCE","ZTF24abxgjrp","P48 - ZTF-Cam","","1","1","","20.3388","r-ZTF","2024-12-06 11:18:56.002","ALeRCE","","2024TNSTR4821....1M","",""
"168185","AT 2024adtq","15:17:02.859","+12:38:06.34","","","SDSS J151703.02+123808.7","0.04722476","ALeRCE","ZTF","","ALeRCE","ZTF24abxgkcy","P48 - ZTF-Cam","","1","1","","19.7914","r-ZTF","2024-12-08 13:12:58.000","ALeRCE","","2024TNSTR4821....1M","",""
"168184","AT 2024adtp","14:18:09.138","-19:41:33.92","","","SDSS J141809.30-194134.1","","ALeRCE","ZTF","","ALeRCE","ZTF24abxglmz","P48 - ZTF-Cam","","1","1","","18.5489","r-ZTF","2024-12-08 13:27:19.996","ALeRCE","","2024TNSTR4821....1M","",""
"168183","AT 2024adto","22:09:46.548","-16:53:26.90","","","GALEXASC J220946.56-165328.2","","ALeRCE","ZTF","","ALeRCE","ZTF24abxgpzc","P48 - ZTF-Cam","","1","1","","18.9345","r-ZTF","2024-12-09 02:03:47.998","ALeRCE","","2024TNSTR4821....1M","",""
"168182","AT 2024adtn","23:12:01.323","+21:23:17.72","","","SDSS J231201.43+212316.4","","ALeRCE","ZTF","","ALeRCE","ZTF24abxhgnj","P48 - ZTF-Cam","","1","1","","20.5589","g-ZTF","2024-12-05 04:11:41.001","ALeRCE","","2024TNSTR4821....1M","",""
"168181","AT 2024adtm","00:01:23.062","-24:23:40.92","","","","","ALeRCE","ZTF","","ALeRCE","ZTF24abxhiil","P48 - ZTF-Cam","","1","1","","19.1215","g-ZTF","2024-12-09 03:03:32.000","ALeRCE","","2024TNSTR4821....1M","",""
"168180","AT 2024adtl","10:18:18.631","-26:41:35.78","","","WISEA J101818.64-264135.7","","ALeRCE","ZTF","","ALeRCE","ZTF24abxmjfj","P48 - ZTF-Cam","","1","1","","20.1654","g-ZTF","2024-12-06 12:29:39.002","ALeRCE","","2024TNSTR4821....1M","",""
"168179","AT 2024adtk","11:56:57.907","+19:42:11.11","","","","","ZTF","ZTF","","ZTF","ZTF24abvgfpw","P48 - ZTF-Cam","","1","1","","20.2098","r-ZTF","2024-11-26 10:51:57.997","Fritz","","2024TNSTR4834....1G","",""
"168178","AT 2024adtj","15:12:39.754","+06:23:55.14","","","","","ZTF","ZTF","","ZTF","ZTF24abxmivu","P48 - ZTF-Cam","","1","1","","19.6521","r-ZTF","2024-12-05 13:33:48.000","Fritz","","2024TNSTR4835....1S","",""
"168177","AT 2024adti","14:56:34.319","+04:33:27.17","","","","","ZTF","ZTF","","ZTF","ZTF24abxmjbl","P48 - ZTF-Cam","","1","1","","20.0123","r-ZTF","2024-12-05 13:25:27.001","Fritz","","2024TNSTR4835....1S","",""
"168176","AT 2024adth","11:22:22.861","+59:04:31.49","","","NGC 3642","0.005287","SGLF","ZTF","","SGLF","ZTF24abwjpbg","P48 - ZTF-Cam","","1","1","","20.586","g-ZTF","2024-12-05 10:17:34.000","Perez-Fournon","","2024TNSTR4832....1P","",""
"168175","AT 2024adtg","08:53:28.451","-11:08:26.89","","","","","ZTF","ZTF","","ZTF","ZTF24abvftmi","P48 - ZTF-Cam","","1","1","","20.3333","r-ZTF","2024-11-26 10:07:52.999","Fritz","","2024TNSTR4835....1S","",""
"168174","AT 2024adtf","05:50:00.136","-71:09:47.74","","","","","BlackGEM","BlackGEM","","BlackGEM","BGEM J055000.13-710947.7","BG2 - BlackGEM-Cam2, BG3 - BlackGEM-Cam3","","1","1","","20.18","BG-q-BlackGem","2024-12-07 04:25:43.000","BlackGEM_Bot1","","2024TNSTR4824....1G","",""
"168173","AT 2024adte","09:51:36.402","-25:00:07.89","","","","","ATLAS, ZTF, GOTO","ATLAS, ZTF, GOTO","","ATLAS; GOTO; ZTF","ATLAS24rhp","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, GOTO-S - GOTO-4, P48 - ZTF-Cam","","1","1","","19.27","cyan-ATLAS","2024-12-09 06:44:41.856","ATLAS_Bot1","","2024TNSTR4822....1T","",""
