"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s"
"168455","AT 2024aedx","01:21:56.619","-19:55:59.66","","","","","ATLAS, ZTF","ATLAS, ZTF","","ATLAS; ZTF","ATLAS24rkw","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, P48 - ZTF-Cam","","1","1","","18.704","orange-ATLAS","2024-12-17 02:45:16.128","ATLAS_Bot1","","","",""
"168454","AT 2024aedw","01:46:11.029","-07:44:59.54","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS24mrw","PS2 - GPC2","","1","1","","20.19","w-P1","2024-12-03 06:39:55.872","PS1_Bot1","","2024TNSTR4927....1C","",""
"168452","AT 2024aedu","00:23:21.309","-02:28:37.25","","","","","ATLAS","ATLAS","","ATLAS","ATLAS24rkt","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03","","1","1","","18.876","orange-ATLAS","2024-12-16 19:01:37.920","ATLAS_Bot1","","2024TNSTR4922....1T","",""
"168451","AT 2024aedt","01:51:34.183","+08:15:04.78","","","","","ATLAS","ATLAS","","ATLAS","ATLAS24rks","ATLAS-MLO - ATLAS-01","","1","1","","18.553","orange-ATLAS","2024-12-16 09:00:43.200","ATLAS_Bot1","","2024TNSTR4922....1T","",""
"168450","AT 2024aeds","16:46:58.880","+58:25:58.61","","","IC 1231","","","","","","","Other - Other","","1","1","","18","Clear-","2024-12-16 16:30:00.000","Villi","","2024TNSTR4926....1C","",""
"168449","AT 2024aedr","13:10:25.614","-15:56:18.80","","","","","ATLAS","ATLAS","","ATLAS","ATLAS24rkr","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01","","1","1","","18.335","orange-ATLAS","2024-12-16 15:25:42.240","ATLAS_Bot1","","2024TNSTR4922....1T","",""
"168447","AT 2024aedp","04:42:42.087","-09:49:53.93","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS24mrn","PS2 - GPC2","","1","1","","20.14","w-P1","2024-12-01 09:19:09.984","PS1_Bot1","","2024TNSTR4927....1C","",""
"168439","AT 2024aedh","00:53:50.733","-01:54:51.35","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS24mqy","PS2 - GPC2","","1","1","","20.71","w-P1","2024-12-02 05:13:43.968","PS1_Bot1","","2024TNSTR4927....1C","",""
"168433","AT 2024aedb","08:54:58.780","+41:48:22.34","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS24mqo","PS1 - GPC1","","1","1","","20.5","w-P1","2024-12-05 14:14:43.584","PS1_Bot1","","2024TNSTR4927....1C","",""
"168432","AT 2024aeda","01:33:04.590","+39:13:19.88","","","","","GaiaAlerts","GaiaAlerts","","GaiaAlerts","Gaia24drd","Gaia - Gaia-photometric","","1","1","","17.44","G-Gaia","2024-12-14 13:00:28.800","Gaia_Bot1","","2024TNSTR4923....1H","",""
