,TNSName,DetDate,DetMag,RA,Dec,Separation[arcmin],reporter
0, 1968X,1968-11-27 00:00:00.000,16,13:04:12.400,-10:20:21.00,23.68826265229586,
1, 1973J,1973-05-21 00:00:00.000,16,13:04:15.900,-10:20:35.00,22.842077091872085,
2,SN 2008aw,2008-03-02 00:00:00.000,15.9,13:04:14.119,-10:19:12.29,23.991837784284627,
3,SN 2014B,2014-01-02 00:00:00.000,17,13:04:17.700,-10:20:01.21,22.80029673086637,
4,AT 2016eca,2016-05-25 00:27:21.000,19.04,13:05:20.200,-10:34:52.30,3.5092811422372425,GaiaAlerts
5,AT 2018lqq,2018-12-23 11:45:36.000,19.7071,13:04:15.880,-10:19:18.36,23.582840739895044,ZTF
6,SN 2020abiu,2020-12-01 13:12:27.000,19.1833,13:05:19.720,-10:36:42.88,4.708875974977183,ALeRCE
7,SN 2020nif,2020-06-24 04:40:48.000,16.1492,13:04:13.740,-10:21:03.49,23.02814372012709,ZTF
8,AT 2021fny,2021-02-07 15:15:50.400,18.926,13:06:58.833,-10:25:11.03,22.611980220758877,ATLAS
9,AT 2021miz,2021-04-06 12:00:00.000,21.25,13:06:46.565,-10:30:09.35,18.35335500362553,Pan-STARRS
