,TNSName,DetDate,DetMag,RA,Dec,Separation[arcmin],reporter
0,SN 1999ch,1999-05-13 00:00:00.000,19.8,16:54:45.689,+39:59:13.88,17.054558444270373,
1,AT 2018ctk,2018-04-21 11:19:40.000,17.49,16:53:52.241,+39:45:36.71,0.008053802003926375,ZTF
