,TNSName,DetDate,DetMag,RA,Dec,Separation[arcmin],reporter
0,AT 2018dj,2018-01-06 10:59:31.000,19.64,07:51:12.474,+43:04:34.07,12.499886859511813,Pan-STARRS
1,AT 2018lsi,2018-09-19 11:20:15.360,20.173,07:51:36.274,+42:52:52.60,0.14411611775687,ZTF
