,TNSName,DetDate,DetMag,RA,Dec,Separation[arcmin],reporter
0,SN 2008hj,2008-11-20 00:00:00.000,17.2,00:04:01.910,-11:10:07.50,0.3449809704124221,
1,SN 2017hcc,2017-10-02 09:04:19.000,17.444,00:03:50.590,-11:28:28.60,18.21902460726152,ATLAS
2,SN 2019nxu,2019-08-15 09:31:39.000,19.5,00:03:12.422,-10:50:07.02,23.636598968112715,ZTF
3,AT 2020oba,2020-05-29 14:00:57.600,19.37,00:05:42.358,-11:10:49.35,24.73895878569327,ATLAS
4,AT 2021ssf,2021-07-06 13:40:47.000,20.68,00:03:38.192,-11:14:58.74,7.289500678860895,Pan-STARRS
