,TNSName,DetDate,DetMag,RA,Dec,Separation[arcmin],reporter
0,SN 2010dy,2010-06-06 00:00:00.000,17.9,16:10:11.030,+00:45:07.49,18.238580200986952,
1,AT 2020mip,2020-05-14 09:57:36.000,20.67,16:10:28.291,+01:04:10.67,3.5247770193541332,Pan-STARRS
