,TNSName,DetDate,DetMag,RA,Dec,Separation[arcmin],reporter
0, 1950C,1950-05-14 00:00:00.000,18.2,13:13:45.000,+36:35:01.00,3.586327334022117,
1,SN 1985L,1985-06-13 00:00:00.000,12.5,13:13:21.790,+36:36:33.01,1.4519985806538573,
2,SN 2001gd,2001-11-24 00:00:00.000,16.5,13:13:23.890,+36:38:17.70,2.7532787523027284,
3,AT 2016buo,2016-04-15 08:29:10.000,20.63,13:14:46.498,+36:18:05.17,23.683780427749742,Pan-STARRS
4,AT 2018kdk,2018-12-13 12:20:51.000,18.6901,13:13:48.979,+36:53:58.15,18.838493493882467,ZTF
5,AT 2019wur,2019-12-14 13:28:12.000,17.92,13:13:27.520,+36:35:37.68,0.02466984626043606,ZTF
6,FRB 20200405A,2020-04-05 05:34:54.354,0,13:13:27.520,+36:35:37.00,0.0292905457093727,VLITE-Fast
7,AT 2021fob,2021-03-15 09:25:55.200,19.623,13:14:21.650,+36:14:34.26,23.72196638636826,ATLAS
8,AT 2021qcl,2021-06-10 05:09:54.999,20.6312,13:11:29.741,+36:32:11.23,23.8753228269838,ALeRCE
9,AT 2021sqk,2021-06-30 06:21:36.000,18.94,13:14:02.342,+36:38:53.39,7.730478611163098,Pan-STARRS
