,TNSName,DetDate,DetMag,RA,Dec,Separation[arcmin],reporter
0, 1901B,1901-03-17 00:00:00.000,15.6,12:22:47.000,+15:49:26.00,1.8994103236060687,
1, 1914A,1914-03-02 00:00:00.000,15.7,12:22:56.300,+15:47:31.00,1.8579757425288046,
2, 1959E,1960-02-21 00:00:00.000,17.5,12:22:58.901,+15:49:01.09,1.0185496917146184,
3,SN 1979C,1979-04-19 00:00:00.000,12.1,12:22:58.630,+15:47:51.68,1.7339326738345058,
4,SN 2006X,2006-02-04 00:00:00.000,17,12:22:53.990,+15:48:33.08,0.8209265918494371,
5,AT 2018bha,2018-04-25 04:36:28.000,19.25,12:23:58.824,+15:37:46.00,19.254580699860913,ZTF
6,SN 2018ko,2018-01-24 10:19:12.000,16.8,12:21:35.246,+15:59:08.62,21.510601782770856,ASAS-SN
7,SN 2019ehk,2019-04-29 22:27:50.000,16.5,12:22:56.150,+15:49:34.03,0.377147116812502,PSH
8,SN 2020oi,2020-01-07 13:00:54.000,17.2799,12:22:54.930,+15:49:24.96,0.0733655075088151,ALeRCE
9,AT 2021nrn,2021-05-28 04:23:01.997,20.6692,12:22:22.376,+15:39:48.39,12.33499786601329,ALeRCE
