,TNSName,DetDate,DetMag,RA,Dec,Separation[arcmin],reporter
0,SN 1957B,1957-04-23 00:00:00.000,12.5,12:25:02.700,+12:53:58.00,17.069733583339968,
1, 1976B,1976-03-28 00:00:00.000,14.7,12:26:12.300,+13:06:46.00,10.009044890114911,
2, 1980I,1980-06-13 00:00:00.000,14,12:25:38.100,+12:53:24.00,8.874211144820807,
3,SN 1991bg,1991-12-03 00:00:00.000,14,12:25:03.710,+12:52:15.82,17.19265800425887,
4,AT 2021ahqy,2021-04-10 09:01:10.848,19.73,12:26:53.771,+12:40:49.45,18.93489915180703,Pan-STARRS
